ID,GarrMechanicID,GarrMechanicSetID
1,96,2
2,97,2
3,98,2
4,94,3
5,113,3
6,102,3
7,116,3
8,117,3
9,104,4
10,108,4
11,99,4
12,105,4
13,118,4
14,87,5
15,109,5
16,103,5
17,112,5
18,119,5
19,96,6
20,97,6
21,87,7
22,109,7
23,112,7
24,94,8
25,113,8
26,116,8
27,104,9
28,108,9
29,105,9
30,87,10
31,109,10
32,103,10
33,112,10
34,94,11
35,113,11
36,102,11
37,116,11
38,104,12
39,108,12
40,99,12
41,105,12
42,94,13
43,113,13
44,102,13
45,117,13
46,87,14
47,109,14
48,103,14
49,119,14
50,104,15
51,108,15
52,99,15
53,118,15
54,149,16
55,147,16
56,148,16
57,150,16
58,145,16
59,153,17
60,151,17
61,152,17
62,154,17
63,144,17
64,157,18
65,155,18
66,156,18
67,158,18
68,146,18
