TitleText_lang,ID,TraitSystemID,TraitTreeID,FirstTraitNodeID,PlayerConditionID,Flags,Field_10_0_0_45697_006,Field_10_0_0_45697_007,UiTextureKitID
,1,0,0,0,0,3,1,1,0
,239,0,0,19487,97713,1,1,1,0
,240,0,0,19539,97713,1,1,1,0
,276,0,0,22483,97713,1,1,1,0
,302,0,0,23727,97711,1,1,1,0
,303,0,0,23765,97711,1,1,1,0
,305,0,0,23912,97711,1,1,1,0
,348,0,0,28438,97719,1,1,1,0
,350,0,0,28546,97719,1,1,1,0
,352,0,0,28610,97718,1,1,1,0
,353,0,0,28660,97718,1,1,1,0
,354,0,0,28672,97718,1,1,1,0
,355,0,0,28728,97718,1,1,1,0
,376,0,0,31146,97719,1,1,1,0
,377,0,0,31184,97719,1,1,1,0
,403,0,0,34689,97721,1,1,1,0
,404,0,0,34729,97721,1,1,1,0
,405,0,0,34759,97721,1,1,1,0
,407,0,0,34835,97717,1,1,1,0
,408,0,0,34893,97717,1,1,1,0
,444,0,0,40008,97722,1,1,1,0
,445,0,0,40038,97722,1,1,1,0
,446,0,0,40074,97722,1,1,1,0
,448,0,0,40226,97722,1,1,1,0
,469,0,0,42828,97711,1,1,1,0
,478,0,0,43535,97717,1,1,1,0
,557,0,0,50894,97715,1,1,1,0
,558,0,0,50929,97715,1,1,1,0
,559,0,0,50956,97715,1,1,1,0
,560,0,0,50993,97715,1,1,1,0
,601,0,0,57263,97720,1,1,1,0
,602,0,0,57293,97720,1,1,1,0
,603,0,0,57345,97720,1,1,1,0
,640,0,0,59621,97716,1,1,1,0
,641,0,0,59651,97716,1,1,1,0
,642,0,0,59701,97716,1,1,1,0
,658,0,0,0,0,0,1,1,0
Skyriding,672,1,0,0,0,2,1,1,0
,673,0,0,64143,97714,1,1,1,0
,698,0,0,68402,97714,1,1,1,0
,699,0,0,68445,97714,1,1,1,0
,701,0,0,0,0,0,1,1,0
,720,0,0,0,0,0,0.95,0.95,0
,750,0,0,0,0,0,0.9,0.95,0
,751,12,0,0,0,0,1,2,0
,774,0,0,0,0,0,0.75,1,0
,775,37,0,0,0,1,1,1,0
,781,0,0,0,0,0,1,1,0
,786,0,0,0,0,0,1,1.4,0
,790,0,0,0,0,0,0.75,1.2,0
,793,0,0,0,0,0,0.85,0.9,0
,795,0,0,0,0,0,1,1,0
,850,0,0,0,0,0,0.9,1,0
,852,0,0,0,0,0,0.9,0.95,0
,854,0,0,0,0,0,1,1,0
,868,0,0,0,0,0,1,1,0
,872,0,0,0,0,0,1,1,0
,874,6,0,0,0,2,0.65,2.35,0
,875,7,0,0,0,0,1,1,0
,876,8,0,0,0,0,1,1,0
,877,0,0,0,0,0,1,1,0
,878,0,0,0,0,0,1,1,0
,880,0,0,0,0,0,1,1,0
,898,9,0,0,0,0,1,0.9,0
,903,0,0,96248,117677,1,1,1,0
,904,0,0,96298,117677,1,1,1,0
,905,0,0,96358,117677,1,1,1,0
,919,0,0,96770,117682,1,1,1,0
,920,0,0,96800,117682,1,1,1,0
,921,0,0,96830,117682,1,1,1,0
,935,0,0,97560,117680,1,1,1,0
,937,0,0,97640,117680,1,1,1,0
,938,0,0,97712,117680,1,1,1,0
,939,0,0,97784,117680,1,1,1,0
,946,0,0,98245,117679,1,1,1,0
