ID,BuffSpellID,PlayerConditionID,OccurrenceValue,ManagedWorldStateID
1,239645,0,0,1
2,237137,48837,2,1
3,237139,48837,3,1
4,240979,48837,1,1
5,239648,0,0,3
6,240989,48835,1,3
7,239647,0,0,4
8,239967,48838,1,4
9,240987,48835,2,3
10,240986,48835,3,3
11,239968,48838,2,4
12,239969,48838,3,4
13,5,7270,0,5
14,239966,48835,4,3
15,240989,48835,5,3
16,240987,48835,6,3
17,240980,48837,4,1
18,237137,48837,5,1
19,237139,48837,6,1
20,240985,48838,4,4
21,239967,48838,5,4
22,239968,48838,6,4
23,237137,48837,7,1
24,240989,48835,7,3
25,239967,48838,7,4
26,240979,48837,8,1
27,240987,48835,8,3
28,240985,48838,8,4
29,237137,48837,9,1
30,239966,48835,9,3
31,239968,48838,9,4
32,237139,48837,10,1
33,240986,48835,10,3
34,240985,48838,10,4
35,240980,48837,11,1
36,240987,48835,11,3
37,239967,48838,11,4
38,237137,48837,12,1
39,240986,48835,12,3
40,240985,48838,12,4
41,240979,48837,13,1
42,240989,48835,13,3
43,239969,48838,13,4
44,240980,48837,14,1
45,239966,48835,14,3
46,239967,48838,14,4
47,237139,48837,15,1
48,240986,48835,15,3
49,240985,48838,15,4
50,237137,48837,16,1
51,240989,48835,16,3
52,239968,48838,16,4
53,237139,48837,17,1
54,240987,48835,17,3
55,240985,48838,17,4
56,240979,48837,18,1
57,239966,48835,18,3
58,239969,48838,18,4
59,237137,48837,19,1
60,240987,48835,19,3
61,240985,48838,19,4
62,240980,48837,20,1
63,240989,48835,20,3
64,239969,48838,20,4
65,240979,48837,21,1
66,240986,48835,21,3
67,239968,48838,21,4
68,237137,48837,22,1
69,239966,48835,22,3
70,240985,48838,22,4
71,237139,48837,23,1
72,240986,48835,23,3
73,239967,48838,23,4
74,240979,48837,24,1
75,240987,48835,24,3
76,239969,48838,24,4
77,237139,48837,25,1
78,240986,48835,25,3
79,239968,48838,25,4
80,240979,48837,26,1
81,240989,48835,26,3
82,240985,48838,26,4
83,237139,48837,27,1
84,240987,48835,27,3
85,239968,48838,27,4
86,237137,48837,28,1
87,240989,48835,28,3
88,240985,48838,28,4
89,240980,48837,29,1
90,239966,48835,29,3
91,239967,48838,29,4
92,237139,48837,30,1
93,240986,48835,30,3
94,239968,48838,30,4
95,237137,48837,31,1
96,240987,48835,31,3
97,239969,48838,31,4
98,240980,48837,32,1
99,239966,48835,32,3
100,239967,48838,32,4
101,240979,48837,33,1
102,240986,48835,33,3
103,239968,48838,33,4
104,240980,48837,34,1
105,240989,48835,34,3
106,239969,48838,34,4
107,237139,48837,35,1
108,239966,48835,35,3
109,240985,48838,35,4
110,240980,48837,36,1
111,240986,48835,36,3
112,239967,48838,36,4
113,240979,48837,37,1
114,239966,48835,37,3
115,239968,48838,37,4
116,237137,48837,38,1
117,240986,48835,38,3
118,239967,48838,38,4
119,237139,48837,39,1
120,239966,48835,39,3
121,240985,48838,39,4
122,240979,48837,40,1
123,240989,48835,40,3
124,239968,48838,40,4
125,237139,48837,41,1
126,240987,48835,41,3
127,240985,48838,41,4
128,240980,48837,42,1
129,240989,48835,42,3
130,239967,48838,42,4
131,240979,48837,43,1
132,240987,48835,43,3
133,240985,48838,43,4
134,237139,48837,44,1
135,240986,48835,44,3
136,239969,48838,44,4
137,237137,48837,45,1
138,239966,48835,45,3
139,239968,48838,45,4
140,240980,48837,46,1
141,240989,48835,46,3
142,240985,48838,46,4
143,237137,48837,47,1
144,240987,48835,47,3
145,239967,48838,47,4
146,237139,48837,48,1
147,240989,48835,48,3
148,240985,48838,48,4
149,237137,48837,49,1
150,240987,48835,49,3
151,239967,48838,49,4
152,240979,48837,50,1
153,239966,48835,50,3
154,239968,48838,50,4
