ID,Subclass,Quality,MinLevel,MaxLevel,SkillRequired,ExpansionID,Class
3,-1,2,1,8,0,0,2
4,-1,2,1,8,0,0,4
5,-1,2,9,12,0,0,4
6,-1,2,9,12,0,0,2
7,-1,2,13,16,0,0,2
8,-1,2,13,16,0,0,4
9,-1,3,1,16,0,0,4
10,-1,3,1,16,0,0,2
11,-1,3,16,18,0,0,4
12,-1,3,16,18,0,0,2
13,-1,2,16,18,0,0,4
14,-1,2,16,18,0,0,2
15,-1,3,19,20,0,0,4
16,-1,3,19,20,0,0,2
17,-1,2,19,20,0,0,4
18,-1,2,19,20,0,0,2
19,-1,3,21,22,0,0,4
20,-1,3,21,22,0,0,2
21,-1,2,21,22,0,0,4
22,-1,2,21,22,0,0,2
23,-1,3,22,24,0,0,4
24,-1,3,22,24,0,0,2
25,-1,2,22,24,0,0,4
26,-1,2,22,24,0,0,2
27,-1,3,24,26,0,0,4
28,-1,3,24,26,0,0,2
29,-1,2,24,26,0,0,4
30,-1,2,24,26,0,0,2
31,-1,2,26,28,0,0,2
34,-1,3,26,28,0,0,4
35,-1,3,26,28,0,0,2
38,-1,4,22,24,0,0,4
39,-1,4,22,24,0,0,2
40,-1,4,24,26,0,0,4
41,-1,4,24,26,0,0,2
42,-1,4,26,28,0,0,2
43,-1,4,26,28,0,0,4
44,-1,3,28,29,0,0,4
45,-1,3,28,29,0,0,2
46,-1,2,26,999,0,0,4
47,-1,2,28,29,0,0,2
48,-1,4,28,29,0,0,4
49,-1,4,28,29,0,0,2
50,-1,3,29,29,0,0,4
51,-1,3,29,29,0,0,2
53,-1,2,29,999,0,0,2
54,-1,4,29,29,0,0,4
55,-1,4,29,29,0,0,2
58,-1,3,29,999,0,0,4
59,-1,3,29,999,0,0,2
60,-1,4,29,999,0,0,2
61,-1,4,29,999,0,0,4
62,-1,2,31,999,0,1,2
63,-1,2,31,999,0,1,4
64,-1,3,31,999,0,1,2
65,-1,3,31,999,0,1,4
66,-1,4,1,999,0,1,2
67,-1,4,1,999,0,1,4
68,-1,3,1,31,0,1,4
69,-1,3,1,31,0,1,2
70,-1,2,1,31,0,1,4
71,-1,2,1,31,0,1,2
72,-1,4,1,16,0,0,4
73,-1,4,1,16,0,0,2
74,-1,4,16,18,0,0,4
75,-1,4,16,18,0,0,2
76,-1,4,19,20,0,0,4
77,-1,4,19,20,0,0,2
78,-1,4,21,22,0,0,4
79,-1,4,21,22,0,0,2
80,-1,4,1,999,0,2,2
81,-1,4,1,999,0,2,4
82,-1,2,1,33,0,2,4
83,-1,2,1,33,0,2,2
84,-1,3,1,34,0,2,4
85,-1,3,1,34,0,2,2
86,-1,3,34,999,0,2,4
87,-1,3,34,999,0,2,2
88,-1,2,33,35,0,2,4
89,-1,2,33,999,0,2,2
94,-1,2,35,999,0,2,4
95,-1,2,1,35,0,3,4
96,-1,2,36,36,0,3,4
97,-1,2,36,36,0,3,4
98,-1,2,36,999,0,3,4
99,-1,2,1,35,0,3,2
100,-1,2,35,35,0,3,2
101,-1,2,36,36,0,3,2
102,-1,2,36,36,0,3,2
103,-1,2,36,999,0,3,2
104,-1,3,1,36,0,3,4
105,-1,3,1,36,0,3,2
106,-1,3,36,999,0,3,4
107,-1,3,36,999,0,3,2
108,-1,4,1,999,0,3,2
109,-1,4,1,999,0,3,4
129,-1,3,1,38,0,4,4
130,-1,3,38,999,0,4,4
131,-1,3,1,38,0,4,2
132,-1,3,38,999,0,4,2
134,-1,2,1,37,0,4,4
135,-1,4,1,999,0,4,4
136,-1,4,1,999,0,4,2
137,-1,2,37,37,0,4,4
138,-1,2,37,38,0,4,4
139,-1,2,38,38,0,4,4
140,-1,2,38,999,0,4,4
141,-1,2,1,37,0,4,2
142,-1,2,37,37,0,4,2
143,-1,2,37,38,0,4,2
144,-1,2,38,38,0,4,2
145,-1,2,38,999,0,4,2
156,-1,3,1,999,0,5,4
157,-1,3,1,999,0,5,2
158,-1,2,1,999,0,5,2
159,-1,4,1,999,0,5,4
160,-1,4,1,999,0,5,2
161,-1,2,1,999,0,5,4
164,-1,2,1,999,0,6,4
165,-1,2,1,999,0,6,2
166,-1,3,1,999,0,6,4
167,-1,3,1,999,0,6,2
168,-1,4,1,999,0,6,4
169,-1,4,1,999,0,6,2
170,11,2,1,999,0,6,3
171,11,3,1,999,0,6,3
172,11,4,1,999,0,6,3
180,-1,3,1,999,0,7,4
181,-1,3,1,999,0,7,2
182,-1,2,1,999,0,7,4
183,-1,2,1,999,0,7,2
184,-1,4,1,999,0,7,4
185,-1,4,1,999,0,7,2
302,-1,3,1,999,0,8,4
303,-1,3,1,999,0,8,2
304,-1,2,1,999,0,8,4
305,-1,2,1,999,0,8,2
306,-1,4,1,999,0,8,4
307,-1,4,1,999,0,8,2
308,-1,2,180,999,0,9,4
309,-1,3,180,999,0,9,4
310,-1,4,180,999,0,9,4
311,-1,2,180,999,0,9,2
312,-1,3,180,999,0,9,2
313,-1,4,180,999,0,9,2
314,-1,2,1,999,0,9,19
315,-1,3,1,999,0,9,19
316,-1,4,1,999,0,9,19
317,-1,2,356,999,0,10,2
318,-1,3,356,999,0,10,2
319,-1,4,356,999,0,10,2
320,-1,2,356,999,0,10,4
321,-1,3,356,999,0,10,4
322,-1,4,356,999,0,10,4
323,-1,2,356,999,0,10,19
324,-1,3,356,999,0,10,19
325,-1,4,356,999,0,10,19
