ID,RequiredArenaRating,ArenaBracket,Flags,MinFactionID,MinReputation,RequiredAchievement,ItemID[0],ItemID[1],ItemID[2],ItemID[3],ItemID[4],ItemCount[0],ItemCount[1],ItemCount[2],ItemCount[3],ItemCount[4],CurrencyID[0],CurrencyID[1],CurrencyID[2],CurrencyID[3],CurrencyID[4],CurrencyCount[0],CurrencyCount[1],CurrencyCount[2],CurrencyCount[3],CurrencyCount[4]
7242,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7277,0,0,0,0,0,0,191249,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7278,0,0,0,0,0,0,191249,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7279,0,0,0,0,0,0,191249,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7280,0,0,0,0,0,0,191249,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7281,0,0,0,0,0,0,191249,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7282,0,0,0,0,0,0,191204,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7283,0,0,0,0,0,0,191204,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7293,0,0,0,0,0,0,191204,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7294,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7295,0,0,0,0,0,0,191249,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8514,0,0,0,0,0,0,216637,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8519,0,0,0,0,0,0,213170,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8520,0,0,0,0,0,0,213169,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8521,0,0,0,0,0,0,213169,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8522,0,0,0,0,0,0,213168,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8523,0,0,0,0,0,0,213168,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8524,0,0,0,0,0,0,213168,0,0,0,0,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8525,0,0,0,0,0,0,213169,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8526,0,0,0,0,0,0,213169,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8527,0,0,0,0,0,0,213169,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8531,0,0,0,0,0,0,217007,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8532,0,0,0,0,0,0,217008,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8533,0,0,0,0,0,0,217009,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8537,0,0,0,0,0,0,213169,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8584,0,0,0,0,0,0,221365,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8585,0,0,0,0,0,0,221366,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8588,0,0,0,0,0,0,220775,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8863,0,0,0,0,0,0,220636,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8864,0,0,0,0,0,0,220637,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8868,0,0,0,0,0,0,221365,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8869,0,0,0,0,0,0,221365,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8874,0,0,0,0,0,0,8345,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8876,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8878,0,0,0,0,0,0,10513,0,0,0,0,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8879,0,0,0,0,0,0,221262,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8880,0,0,0,0,0,0,221262,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8881,0,0,0,0,0,0,221262,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8909,0,0,0,0,0,0,219927,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8910,0,0,0,0,0,0,219927,0,0,0,0,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8943,0,0,0,0,0,0,220589,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
