ID,ChrSpecializationID,SpellAuraVisibilityID
1,261,709
16,259,709
21,260,713
22,259,713
23,261,713
24,71,713
25,105,713
26,103,713
27,102,713
28,72,713
29,73,713
42,250,730
43,103,730
44,66,730
45,73,730
51,250,728
52,103,728
53,66,728
54,73,728
63,261,736
64,71,736
65,103,736
68,261,740
69,71,740
70,261,737
71,71,737
72,103,737
77,103,740
78,261,741
79,71,741
80,103,741
81,250,745
82,103,745
83,66,745
84,73,745
85,250,746
86,103,746
87,66,746
88,73,746
97,250,749
98,103,749
99,66,749
100,73,749
110,258,1077
117,262,1080
118,264,1080
119,263,1080
120,262,1081
121,264,1081
122,263,1081
123,262,1082
124,264,1082
125,263,1082
126,262,1083
127,264,1083
128,263,1083
132,262,1147
133,264,1147
134,263,1147
135,262,1148
136,264,1148
137,263,1148
138,260,1149
139,259,1149
140,261,1149
141,71,1149
142,105,1149
143,103,1149
144,102,1149
145,72,1149
146,73,1149
147,256,1
148,257,1
464,270,1585
465,270,1586
509,258,1664
908,65,2039
909,66,2039
910,70,2039
1305,256,2384
1306,257,2384
1307,258,2384
1308,256,2385
1309,257,2385
1310,258,2385
1311,256,2386
1312,257,2386
1313,258,2386
1314,256,2387
1315,257,2387
1316,258,2387
1610,66,2926
1611,73,2926
1612,103,2926
1613,250,2926
1615,66,2928
1616,73,2928
1617,103,2928
1618,250,2928
1619,66,2929
1620,73,2929
1621,103,2929
1622,250,2929
1623,66,2930
1624,73,2930
1625,103,2930
1626,250,2930
1645,62,3045
1646,63,3045
1647,64,3045
1648,65,3045
1649,66,3045
1650,70,3045
1651,71,3045
1652,72,3045
1653,73,3045
1654,74,3045
1655,79,3045
1656,81,3045
1657,102,3045
1658,103,3045
1659,104,3045
1660,105,3045
1661,250,3045
1662,251,3045
1663,252,3045
1664,253,3045
1665,254,3045
1666,255,3045
1667,256,3045
1668,257,3045
1669,258,3045
1670,259,3045
1671,260,3045
1672,261,3045
1673,262,3045
1674,263,3045
1675,264,3045
1676,265,3045
1677,266,3045
