ID,Flags,RepeatType,DurationSecs,OffsetSecs,DateAlignmentType
7,0,0,86400,0,0
13,0,2,604800,0,0
317,0,5,86400,0,0
519,0,5,600,0,0
640,0,5,600,0,0
684,0,5,604800,0,0
710,0,5,600,0,0
711,0,5,600,0,0
712,0,5,600,0,0
713,0,5,600,0,0
714,0,5,600,0,0
715,0,5,600,0,0
716,0,5,600,0,0
717,0,5,600,0,0
718,0,5,600,0,0
719,0,5,600,0,0
720,0,5,600,0,0
721,0,5,600,0,0
722,0,5,600,0,0
723,0,5,600,0,0
724,0,5,600,0,0
725,0,5,600,0,0
726,0,5,600,0,0
727,0,5,600,0,0
728,0,5,600,0,0
729,0,5,600,0,0
730,0,5,600,0,0
731,0,5,600,0,0
732,0,5,600,0,0
733,0,5,600,0,0
734,0,5,600,0,0
735,0,5,600,0,0
736,0,5,600,0,0
737,0,5,600,0,0
738,0,5,600,0,0
739,0,5,600,0,0
