ID,Index,TraitTreeID,TraitCurrencyID
921,7,239,890
922,6,239,891
923,5,239,892
924,4,239,893
925,3,239,894
926,2,239,895
927,1,239,13
928,0,239,2
929,7,240,896
930,6,240,897
931,5,240,898
932,4,240,899
933,3,240,900
934,2,240,901
935,1,240,13
936,0,240,2
1188,7,276,1105
1189,6,276,1106
1190,5,276,1107
1191,4,276,1108
1192,3,276,1109
1193,2,276,1110
1194,1,276,13
1195,0,276,2
1376,8,302,1233
1377,7,302,1234
1378,6,302,1235
1379,5,302,1236
1380,4,302,1237
1381,3,302,1238
1382,2,302,1239
1383,1,302,3
1384,0,302,1
1385,5,303,1240
1386,4,303,1241
1388,3,303,1243
1389,2,303,1244
1390,1,303,3
1391,0,303,1
1400,14,305,1251
1401,13,305,1252
1402,12,305,1253
1403,11,305,1254
1404,10,305,1255
1405,9,305,1256
1406,8,305,1257
1407,7,305,1258
1408,6,305,1259
1409,5,305,1260
1410,4,305,1261
1411,3,305,1262
1412,2,305,1263
1413,1,305,3
1414,0,305,1
1634,11,348,1431
1635,6,348,1432
1636,12,348,1433
1637,10,348,1434
1638,8,348,1435
1639,7,348,1436
1640,5,348,1437
1641,9,348,1438
1642,4,348,1439
1643,3,348,1440
1644,2,348,1441
1645,1,348,19
1646,0,348,9
1654,12,350,1447
1655,11,350,1448
1656,10,350,1449
1657,9,350,1450
1658,8,350,1451
1659,7,350,1452
1660,6,350,1453
1661,5,350,1454
1662,4,350,1455
1663,3,350,1456
1664,2,350,1457
1665,1,350,19
1666,0,350,9
1673,5,352,1462
1674,4,352,1463
1675,3,352,1464
1676,2,352,1465
1677,1,352,18
1678,0,352,8
1679,6,353,1466
1680,5,353,1467
1681,4,353,1468
1682,3,353,1469
1683,2,353,1470
1684,1,353,18
1685,0,353,8
1686,2,354,1471
1687,0,354,8
1688,8,355,1472
1689,7,355,1473
1690,6,355,1474
1691,5,355,1475
1692,4,355,1476
1693,3,355,1477
1694,2,355,1478
1695,1,355,18
1696,0,355,8
1743,5,376,1535
1744,4,376,1536
1745,3,376,1537
1746,2,376,1538
1747,1,376,19
1748,0,376,9
1749,6,377,1539
1750,5,377,1540
1751,4,377,1541
1752,3,377,1542
1753,2,377,1543
1755,0,377,9
1882,4,403,1665
1883,3,403,1666
1884,2,403,1667
1885,1,403,21
1886,0,403,11
1887,5,404,1668
1888,4,404,1669
1889,3,404,1670
1890,2,404,1671
1891,1,404,21
1892,0,404,11
1893,4,405,1672
1894,3,405,1673
1895,2,405,1674
1896,1,405,21
1897,0,405,11
1905,6,407,1680
1906,5,407,1681
1907,4,407,1682
1908,3,407,1683
1909,2,407,1684
1910,1,407,17
1911,0,407,7
1912,9,408,1685
1913,8,408,1686
1914,7,408,1687
1915,6,408,1688
1916,5,408,1689
1917,4,408,1690
1918,3,408,1691
1919,2,408,1692
1920,1,408,17
1921,0,408,7
2074,5,444,1783
2075,4,444,1784
2076,3,444,1785
2077,2,444,1786
2078,0,444,12
