ID,LightParamID,Time,DirectColor,AmbientColor,SkyTopColor,SkyMiddleColor,SkyBand1Color,SkyBand2Color,SkySmogColor,SkyFogColor,SunColor,CloudSunColor,CloudEmissiveColor,CloudLayer1AmbientColor,CloudLayer2AmbientColor,OceanCloseColor,OceanFarColor,RiverCloseColor,RiverFarColor,ShadowOpacity,FogEnd,FogScaler,FogDensity,FogHeight,FogHeightScaler,FogHeightDensity,FogZScalar,MainFogStartDist,MainFogEndDist,SunFogAngle,CloudDensity,ColorGradingFileDataID,DarkerColorGradingFileDataID,HorizonAmbientColor,GroundAmbientColor,EndFogColor,EndFogColorDistance,FogStartOffset,SunFogColor,SunFogStrength,FogHeightColor,EndFogHeightColor,Field_10_0_0_44649_042,Field_12_0_0_63854_043,Field_1_60_1_69876_045,Field_1_60_1_69876_046,Field_1_60_1_69876_047,Field_1_60_1_69876_048,Field_1_60_1_69876_049,Field_1_60_1_69876_050,Field_1_60_1_69876_051,Field_1_60_1_69876_052,Field_1_60_1_69876_053,Field_1_60_1_69876_054,Field_1_60_1_69876_055,Field_1_60_1_69876_056,Field_1_60_1_69876_057,Field_1_60_1_69876_058,Field_1_60_1_69876_059,FogHeightCoefficients[0],FogHeightCoefficients[1],FogHeightCoefficients[2],FogHeightCoefficients[3],MainFogCoefficients[0],MainFogCoefficients[1],MainFogCoefficients[2],MainFogCoefficients[3],HeightDensityFogCoeff[0],HeightDensityFogCoeff[1],HeightDensityFogCoeff[2],HeightDensityFogCoeff[3]
22783,500,0,15901809,2972295,0,5425,11590,23160,7740,3093298,15266303,5931166,0,8512,0,0,0,264256,269132,0,16000,0.25,4.5,0,0,0,0,0,0,1,0.5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1.5,1.5,0,1,1,1,0,0,0,0,1,0.45,0,0,0,0,0,0,0,0,0,0,0,0
22785,500,720,15901809,2972295,2312788,4492416,13793608,16755520,16763468,3093298,16765590,16756568,0,2047320,0,0,0,264256,269132,0,16000,0.25,4.5,0,0,0,0,0,0,1,0.5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1.5,1.5,0,1,1,1,0,0,0,0,1,0.45,0,0,0,0,0,0,0,0,0,0,0,0
22786,500,1440,15901809,2972295,8009,3842767,9160926,11524832,11842740,3093298,16775134,16772562,0,4217713,0,0,0,264256,269132,0,16000,0.25,4.5,0,0,0,0,0,0,1,0.5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1.5,1.5,0,1,1,1,0,0,0,0,1,0.45,0,0,0,0,0,0,0,0,0,0,0,0
22787,500,2160,15901809,2972295,3093822,7036032,9729893,11891522,13074987,3093298,16769705,16752214,0,2113112,0,0,0,264256,269132,0,16000,0.25,4.5,0,0,0,0,0,0,1,0.5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1.5,1.5,0,1,1,1,0,0,0,0,1,0.45,0,0,0,0,0,0,0,0,0,0,0,0
34611,2919,0,1907997,1977182,1,15,591887,527386,525844,197382,3552822,658713,0,996209,3031393,2178607,3096,1719326,3165520,6052956,18000,0.1,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1.5,1.5,0,1,1,1,0,0,0,0,1,0.45,0,0,0,0,0,0,0,0,0,0,0,0
34613,2919,540,1907997,1977182,1,15,591887,527386,525844,197382,3552822,658713,0,996209,0,2178607,3096,1719326,3165520,6052956,18000,0.1,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1.5,1.5,0,1,1,1,0,0,0,0,1,0.45,0,0,0,0,0,0,0,0,0,0,0,0
34614,2919,720,1907997,1977182,1,15,591887,527386,525844,197382,3552822,11057344,0,14115868,2116719,5982274,1323055,3095095,3033933,7237230,18000,0.1,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1.5,1.5,0,1,1,1,0,0,0,0,1,0.45,0,0,0,0,0,0,0,0,0,0,0,0
34615,2919,840,1907997,1977182,1,15,591887,527386,525844,197382,3552822,10402762,0,10402762,0,5062973,1059370,2766388,2638147,6842472,18000,0.1,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1.5,1.5,0,1,1,1,0,0,0,0,1,0.45,0,0,0,0,0,0,0,0,0,0,0,0
34616,2919,1440,1907997,1977182,1,15,591887,527386,525844,197382,3552822,11584215,0,4417402,6390455,533032,3089,1254438,659988,5066061,18000,0.1,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1.5,1.5,0,1,1,1,0,0,0,0,1,0.45,0,0,0,0,0,0,0,0,0,0,0,0
34617,2919,1980,1907997,1977182,1,15,591887,527386,525844,197382,3552822,16764308,0,5923686,0,3492175,663342,2639686,1979191,6118749,18000,0.1,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1.5,1.5,0,1,1,1,0,0,0,0,1,0.45,0,0,0,0,0,0,0,0,0,0,0,0
