ID,ItemLevel,Quality[0],Quality[1],Quality[2],Quality[3],Quality[4],Quality[5],Quality[6]
1,1,1.177165,2.25654,2.911347,5.354722,9.678668,9.678668,9.678668
2,2,1.327749,2.545198,3.283769,5.772976,10.56,10.56,10.56
3,3,1.518757,2.911347,3.756169,6.133157,11.438453,11.438453,11.438453
4,4,1.713037,3.283769,4.325623,7.176432,12.119144,12.119144,12.119144
5,5,1.959473,3.756169,4.680381,8.069745,12.901476,12.901476,12.901476
6,6,2.25654,4.325623,5.11254,8.883511,13.57512,13.575122,13.575122
7,7,2.545198,4.680381,5.354722,9.678668,14.441762,14.441762,14.441762
8,8,2.911347,5.11254,5.772976,10.56,15.303562,15.303562,15.303562
9,9,3.283769,5.354722,6.133157,11.438453,16.051313,16.051313,16.051313
10,10,3.756169,5.772976,7.176432,12.119144,16.92052,16.92052,16.92052
11,11,4.325623,6.133157,8.069745,12.901476,17.683088,17.683088,17.683088
12,12,4.680381,7.176432,8.883511,13.57512,18.736376,18.736376,18.736376
13,13,5.11254,8.069745,9.678668,14.441762,19.6603,19.6603,19.6603
14,14,5.354722,8.883511,10.56,15.303562,20.476606,20.476606,20.476606
15,15,5.772976,9.678668,11.438453,16.051313,21.475958,21.475958,21.475958
16,16,6.133157,10.56,12.119144,16.92052,22.332094,22.332094,22.332094
17,17,7.176432,11.438453,12.901476,17.683088,23.357498,23.357498,23.357498
18,18,8.069745,12.119144,13.57512,18.736376,24.318176,24.318176,24.318176
19,19,8.883511,12.901476,14.441762,19.6603,25.300285,25.300285,25.300285
20,20,9.678668,13.57512,15.303562,20.476606,26.199408,26.199408,26.199408
21,21,10.56,14.441762,16.051313,21.475958,27.196362,27.196362,27.196362
22,22,11.438453,15.303562,16.92052,22.332094,28.052525,28.052525,28.052525
23,23,12.119144,16.051313,17.683088,23.357498,29.168318,29.168318,29.168318
24,24,12.901476,16.92052,18.736376,24.318176,29.997156,29.997156,29.997156
25,25,13.575122,17.683088,19.6603,25.300285,30.606342,30.606342,30.606342
26,26,14.441762,18.736376,20.476606,26.199408,31.335325,31.335325,31.335325
27,27,15.303562,19.6603,21.475958,27.196362,32.059772,32.059772,32.059772
28,28,16.051313,20.476606,22.332094,28.052525,32.869144,32.869144,32.869144
29,29,16.92052,21.475958,23.357498,29.168318,33.63879,33.63879,33.63879
30,30,17.683088,22.332094,24.318176,29.997156,34.197315,34.197315,34.197315
31,31,18.736376,23.357498,25.300285,30.606342,34.980995,34.980995,34.980995
32,32,19.6603,24.318176,26.199408,31.335325,35.632633,35.632633,35.632633
33,33,20.476606,25.300285,27.196362,32.059772,36.12993,36.12993,36.12993
34,34,21.475958,26.199408,28.052525,32.869144,37.325634,37.325634,37.325634
35,35,22.332094,27.196362,29.168318,33.63879,38.345707,38.345707,38.345707
36,36,23.357498,28.052525,29.997156,34.197315,39.290524,39.290524,39.290524
37,37,24.318176,29.168318,30.606342,34.980995,40.283024,40.283024,40.283024
38,38,25.300285,29.997156,31.335325,35.632633,41.46615,41.46615,41.46615
39,39,26.199408,30.606342,32.059772,36.12993,42.32312,42.32312,42.32312
40,40,27.196362,31.335325,32.869144,37.325634,43.431095,43.431095,43.431095
41,41,28.052525,32.059772,33.63879,38.345707,44.626984,44.626984,44.626984
42,42,29.168318,32.869144,34.197315,39.290524,45.793976,45.793976,45.793976
43,43,29.997156,33.63879,34.980995,40.283024,47.27365,47.27365,47.27365
