ID,Type,Field_9_0_1_33978_001,TransitionSkyBox,AmbienceID,SoundAmbienceID,EffectType,EffectTextureFileDataID,WindSettingsID,Scale,Volatility,TwinkleIntensity,FallModifier,RotationalSpeed,ParticulateFileDataID,VolumeEdgeFadeStart,OverrideColor,OverrideColorIntensity,OverrideCount,OverrideOpacity,VolumeFlags,LightningID,Intensity[0],Intensity[1],EffectColor[0],EffectColor[1],EffectColor[2]
1,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,256,0,0,0,1,1,1
2,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,256,0,0.25,0,1,1,1
3,1,0,1,0,1854,0,0,0,1,0,0,1,0,0,0,0,0,0,0.75,60,0,0.8,0,1,1,1
4,1,0,1,0,1723,0,0,0,1,0,0,1,0,0,0,0,0,0,0.85,60,0,0.75,0,1,1,1
5,1,0,1,0,1852,0,0,0,1,0,0,1,0,0,0,0,0,0,0,56,0,1,0,1,1,1
6,2,0,1,8536,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,56,0,0.5,0,1,1,1
7,2,0,1,8537,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0.75,60,0,0.75,0,1,1,1
8,2,0,1,8538,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,56,0,1,0,1,1,1
21,1,0,1,0,1863,0,0,13,1,0,0,1,0,0,0,0,0,0,0,56,0,1,0,1,1,1
22,3,0,1,8558,0,0,0,0,1,0,0,1,0,0,0,0,0,0.9,0.9,190,0,1,0,1,1,1
41,3,0,1,8556,0,0,0,0,1,0,0,1,0,0,0,0,0,0.7,0.65,190,0,0.5,0,1,1,1
42,3,0,1,8557,0,0,0,0,1,0,0,1,0,0,0,0,0,0.5,0.85,190,0,0.75,0,1,1,1
61,2,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0.2,0,1,1,1
81,1,0,1,0,1866,0,0,0,1,0,0,1,0,0,0,0,0,0.9,0.65,62,0,0.2,0.3,1,1,1
83,2,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,56,0,0.24,0.3,1,1,1
84,3,0,1,8556,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0.65,188,0,0.3,0,1,1,1
85,3,0,1,8556,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0.2,0.28,1,1,1
86,1,0,1,4994,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0.25,0,1,1,1
87,1,0,1,0,1866,0,0,0,1,0,0,1,0,0,0,0,0,0,0.7,60,0,0.8,0,1,1,1
91,1,0,1,0,1863,0,0,0,1,0,0,1,0,0,0,0,0,0,0.85,60,0,0.75,0,1,1,1
96,2,0,1,8537,0,0,0,0,1,0,0,1,0,0,0,0,0,0.75,0.8,62,0,0.5,0.75,1,1,1
97,2,0,1,8537,0,0,0,0,1,0,0,1,0,0,0,0,0,0.8,0.7,60,0,0.3,0.55,1,1,1
98,2,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0.2,0.5,62,0,0.28,0.28,1,1,1
99,1,0,1,0,1863,0,0,0,1,0,0,1,0,0,0,0,0,0,0.85,60,0,0.5,0.9,1,1,1
100,1,0,1,8535,0,0,0,0,1,0,0,1,0,0,0,14286848,1,0,0,57,0,1,0,1,1,1
102,1,0,1,0,1854,0,0,0,1,0,0,1,0,0,0,0,0,0,0.75,60,0,1,0,1,1,1
105,3,1,1,8556,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0.7,188,0,0.28,0.3,1,1,1
106,3,1,1,8556,0,0,0,0,1,0,0,1,0,0,0,0,0,0.6,0.8,190,0,0.5,0,1,1,1
108,1,0,1,8535,0,0,0,0,1,0,0,1,0,0,0,13828096,1,0,0,57,0,1,0,1,1,1
109,3,0,1,8556,0,0,0,0,1,0,0,1,0,0,0,0,0,0.6,0.8,190,0,0.5,0,0.9686275,0.6901961,0.38431376
144,2,0,1,8538,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,56,0,1,0,1,1,1
155,0,1,1,34752,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,256,0,0,0,1,1,1
156,0,1,1,34751,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,256,0,0,0,1,1,1
159,2,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0.5,0.75,62,0,0.5,0,1,1,1
162,4,1,1,24416,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,56,0,1,0,0,0,0
169,4,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,56,0,1,0,1,1,1
173,2,0,1,8536,1338,0,0,1,1,0,0,1,0,0,0,0,0,0.7,0,56,0,0.3,0,1,1,1
174,2,0,1,0,0,0,0,11,1,0,0,1,0,0,0,0,0,0,0,56,0,0.3,0.4,1,1,1
175,2,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0.5,0,58,0,0.45,0.6,1,1,1
176,2,0,1,0,0,0,0,12,1,0,0,1,0,0,0,0,0,0,0,0,0,0.1,0.2,1,1,1
177,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,256,0,0.1,0.2,1,1,1
179,1,0,1,8533,0,0,0,0,1,0,0,1,0,0,0,13828096,1,0,0.75,61,0,0.8,0,1,1,1
180,1,0,1,8533,0,0,0,0,1,0,0,1,0,0,0,-2949120,1,0,0.75,61,0,1,0,1,1,1
181,1,0,1,0,1853,0,0,0,1,0,0,1,0,0,0,0,0,0,0.75,60,0,1,0,1,1,1
182,4,0,1,0,0,0,0,11,3,5,1,0.7,0.2,0,0,0,0,0,0,56,0,1,0,1,1,1
197,4,1,1,0,0,0,0,11,1,0,0,0.5,0.6,0,0,-11043768,1.5,0,0,25,0,1,0,0.41176474,0.50980395,0.41960788
202,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,256,0,0.15,0,1,1,1
203,2,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0.8,0,58,0,0.8,0.9,1,1,1
206,1,0,1,0,1867,0,0,11,1,0,0,1,0,0,0,0,0,0,0.65,60,0,0.6,0,1,1,1
207,0,1,1,0,0,0,0,11,1,0,0,1,0,0,0,0,0,0,0,256,0,0,0,1,1,1
208,0,1,1,0,0,0,0,12,1,0,0,1,0,0,0,0,0,0,0,256,0,0,0,1,1,1
211,0,1,1,0,0,0,0,13,1,0,0,1,0,0,0,0,0,0,0,256,0,0,0,1,1,1
212,1,0,1,0,1867,0,0,11,1,0,0,1,0,0,0,0,0,0,0.7,60,0,0.8,0,1,1,1
213,0,0,1,0,0,0,0,11,1,0,0,1,0,0,0,0,0,0,0,256,0,0.25,0,1,1,1
214,1,0,1,0,1867,0,0,11,1,0,0,1,0,0,0,0,0,0,0.75,60,0,1,0,1,1,1
215,1,0,1,0,1863,0,0,13,1,0,0,1,0,0,0,0,0,0,0.85,60,0,0.75,0,1,1,1
216,0,0,1,0,0,0,0,14,1,0,0,1,0,0,0,0,0,0,0,256,0,0.25,0,1,1,1
217,0,1,1,0,0,0,0,14,1,0,0,1,0,0,0,0,0,0,0,256,0,0,0,1,1,1
218,1,0,1,0,1852,0,0,11,1,0,0,1,0,0,0,0,0,0,0.8,60,0,1,0,1,1,1
219,1,0,1,0,1853,0,0,12,1,0,0,1,0,0,0,0,0,0.9,0.65,62,0,0.2,0.3,1,1,1
220,0,1,1,0,0,0,0,17,1,0,0,1,0,0,0,0,0,0,0,256,0,0,0,1,1,1
221,0,1,1,0,0,0,0,18,1,0,0,1,0,0,0,0,0,0,0,256,0,0,0,1,1,1
223,4,1,1,0,0,0,0,11,0.75,0,0,0.5,0.6,0,0,0,0,0,0,24,0,1,0,0.50980395,0.4431373,0.41176474
241,2,0,1,0,1722,0,0,13,1,0,0,1,0,0,0,0,0,0.8,0,58,0,0.8,0.9,1,1,1
242,4,1,1,0,0,0,0,0,0.75,0,0,0.25,0.2,0,0,0,0,0,0,24,0,1,0,0.69803923,0.37647063,0.12156864
245,3,0,1,0,1625,0,0,0,1,0,0,1,0,0,0,0,0,0.6,0.8,190,0,0.3,0,1,1,1
262,3,0,1,0,1229,0,0,0,1,0,0,1,0,0,0,0,0,0,0,56,0,1,0,1,1,1
266,4,1,1,0,1716,0,0,0,1,0,0,1,0,0,0,0,0,0,0,56,0,1,0,1,1,1
267,4,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,56,0,1,0,1,1,1
268,4,0,1,0,1714,0,0,0,1,0,0,1,0,0,0,0,0,0,0,56,0,1,0,1,1,1
269,4,0,1,0,1711,0,0,0,1,0,0,1,0,0,0,0,0,0,0,56,12,1,0,1,1,1
270,4,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,56,0,1,0,1,1,1
271,4,0,1,0,1717,0,0,0,1,0,0,1,0,0,0,0,0,0,0,56,0,1,0,1,1,1
272,3,0,1,0,1712,0,0,23,1,0,0,1,0,0,0,16777215,0,0.55,0.85,190,0,1,0,1,1,1
276,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,56,0,1,0,1,1,1
277,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,56,0,1,0,1,1,1
278,1,0,1,0,1863,0,0,13,1,0,0,1,0,0,0,0,0,0,0.85,60,0,0.75,0,1,1,1
279,1,0,1,0,1723,0,0,11,1,0,0,1,0,0,0,0,0,0,0.75,60,0,0.8,0,1,1,1
280,3,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,56,0,1,0,1,1,1
281,2,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,56,0,1,0,1,1,1
282,2,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,56,0,1,0,1,1,1
284,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,8158332,0,0,0,56,0,1,0,1,1,1
285,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,312,0,1,0,1,1,1
286,1,0,1,111999,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,56,0,1,0,1,1,1
