ID,ParticleModel,Field_9_0_1_33978_001,Field_9_0_1_33978_002,Field_9_0_1_33978_003,Field_9_0_1_33978_004,Field_9_0_1_33978_005,Field_9_0_1_33978_006,Field_9_0_1_33978_007,Field_9_0_1_33978_008,Field_9_0_1_33978_009,Flags,Field_9_0_1_33978_011,Field_9_0_1_33978_012,Field_9_0_1_33978_013,Field_9_0_1_33978_014,Field_9_0_1_33978_015,Field_9_0_1_33978_016,Field_9_0_1_33978_017,Field_9_0_1_33978_018,Field_9_0_1_33978_019,Field_9_0_1_33978_020,Field_9_0_1_33978_021,Field_9_0_1_33978_022,Field_9_0_1_33978_023,Field_9_0_1_33978_024,Field_9_0_1_33978_025,Field_9_0_1_33978_026,Field_9_0_1_33978_027,Field_9_0_1_33978_028,Field_9_0_1_33978_029,Field_9_0_1_33978_030,Field_9_0_1_33978_031,Field_9_0_1_33978_032,Field_9_0_1_34199_033,Field_9_0_1_34972_034
4,0,1,1,0,0.08,20,169252,17851,17852,17853,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0.5,1,1,1,1,1,1,5,0
5,0,50,5,3,0,3,0,17538,17539,17540,0,15,9,3,0,4,8,40,60,0,0,0,0,1,0.03137255,2,1,8,1,10,25,1,6,3,1
6,0,1,1,0,0.08,20,0,17575,17576,17577,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,3,1
7,3260373,1,3,3,0.2,10,169041,17615,17616,17617,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,2,1.5,2.5,40,2.5,10,2.5,10,4,1
11,3260378,1,3,3,0.05,8,169279,17671,17672,17673,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0,20,10,25,10,5,1
13,0,0,0,0,0,0,0,18191,18192,18193,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,3,1
15,3260369,8,1.5,2,0.2,5,169268,17575,17576,17577,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0.6,1,1,10,10,10,100,1,1
16,0,1,1,0,20,0.1,0,17575,17576,17577,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,1,1,20,30,20,30,3,1
19,0,1,1,0,0.08,20,0,17851,17852,17853,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,1,1,1,1,1,1,6,1
20,0,1,1,0,0.08,0.5,0,17851,17852,17853,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1.5,0.8,1,1,1,1,1,1,5,1
22,0,0,0,0,0.08,2,0,18868,18869,18870,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0.8,1,1,1,1,1,1,5,1
24,0,1,1,0,0.08,20,169252,17851,17852,17853,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0.5,1,1,1,1,1,1,5,0
