ID,PerksActivityID,Field_10_0_5_47118_002
21,45,4
24,53,4
26,47,4
27,49,4
28,56,4
29,55,4
30,54,4
31,46,4
32,40,4
33,42,4
35,52,4
38,44,4
39,43,4
40,50,4
41,76,5
42,71,5
44,65,5
45,61,5
46,75,5
47,70,5
48,68,5
49,74,5
50,73,5
51,66,5
52,69,5
53,64,5
59,72,5
60,67,5
63,16,4
65,14,31
68,11,31
69,12,31
70,10,31
77,82,4
78,83,4
79,84,4
80,85,4
81,86,4
82,87,4
83,88,4
86,91,4
87,92,4
88,93,5
89,94,4
90,95,4
91,96,4
92,97,4
93,98,8
94,99,8
95,100,8
96,101,8
97,102,5
98,103,5
99,104,5
100,105,5
101,106,8
102,108,5
103,109,5
104,110,5
105,111,5
106,112,5
107,114,8
108,115,8
109,113,5
110,116,8
111,117,8
112,118,8
113,119,8
114,120,8
115,122,5
116,123,5
117,124,8
118,125,8
119,126,5
120,127,5
121,128,8
122,129,8
123,93,8
124,92,8
125,105,8
127,135,8
128,136,8
129,137,8
130,138,8
131,139,8
132,140,5
133,141,8
134,142,8
135,143,5
136,121,5
137,144,4
139,146,4
141,149,8
142,150,5
144,77,5
145,148,5
146,85,8
147,107,8
161,154,2
162,155,2
163,156,2
164,157,2
165,158,2
166,159,2
168,160,2
169,161,2
170,162,2
172,164,2
173,165,2
174,166,2
175,167,2
176,168,2
177,169,2
178,170,2
179,171,2
180,172,2
181,173,2
182,174,2
184,176,2
185,177,2
186,178,2
187,179,2
193,148,2
194,94,2
195,93,2
197,181,2
199,109,35
200,105,35
201,92,35
202,140,35
203,154,35
204,182,35
206,185,35
207,186,35
208,187,35
209,188,35
210,159,35
211,190,35
212,191,35
213,192,35
214,193,35
215,194,35
216,195,35
217,196,35
220,200,35
221,201,35
222,202,35
223,203,35
225,205,35
226,206,35
227,207,35
229,154,36
230,209,36
231,210,36
232,211,36
233,212,36
234,161,36
235,148,36
236,37,36
237,213,36
238,214,36
239,215,36
240,180,36
241,216,36
242,63,36
243,41,36
244,217,36
245,218,35
246,219,35
247,220,36
248,221,36
249,222,36
250,223,35
251,224,36
252,225,35
253,226,36
254,227,36
255,228,36
256,230,36
257,231,36
258,232,36
259,233,36
260,234,35
261,235,35
262,236,36
263,237,36
264,238,36
265,239,36
266,240,35
267,241,36
268,242,36
269,243,36
270,244,36
271,245,36
272,246,36
273,247,36
274,94,36
275,93,36
276,248,2
277,249,2
278,250,2
279,251,36
280,252,36
281,253,36
282,189,35
283,255,35
284,255,36
285,256,35
286,254,35
289,154,37
290,92,37
291,210,37
292,258,37
293,259,37
294,260,37
295,161,37
296,94,37
297,261,37
298,262,37
299,263,37
300,264,37
301,88,37
302,265,37
303,61,37
304,266,37
305,267,37
306,268,37
307,269,37
308,270,37
309,271,37
310,272,37
311,273,37
312,274,37
313,275,37
314,276,37
318,279,37
319,280,37
320,281,37
321,282,37
322,283,37
323,284,37
324,285,37
325,286,37
326,287,37
327,248,35
328,248,36
329,253,35
330,288,35
331,288,36
332,289,35
333,289,36
334,288,37
337,240,37
338,291,37
339,292,37
340,293,37
341,294,37
342,295,37
343,296,37
344,297,37
345,298,37
346,299,37
347,300,37
348,301,37
349,302,37
350,303,37
351,304,37
353,240,38
354,93,38
355,210,38
356,258,38
357,259,38
358,160,38
359,148,38
360,300,38
361,301,38
362,289,38
363,288,38
364,305,38
367,306,38
368,307,38
369,308,38
370,309,38
375,314,38
376,315,38
377,316,38
378,317,38
379,318,38
380,319,38
381,320,38
383,105,38
386,250,36
387,324,38
388,325,38
399,326,39
400,327,39
403,201,39
404,330,39
405,331,39
406,334,39
407,339,39
408,340,39
409,105,39
410,200,39
411,196,39
412,288,39
414,300,39
415,301,39
416,341,38
417,342,38
418,343,38
419,344,38
422,347,39
423,258,39
424,259,39
425,348,39
428,350,39
429,240,39
431,13,39
433,90,39
434,353,39
435,354,39
436,355,39
437,356,39
438,357,39
439,358,39
440,359,39
441,360,39
442,361,39
443,362,39
444,363,39
472,367,39
473,366,39
474,364,39
475,365,39
480,288,40
481,401,40
483,400,40
484,395,40
486,404,40
487,399,40
488,392,40
489,389,40
490,391,40
491,394,40
492,393,40
493,402,40
495,388,40
496,397,40
497,387,40
498,396,40
499,384,40
500,385,40
502,380,40
505,377,40
506,383,40
507,372,40
508,375,40
509,373,40
510,378,40
511,379,40
512,370,40
513,369,40
514,371,40
516,376,40
518,93,40
519,368,40
520,398,40
521,16,40
523,406,40
524,407,40
627,414,39
629,79,37
630,145,37
632,415,39
633,416,39
634,416,40
635,414,40
636,415,40
637,145,36
638,81,36
639,7,36
640,79,36
641,4,36
642,3,36
643,8,36
644,4,37
646,8,37
647,3,37
648,7,37
654,419,39
655,417,39
656,418,39
657,418,40
658,417,40
659,419,40
660,422,39
661,420,39
662,421,39
663,420,40
664,421,40
665,422,40
666,423,40
667,423,39
668,424,39
670,412,39
677,81,38
678,6,38
679,81,37
680,426,39
681,430,39
682,427,39
683,429,39
684,428,39
686,335,38
687,334,38
688,346,38
689,345,38
690,333,38
691,332,38
692,330,38
693,328,38
694,331,38
695,327,38
696,326,38
697,329,38
698,321,38
706,5,41
707,20,41
708,17,41
709,23,41
710,24,41
711,26,41
712,27,41
713,28,41
714,29,41
715,30,41
716,34,41
718,457,41
719,458,41
720,459,41
722,462,41
723,19,41
724,21,41
725,465,41
726,464,41
727,463,41
728,466,41
730,470,41
731,460,41
732,461,41
733,288,41
734,404,41
735,139,41
737,468,41
738,469,41
740,391,41
741,471,41
747,473,41
748,475,41
749,474,41
750,476,41
752,336,35
753,337,35
754,390,40
755,92,39
756,92,41
757,4,38
758,3,38
759,8,38
760,79,38
761,145,38
762,7,38
763,289,37
764,483,40
765,484,38
766,431,40
769,489,41
770,453,40
771,454,40
772,455,40
773,456,40
774,452,40
775,458,40
776,478,31
777,479,31
778,390,41
780,491,41
793,493,72
794,492,72
795,494,72
798,497,72
799,495,72
800,502,72
802,501,72
803,503,72
804,496,72
806,505,72
809,506,72
810,507,72
811,93,72
812,452,72
814,509,72
815,456,72
816,510,72
817,511,72
818,512,72
819,513,72
820,508,72
822,384,72
823,301,72
824,300,72
825,368,72
826,369,72
830,516,72
831,517,72
834,6,31
836,277,40
837,278,40
838,520,72
839,521,72
840,522,72
841,525,72
842,523,72
843,524,72
844,532,90
845,527,90
846,528,90
847,526,90
848,522,90
849,521,90
850,520,90
851,469,90
852,530,90
853,529,90
854,531,90
855,452,90
856,468,90
857,288,90
858,525,90
859,524,90
860,404,90
863,103,90
864,537,90
865,535,90
866,534,90
867,536,90
868,533,90
869,539,90
870,538,90
871,542,90
872,543,90
873,540,90
874,541,90
875,545,90
876,544,90
877,54,90
878,55,90
879,46,90
880,518,72
881,519,72
882,546,72
883,92,90
885,550,90
886,553,90
887,551,90
888,549,90
889,548,90
890,552,90
891,547,90
892,144,90
893,459,92
894,404,92
895,460,92
896,288,92
897,572,92
898,524,92
899,73,92
900,565,92
901,112,92
902,573,92
903,574,92
904,575,92
905,564,92
907,563,92
908,566,92
909,559,92
910,560,92
911,570,92
912,554,92
913,567,92
914,555,92
915,568,92
916,571,92
918,557,92
919,556,92
920,558,92
921,562,92
922,525,92
923,452,92
924,178,92
925,93,92
928,576,92
939,417,31
940,415,31
941,418,31
942,416,31
943,420,31
944,421,31
945,423,31
946,419,31
948,422,31
949,172,93
950,115,93
951,71,93
952,92,93
953,404,93
954,288,93
955,142,93
956,518,93
957,519,93
958,404,94
959,288,94
960,93,94
961,468,94
962,456,94
966,586,94
967,588,94
968,589,94
969,590,94
970,591,94
971,592,94
972,593,94
977,604,96
978,601,96
979,603,96
980,602,96
981,610,94
982,611,96
983,360,96
984,342,96
985,612,96
986,613,96
988,614,96
989,92,96
990,288,96
991,404,96
992,243,97
993,616,97
994,617,97
995,209,97
996,186,97
997,93,97
998,404,97
999,288,97
1000,623,96
1001,624,96
1002,228,97
1003,378,97
1004,384,97
1005,288,98
1006,404,98
1007,92,98
1008,518,98
1009,519,98
1011,341,98
1012,628,98
1013,629,98
1014,371,98
1015,372,98
1016,630,98
1017,412,98
1018,334,98
1019,428,98
1020,426,98
1021,429,98
1022,430,98
1023,465,98
1024,104,98
1025,339,98
1026,427,98
1032,618,97
1034,619,97
1035,631,97
1049,637,98
1050,638,98
1051,633,98
1052,636,98
1053,634,98
1054,635,98
1055,639,98
1056,632,98
1057,640,98
1058,641,98
1059,642,98
1060,601,94
1061,602,94
1069,532,97
1070,454,97
1071,83,97
1072,626,97
1073,627,97
1074,84,97
1075,625,97
1076,633,97
1077,632,97
1078,635,97
1079,636,97
1080,634,97
1081,637,97
1082,638,97
1083,639,97
1087,609,98
1088,645,98
1089,646,98
1090,645,99
1091,609,99
1092,646,99
1093,646,100
1094,609,100
1095,645,100
1096,606,98
1097,606,99
1098,606,100
1099,684,100
1100,684,99
1101,684,98
1102,683,98
1103,683,99
1104,683,100
1105,682,98
1106,682,99
1107,682,100
1108,607,100
1109,607,99
1110,607,98
1111,670,98
1112,670,99
1113,670,100
1114,650,99
1115,664,99
1116,668,99
1117,673,99
1118,674,99
1119,652,99
1120,660,99
1121,667,99
1122,651,99
1123,675,99
1148,654,100
1149,653,100
1150,662,100
1151,661,100
1152,663,100
1153,655,100
1154,671,100
1155,678,100
1156,659,100
1157,681,100
1158,672,100
1159,675,100
1160,276,99
1161,506,99
1162,366,99
1163,505,99
1164,278,100
1165,277,100
1166,545,100
1167,544,100
1168,13,98
1169,89,98
1170,670,31
1171,607,31
1172,90,98
1173,414,98
1174,504,98
1175,13,31
