ID,Type,Flags
104,0,1
105,0,1
106,0,1
1344,0,1
1346,0,1
1347,0,1
1397,0,1
2073,0,0
2244,0,0
3159,0,1
3160,0,1
13616,0,0
24220,2,0
26260,0,0
29918,0,0
30100,0,0
30372,0,0
30373,0,0
30374,0,0
33101,0,0
64399,0,0
67999,0,0
68000,0,0
69052,0,0
69373,0,0
69430,0,0
69435,0,0
69436,0,0
69444,1,0
70961,0,0
71345,0,0
72257,0,0
73147,0,0
73218,0,0
73219,0,0
73220,0,0
73300,0,0
73312,0,1
73313,0,1
73314,0,1
73315,0,1
73316,0,1
73317,0,1
73318,0,1
73319,0,1
73320,0,1
73321,0,1
73322,0,1
73323,0,1
73324,0,1
73325,0,1
73326,0,1
73327,0,1
73328,0,1
73329,0,1
73333,0,1
73334,0,1
73335,0,1
73336,0,1
73337,0,1
73338,0,1
73339,0,1
73340,0,1
73341,0,1
73342,0,1
73343,0,1
73344,0,1
73345,0,1
73346,0,1
73347,0,1
73348,0,1
73349,0,1
73350,0,1
73353,0,1
73354,0,1
73355,0,1
73356,0,1
73357,0,1
73358,0,1
73359,0,1
73360,0,1
73361,0,1
73362,0,1
73363,0,1
73364,0,1
73365,0,1
73366,0,1
73367,0,1
73368,0,1
73369,0,1
73370,0,1
73371,0,1
73372,0,1
73373,0,1
73428,0,0
73456,0,0
73734,0,0
74270,0,1
74271,0,1
74272,0,1
74273,0,1
74274,0,1
74275,0,1
74949,0,0
74950,0,0
74951,0,0
74974,0,0
75379,0,0
75400,0,0
75401,0,0
75892,0,0
75893,0,0
75894,0,0
75895,0,0
75896,0,0
75897,0,0
76487,0,0
77415,0,0
77450,0,0
77451,0,0
77452,0,0
77453,0,0
77454,0,0
77455,0,0
77776,0,0
77952,0,1
77953,0,1
77954,0,1
77972,0,0
78008,0,0
78137,0,0
78139,0,0
78166,0,0
78472,0,1
78473,0,1
78474,0,1
78704,0,0
79409,0,1
79410,0,1
79411,0,1
79412,0,1
79413,0,1
79414,0,1
79445,0,1
79446,0,1
79447,0,1
79448,0,1
79449,0,1
79450,0,1
79500,0,0
79501,0,0
79534,0,0
79535,0,0
79537,0,0
79564,0,0
79796,0,1
79797,0,1
79798,0,1
79799,0,1
79800,0,1
79801,0,1
79817,0,1
79818,0,1
79819,0,1
79823,0,1
79824,0,1
79825,0,1
79826,0,1
79827,0,1
79828,0,1
79858,0,1
79859,0,1
79860,0,1
79861,0,1
79862,0,1
79863,0,1
79864,0,1
79865,0,1
79866,0,1
79869,0,1
79870,0,1
79871,0,1
79872,0,1
79873,0,1
79874,0,1
79887,0,0
79935,0,1
79936,0,1
79937,0,1
80579,0,1
80580,0,1
80581,0,1
80667,0,1
80668,0,1
80669,0,1
80670,0,1
80671,0,1
80672,0,1
80673,0,1
80674,1,1
80675,0,1
80676,0,1
80677,1,1
80678,1,1
80679,0,1
80680,1,1
80681,0,1
80682,0,1
80683,0,1
80684,0,1
80685,0,1
80686,0,1
80687,0,1
80688,0,1
80689,0,1
80690,0,1
81132,0,0
81143,0,0
81144,0,0
81145,0,0
81181,0,0
81980,0,1
81981,0,1
81982,0,1
81983,0,1
81984,0,1
81985,0,1
81986,0,1
81987,0,1
81988,0,1
82152,0,0
82259,0,0
82728,0,1
84639,0,0
84652,0,0
84679,0,0
84721,0,1
84722,0,1
84723,0,1
84816,0,1
84817,0,1
84818,0,1
84916,0,0
84917,0,0
85914,0,1
85915,0,1
85916,0,1
