ID,RaceID,SexID,VariationID,GeosetID,Showscalp,VariationType,GeosetType,ColorIndex,CustomGeoFileDataID,HdCustomGeoFileDataID
21,1,0,0,1,1,3,0,-1,0,0
22,1,0,1,2,0,3,0,-1,0,0
23,1,0,2,3,0,3,0,-1,0,0
24,1,0,3,4,0,3,0,-1,0,0
25,1,0,4,5,0,3,0,-1,0,0
26,1,0,5,6,0,3,0,-1,0,0
27,1,0,6,7,0,3,0,-1,0,0
28,1,0,7,8,0,3,0,-1,0,0
29,1,0,8,9,0,3,0,-1,0,0
30,1,0,9,10,0,3,0,-1,0,0
31,1,0,10,11,0,3,0,-1,0,0
32,1,0,11,12,0,3,0,-1,0,0
34,1,1,0,2,0,3,0,-1,0,0
35,1,1,1,3,0,3,0,-1,0,0
36,1,1,2,4,0,3,0,-1,0,0
37,1,1,3,5,0,3,0,-1,0,0
38,1,1,4,6,0,3,0,-1,0,0
39,1,1,5,7,0,3,0,-1,0,0
40,1,1,6,8,0,3,0,-1,0,0
41,1,1,7,9,0,3,0,-1,0,0
42,1,1,8,10,0,3,0,-1,0,0
43,1,1,9,11,0,3,0,-1,0,0
44,1,1,10,12,0,3,0,-1,0,0
45,1,1,11,13,0,3,0,-1,0,0
46,1,1,12,14,0,3,0,-1,0,0
47,1,1,13,15,0,3,0,-1,0,0
48,1,1,14,16,0,3,0,-1,0,0
49,1,1,15,17,0,3,0,-1,0,0
50,1,1,16,18,0,3,0,-1,0,0
51,1,1,17,19,0,3,0,-1,0,0
52,1,1,18,20,0,3,0,-1,0,0
53,2,0,0,0,1,3,0,-1,0,0
54,2,0,1,2,0,3,0,-1,0,0
55,2,0,2,3,0,3,0,-1,0,0
56,2,0,3,4,0,3,0,-1,0,0
57,2,0,4,5,0,3,0,-1,0,0
58,2,0,5,6,0,3,0,-1,0,0
59,2,0,6,7,0,3,0,-1,0,0
60,2,1,0,2,0,3,0,-1,0,0
61,2,1,1,3,0,3,0,-1,0,0
62,2,1,2,4,0,3,0,-1,0,0
63,2,1,3,5,0,3,0,-1,0,0
64,2,1,4,6,0,3,0,-1,0,0
65,2,1,5,7,0,3,0,-1,0,0
66,2,1,6,8,0,3,0,-1,0,0
69,6,0,0,2,0,3,0,-1,0,0
70,6,0,1,3,0,3,0,-1,0,0
71,6,0,2,4,0,3,0,-1,0,0
72,6,0,3,5,0,3,0,-1,0,0
73,6,0,4,6,0,3,0,-1,0,0
74,6,0,5,7,0,3,0,-1,0,0
75,6,0,6,8,0,3,0,-1,0,0
76,6,0,7,9,0,3,0,-1,0,0
78,6,1,0,2,0,3,0,-1,0,0
79,6,1,1,3,0,3,0,-1,0,0
80,6,1,2,4,0,3,0,-1,0,0
81,6,1,3,5,0,3,0,-1,0,0
82,6,1,4,6,0,3,0,-1,0,0
85,3,0,0,0,1,3,0,-1,0,0
86,3,0,1,2,0,3,0,-1,0,0
87,3,0,2,3,0,3,0,-1,0,0
88,3,0,3,4,0,3,0,-1,0,0
89,3,0,4,5,0,3,0,-1,0,0
90,3,0,5,6,0,3,0,-1,0,0
91,3,0,6,7,0,3,0,-1,0,0
92,3,0,7,8,0,3,0,-1,0,0
93,3,0,8,9,0,3,0,-1,0,0
94,3,0,9,10,0,3,0,-1,0,0
95,3,0,10,11,0,3,0,-1,0,0
97,3,1,0,2,0,3,0,-1,0,0
98,3,1,1,3,0,3,0,-1,0,0
99,3,1,2,4,0,3,0,-1,0,0
100,3,1,3,5,0,3,0,-1,0,0
101,3,1,4,6,0,3,0,-1,0,0
102,3,1,5,7,0,3,0,-1,0,0
103,3,1,6,8,0,3,0,-1,0,0
104,3,1,7,9,0,3,0,-1,0,0
105,3,1,8,10,0,3,0,-1,0,0
106,3,1,9,11,0,3,0,-1,0,0
107,3,1,10,12,0,3,0,-1,0,0
108,3,1,11,13,0,3,0,-1,0,0
109,3,1,12,14,0,3,0,-1,0,0
110,3,1,13,15,0,3,0,-1,0,0
112,4,0,0,2,0,3,0,-1,0,0
113,4,0,1,3,0,3,0,-1,0,0
114,4,0,2,4,0,3,0,-1,0,0
115,4,0,3,5,0,3,0,-1,0,0
116,4,0,4,6,0,3,0,-1,0,0
117,4,0,5,7,0,3,0,-1,0,0
118,4,0,6,8,0,3,0,-1,0,0
120,4,1,0,2,0,3,0,-1,0,0
121,4,1,1,3,0,3,0,-1,0,0
122,4,1,2,4,0,3,0,-1,0,0
123,4,1,3,5,0,3,0,-1,0,0
124,4,1,4,6,0,3,0,-1,0,0
125,4,1,5,7,0,3,0,-1,0,0
126,4,1,6,8,0,3,0,-1,0,0
127,5,0,0,0,1,3,0,-1,0,0
128,5,0,1,2,0,3,0,-1,0,0
