ID,SpellID,ChrUpgradeBucketID
1,44425,1
3,30451,1
7,76547,1
8,114664,1
12,2139,4
14,118,4
16,12042,5
64,48263,23
65,77513,23
66,86537,23
67,82246,23
75,81136,25
76,47528,26
78,48707,26
81,49028,27
82,49020,28
83,49184,28
84,49143,28
87,77514,28
88,86113,28
90,51128,28
95,59057,30
96,47528,31
97,45524,31
101,47568,32
107,77515,33
108,86536,33
129,24858,38
130,77492,38
134,86104,38
150,77493,43
151,33873,43
154,86097,43
166,33917,48
167,6807,48
169,5487,48
170,155783,48
171,16961,48
172,16931,48
174,86096,48
175,6795,50
179,106839,51
181,106832,52
185,5176,53
187,774,53
188,5185,53
189,77495,53
190,85101,53
191,112857,53
192,17073,53
194,86093,53
196,8936,55
197,18562,55
198,33786,56
199,339,56
200,88423,56
201,145205,57
202,132158,57
203,48438,57
208,982,58
209,76657,58
226,883,63
228,982,63
230,86538,63
238,147362,66
240,1499,66
241,5384,66
244,35110,67
255,6117,1
256,5143,3
258,31589,3
263,12846,73
264,117216,73
266,30482,73
293,100780,83
294,100784,83
295,109132,83
297,115069,83
298,117906,83
299,120225,83
300,124502,83
302,116812,83
304,115308,85
305,115546,85
310,115078,86
311,116705,86
312,115181,87
315,117952,88
317,115175,88
318,109132,88
320,117907,88
321,120224,88
324,115151,90
325,116670,90
328,115450,91
329,115078,91
330,116705,91
332,116680,92
334,115310,92
340,115636,93
341,120227,93
342,116092,93
344,137384,93
356,20473,98
357,85673,98
359,2812,98
360,82326,98
361,76669,98
362,86103,98
363,112859,98
364,53576,98
365,35395,100
366,19750,100
369,853,101
370,4987,101
371,96231,101
372,53563,102
373,31842,102
374,82327,102
375,85222,102
376,35395,103
377,53600,103
378,31801,103
380,25780,103
381,76671,103
382,86102,103
383,53592,103
384,82242,103
387,62124,105
389,31935,105
390,853,106
391,96231,106
392,498,107
393,26573,107
394,86659,107
400,76672,108
401,86539,108
417,77484,113
433,139,118
434,2060,118
435,585,118
436,2061,118
437,77485,118
439,95861,118
440,63733,118
446,14914,120
447,589,120
448,527,121
450,32375,121
451,34861,122
452,33076,122
453,596,122
454,34433,122
455,589,123
456,8092,123
457,15407,123
459,15473,123
460,77486,123
461,78203,123
462,95740,123
464,17,125
466,2061,125
469,15487,126
471,32375,126
473,33076,127
475,34433,127
479,2823,128
481,76803,128
482,84601,128
483,86092,128
484,51667,128
494,2098,133
498,1784,133
499,76806,133
501,86092,133
502,61329,133
504,84617,135
507,408,136
508,3408,136
509,1766,136
510,13750,137
512,51690,137
518,76808,138
519,79152,138
520,86092,138
537,86108,143
558,77223,148
559,86099,148
560,86629,148
575,403,153
576,8004,153
577,974,153
578,8050,153
579,77226,153
580,86100,153
581,95862,153
582,16213,153
583,112858,153
585,77472,155
589,51514,156
590,57994,156
591,8056,156
592,73920,157
594,32182,157
595,2825,157
596,114049,157
601,697,158
602,77215,158
617,172,163
619,686,163
621,30146,163
622,77219,163
634,5782,166
636,48018,166
637,48020,166
641,1454,167
643,348,168
645,29722,168
646,116858,168
647,697,168
648,77220,168
657,5782,171
659,48018,171
660,48020,171
663,80240,172
670,76838,173
673,86101,173
685,23881,178
688,100,178
690,76856,178
692,86110,178
694,46917,178
697,85288,180
700,1715,181
701,6552,181
704,1719,182
705,23922,183
707,100,183
708,20243,183
709,71,183
710,76857,183
711,29144,183
712,86535,183
714,3127,183
718,355,185
720,1715,186
721,6552,186
724,871,187
769,77130,156
831,137008,23
832,137005,23
833,162702,23
842,883,68
845,86538,68
851,982,68
853,137005,28
854,137006,28
855,162698,28
856,137005,33
857,137007,33
858,162698,33
859,137009,38
860,137013,38
861,106732,38
862,162699,38
863,137011,43
864,137009,43
865,106733,43
866,162697,43
867,137009,48
868,137010,48
869,106734,48
870,162700,48
871,158298,48
872,137012,53
873,137009,53
874,106735,53
875,162701,53
876,137015,58
877,137014,58
878,77442,58
879,162697,58
880,137016,63
881,137014,63
882,77442,63
883,162697,63
884,137014,68
885,137017,68
886,77442,68
887,162697,68
889,137018,1
890,137021,1
891,121039,1
892,162699,1
893,137018,73
894,137019,73
895,121039,73
897,162699,73
898,137018,78
899,137020,78
900,121039,78
901,162699,78
904,107500,83
905,117959,83
910,137022,83
911,137023,83
912,162700,83
916,130610,88
917,107500,88
918,117959,88
923,137024,88
924,137022,88
925,162701,88
928,130610,93
929,107500,93
930,117959,93
934,137025,93
935,137022,93
936,162697,93
937,53651,102
939,123830,98
940,137026,98
941,137029,98
942,162701,98
943,123830,103
944,137026,103
945,137028,103
946,162702,103
947,158298,103
948,123830,108
949,162698,108
950,137026,108
951,137027,108
952,137032,113
953,137030,113
954,162701,113
955,162701,118
956,137031,118
957,137030,118
959,137033,123
960,137030,123
961,162699,123
962,162697,128
963,137037,128
964,137034,128
965,137036,133
966,137034,133
968,162697,133
969,162697,138
970,137035,138
971,137034,138
972,123831,143
973,137038,143
974,137040,143
975,162699,143
976,162697,148
977,123831,148
978,137038,148
979,137041,148
980,137038,153
981,137039,153
982,123831,153
983,162701,153
984,123829,173
985,137047,173
986,137049,173
987,162698,173
991,123829,178
995,137047,178
996,137050,178
997,162698,178
998,162702,183
1000,123829,183
1003,5301,183
1004,137047,183
1005,137048,183
1007,157903,158
1008,137042,158
1009,137043,158
1010,162699,158
1012,157903,163
1013,162699,163
1014,137042,163
1015,137044,163
1017,157903,168
1018,137042,168
1019,137046,168
1020,162699,168
1021,124146,83
1022,124146,93
1029,44614,1
1030,2136,1
1031,79684,3
1129,165201,123
1132,165344,157
1139,49998,24
1140,48792,24
1141,56222,25
1142,49576,26
1143,49998,29
1145,49576,31
1152,62606,48
1153,22812,49
1154,22842,49
1156,8921,54
1157,33763,54
1162,19434,63
1163,53351,64
1164,93322,64
1165,93321,64
1166,53209,65
1173,12051,2
1174,42955,2
1175,12043,5
1187,115072,84
1188,119582,84
1189,121253,87
1190,115072,89
1197,20165,104
1198,85673,104
1203,81209,119
1204,81206,119
1205,81208,119
1206,88625,119
1207,34914,123
1209,2944,124
1212,73651,134
1221,51505,154
1222,61295,154
1226,93376,164
1227,93375,164
1230,93376,169
1231,93375,169
1233,34428,179
1235,34428,184
1236,6572,184
1238,20165,98
1239,5308,179
1241,674,28
1243,1953,76
1246,122,1
1247,1953,4
1255,43265,25
1257,43265,30
1258,48792,31
1269,61336,51
1275,19263,66
1276,13813,67
1280,1449,3
1289,101546,85
1290,115203,86
1291,101546,90
1292,115203,91
1296,24275,99
1297,642,101
1298,24275,104
1299,53595,105
1300,642,106
1308,47788,121
1310,47585,126
1316,8676,133
1318,1833,135
1319,5277,136
1320,5171,137
1334,2062,155
1337,105174,165
1339,104773,166
1340,104773,171
1348,6544,180
1350,5246,181
1353,6343,185
1354,6544,185
1355,5246,186
1357,2565,187
1363,34091,345
1364,54197,345
1365,90267,345
1366,115913,345
1379,34091,349
1380,54197,349
1381,90267,349
1382,115913,349
1383,34091,350
1384,54197,350
1385,90267,350
1386,115913,350
1391,34091,352
1392,54197,352
1393,90267,352
1394,115913,352
1399,34091,354
1400,54197,354
1401,90267,354
1402,115913,354
1411,34091,357
1412,54197,357
1413,90267,357
1414,115913,357
1415,34091,358
1416,54197,358
1417,90267,358
1418,115913,358
1423,34091,360
1424,54197,360
1425,90267,360
1426,115913,360
1427,34091,361
1428,54197,361
1429,90267,361
1430,115913,361
1431,34091,344
1432,90267,344
1433,54197,344
1434,115913,344
1443,34091,364
1444,54197,364
1445,90267,364
1446,115913,364
1447,34091,365
1448,54197,365
1449,90267,365
1450,115913,365
1455,34091,367
1456,54197,367
1457,90267,367
1458,115913,367
1471,34091,371
1472,54197,371
1473,90267,371
1474,115913,371
1479,34091,373
1480,54197,373
1481,90267,373
1482,115913,373
1483,34091,374
1484,54197,374
1485,90267,374
1486,115913,374
1491,34091,376
1492,54197,376
1493,90267,376
1494,115913,376
1495,34091,377
1496,54197,377
1497,90267,377
1498,115913,377
1499,116694,88
1500,124682,89
1507,22812,56
1508,1064,157
1509,585,123
1511,34090,344
1512,34090,345
1516,34090,349
1517,34090,350
1519,34090,352
1521,34090,354
1524,34090,357
1525,34090,358
1527,34090,360
1528,34090,361
1531,34090,364
1532,34090,365
1534,34090,367
1538,34090,371
1540,34090,373
1541,34090,374
1542,34090,376
1543,34090,377
1551,73899,154
1556,116645,90
1562,172,168
1563,686,168
1568,103985,83
1573,175689,1
1574,125430,1
1575,175689,73
1576,125430,73
1581,175678,28
1582,175680,28
1585,175682,48
1586,175683,48
1587,175682,53
1588,175683,53
1595,175686,63
1598,175697,88
1600,175697,83
1603,175699,103
1604,175699,98
1608,175701,123
1609,175702,123
1610,175701,118
1611,175702,118
1625,175682,323
1626,175682,324
1632,100780,88
1644,107428,90
1867,53,139
1868,1784,140
1869,185438,141
1870,196819,142
1872,1856,321
1874,185314,142
1875,196912,138
1876,196976,140
1881,133,74
1882,108853,75
1883,122,77
1884,2120,328
1885,11366,355
1886,44448,355
1887,116,79
1888,30455,80
1895,184575,110
1896,35395,111
1897,85256,112
1901,115675,108
1902,93322,58
1903,93321,58
1905,172,160
1909,5782,372
1910,18540,615
1912,34026,59
1914,193455,61
1915,19574,62
1916,2643,318
1917,5384,351
1919,8921,51
1920,210706,48
1921,192081,48
1923,45902,23
1924,50842,25
1925,188389,144
1926,51505,145
1928,8042,147
1929,51514,332
1930,188443,369
1932,188196,146
1934,198067,620
1935,100,174
1936,12294,175
1937,1464,176
1939,34428,315
1940,1680,375
1941,6544,621
1942,212552,27
1943,212552,32
1945,184783,177
1947,213764,50
1948,100780,94
1949,107428,95
1950,100784,96
1951,113656,97
1952,109132,335
1961,589,114
1962,47540,115
1963,585,116
1990,103985,93
1994,159286,43
1995,16864,43
1996,768,43
1997,5215,43
2000,22568,46
2001,1079,47
2002,1850,322
2004,1822,44
2005,5221,45
2006,8122,117
2007,17,305
2017,31687,78
2019,76613,78
2020,12982,80
2037,1784,129
2038,703,130
2039,1329,131
2040,1943,132
2041,32645,309
2042,1856,366
2043,46584,33
2044,77575,34
2045,85948,35
2046,55090,36
2047,47541,37
2050,128595,93
2054,42650,651
2055,49576,347
2056,49998,308
2058,195761,33
2059,197147,33
2062,19750,652
2063,642,362
2064,53385,314
2065,8004,619
2066,86538,58
2067,190356,656
2068,122,356
2069,1953,311
2072,112965,81
2073,49530,37
2074,8921,39
2075,93402,39
2076,190984,40
2077,78674,41
2080,339,346
2081,115939,318
2090,77756,145
2091,187880,148
2101,190925,69
2108,191334,68
2109,164856,68
2114,44614,82
2116,190447,82
2118,7302,78
2119,194153,42
2120,8936,633
2121,8936,336
2122,53270,58
2131,231056,43
2132,231052,43
2133,231063,43
2134,231057,43
2135,231283,43
2137,231042,38
2138,231049,38
2139,231021,38
2140,231050,38
2145,159456,38
2146,231548,63
2147,231549,63
2148,231546,63
2152,231584,78
2153,231582,78
2155,231627,93
2156,231667,108
2158,231661,108
2160,231719,128
2161,231691,128
2162,231722,143
2170,231811,158
2171,231833,173
2172,231830,173
2173,159456,43
2174,231548,58
2178,231550,68
2179,197911,38
2180,108853,80
2181,187828,143
2182,1752,131
2183,196819,309
2185,234153,164
2187,136,68
2261,195072,863
2262,162243,864
2263,162794,865
2265,188499,867
2267,255256,870
2268,196055,870
2269,202782,870
2270,212611,870
2271,203724,870
2273,221351,870
2274,202885,870
2275,212612,870
2276,185164,870
2277,191427,868
2278,198013,866
2279,257620,65
2281,7384,177
2282,217200,60
2283,234153,333
2294,186270,70
2295,259489,71
2296,259491,72
2297,259495,304
2298,5384,353
2299,81749,363
2303,116670,359
2304,231549,704
2305,275773,99
2306,275779,103
2309,20271,109
2310,188499,869
2311,190493,143
2410,53428,998
2411,118,999
2412,3565,999
2413,11419,999
2414,131347,1003
2415,53431,998
2416,229767,998
2418,883,58
2421,190411,180
2422,46585,33
2423,316867,35
2424,5176,40
2425,231050,39
2426,56641,61
2429,315584,128
2430,316099,159
2431,334315,159
2432,980,160
2433,231792,160
2434,317031,160
2435,334342,160
2437,30108,159
2438,686,162
2439,232670,162
2446,337122,161
2447,337125,161
2448,316107,161
2449,324540,161
2450,324557,161
2451,324536,161
2455,51533,1007
2548,8004,1006
