ItemID,ModifiedCraftingReagentItemID,CraftingQualityID
63042,0,0
88458,0,0
95474,0,0
95475,0,0
97213,0,0
98216,0,0
98550,0,0
172070,0,0
263199,0,0
263200,0,0
263201,0,0
263204,0,0
263207,0,0
272920,0,0
275818,0,0
276074,0,0
277947,0,0
49704,0,0
265330,0,0
277650,0,0
280378,0,0
280379,0,0
280380,0,0
280381,0,0
280383,0,0
280384,0,0
280385,0,0
280386,0,0
282030,0,0
282031,0,0
282032,0,0
282033,0,0
282034,0,0
282035,0,0
282036,0,0
282037,0,0
282038,0,0
282039,0,0
282040,0,0
282041,0,0
282042,0,0
282043,0,0
282108,0,0
282109,0,0
282171,0,0
282172,0,0
282173,0,0
282174,0,0
282175,0,0
282176,0,0
282177,0,0
282178,0,0
282179,0,0
282180,0,0
282181,0,0
282182,0,0
97990,0,0
274730,0,0
280382,0,0
280387,0,0
280388,0,0
280389,0,0
193837,0,0
198428,0,0
200882,0,0
213601,0,0
252194,0,0
274967,0,0
281681,0,0
