ID,DifficultyID,CumulativeAura,ProcCategoryRecovery,ProcChance,ProcCharges,SpellProcsPerMinuteID,ProcTypeMask[0],ProcTypeMask[1],SpellID
2650,0,0,0,101,0,0,0,0,43680
2651,0,0,0,101,0,0,0,0,43681
22415,0,0,0,101,0,0,0,0,219003
22416,0,0,0,101,0,0,0,0,219004
115649,0,0,0,101,0,0,0,0,541
115652,0,0,0,101,0,0,0,0,601
115653,0,0,0,101,0,0,0,0,134
115655,0,0,0,101,0,0,0,0,10074
115657,0,0,0,101,0,0,0,0,490
115658,0,0,0,101,0,0,0,0,461
115664,0,0,0,101,0,0,0,0,459
115669,0,0,0,101,0,0,0,0,428
115672,0,0,0,101,0,0,0,0,184
115676,0,0,0,101,0,0,0,0,575
115679,0,0,0,101,0,0,0,0,463
115680,0,0,0,101,0,0,0,0,481
115681,0,0,0,101,0,0,0,0,482
115684,0,0,0,101,0,0,0,0,14
115686,0,0,0,101,0,0,0,0,142
115687,0,0,0,101,0,0,0,0,446
115688,0,0,0,101,0,0,0,0,447
115689,0,0,0,101,0,0,0,0,448
115690,0,0,0,101,0,0,0,0,450
115695,0,0,0,101,0,0,0,0,560
115696,0,0,0,101,0,0,0,0,561
115698,0,0,0,100,0,0,-2146819416,0,512
115699,0,0,0,101,0,0,0,0,513
115700,0,0,0,101,0,0,0,0,514
115701,0,0,0,101,0,0,0,0,518
115702,0,0,0,101,0,0,0,0,519
115719,0,0,0,101,0,0,0,0,68
115720,0,0,0,101,0,0,0,0,71
115721,0,0,0,101,0,0,0,0,228
115724,0,0,0,101,0,0,0,0,581
115728,0,0,0,100,0,0,-2146819416,0,113
115730,0,0,0,101,0,0,0,0,99
115731,0,0,0,101,0,0,0,0,7
115732,0,0,0,100,0,0,0,0,10
115733,0,0,0,101,0,0,0,0,11
115734,0,0,0,101,0,0,0,0,12
115735,0,0,0,101,0,0,0,0,260
115736,0,0,0,101,0,0,0,0,261
115737,0,0,0,101,0,0,0,0,262
115739,0,0,0,101,0,0,0,0,468
115742,0,0,0,101,0,0,0,0,116
115743,0,0,0,101,0,0,0,0,3
115744,0,0,0,101,0,0,0,0,4
115745,0,0,0,101,0,0,0,0,13
115746,0,0,0,101,0,0,0,0,34
115747,0,0,0,101,0,0,0,0,35
115749,0,0,0,101,0,0,0,0,45
115750,0,0,0,101,0,0,0,0,47
115751,0,0,0,101,0,0,0,0,49
115752,0,0,0,101,0,0,0,0,50
115754,0,0,0,101,0,0,0,0,537
115759,0,0,0,101,0,0,0,0,19
115760,0,0,0,101,0,0,0,0,22
115761,0,0,0,101,0,0,0,0,133
115762,0,0,0,101,0,0,0,0,143
115763,0,0,0,101,0,0,0,0,145
115771,0,0,0,101,0,0,0,0,24
115772,0,0,0,101,0,0,0,0,25
115773,0,0,0,101,0,0,0,0,26
115774,0,0,0,101,0,0,0,0,27
115776,0,0,0,101,0,0,0,0,108
115779,0,0,0,101,0,0,0,0,578
115780,0,0,0,101,0,0,0,0,579
115781,0,0,0,101,0,0,0,0,580
115791,0,0,0,101,0,0,0,0,199
115792,0,0,0,101,0,0,0,0,200
115793,0,0,0,101,0,0,0,0,201
115794,0,0,0,101,0,0,0,0,202
115795,0,0,0,101,0,0,0,0,464
115796,0,0,0,101,0,0,0,0,642
115801,0,0,0,101,0,0,0,0,89
115807,0,0,0,101,0,0,0,0,626
115808,0,0,0,100,0,0,0,0,589
115810,0,0,0,101,0,0,0,0,614
115813,0,20,0,101,0,0,0,0,96
115821,0,0,0,101,0,0,0,0,110
115822,0,0,0,101,0,0,0,0,111
115823,0,0,0,101,0,0,0,0,112
115833,0,0,0,101,0,0,0,0,196
115834,0,0,0,101,0,0,0,0,197
115835,0,0,0,101,0,0,0,0,198
115836,0,0,0,101,0,0,0,0,263
115837,0,0,0,101,0,0,0,0,509
