ID,BattlePetStateID,Value,BattlePetBreedID
7,18,1700,3
8,20,1700,3
9,19,1700,3
10,18,2000,4
11,20,1600,4
12,19,1600,4
13,18,1600,5
14,20,2000,5
15,19,1600,5
16,18,1600,6
17,20,1600,6
18,19,2000,6
19,18,1780,7
20,20,1600,7
21,19,1780,7
22,18,1780,8
23,20,1780,8
24,19,1600,8
25,18,1600,9
26,20,1780,9
27,19,1780,9
28,18,1780,10
29,20,1680,10
30,19,1680,10
31,18,1680,11
32,20,1780,11
33,19,1680,11
34,18,1680,12
35,20,1680,12
36,19,1780,12
37,78,1,3
38,78,1,4
39,78,1,5
40,78,1,6
41,78,1,7
42,78,1,8
43,78,1,9
44,78,1,10
45,78,1,11
46,78,1,12
47,18,1700,13
48,20,1700,13
49,19,1700,13
50,78,2,13
51,18,2000,14
52,20,1600,14
53,19,1600,14
54,78,2,14
55,18,1600,15
56,20,2000,15
57,19,1600,15
58,78,2,15
59,18,1600,16
60,20,1600,16
61,19,2000,16
62,78,2,16
63,18,1780,17
64,20,1600,17
65,19,1780,17
66,78,2,17
67,18,1780,18
68,20,1780,18
69,19,1600,18
70,78,2,18
71,18,1600,19
72,20,1780,19
73,19,1780,19
74,78,2,19
75,18,1780,20
76,20,1680,20
77,19,1680,20
78,78,2,20
79,18,1680,21
80,20,1780,21
81,19,1680,21
82,78,2,21
83,18,1680,22
84,20,1680,22
85,19,1780,22
86,78,2,22
417,18,0,107
418,20,0,107
419,19,0,107
