ID,OrderIndex,Field_11_1_7_60520_002,ConditionType,ConditionValue1,ConditionValue2,ConditionValue3,AssistedCombatStepID
32,0,0,15,703,0,0,9
98,0,0,15,1943,0,0,21
99,1,0,27,5,0,0,21
107,0,0,3,10,0,0,23
108,1,0,15,121411,0,0,23
109,2,0,27,5,0,0,23
133,0,0,9,421975,0,0,29
134,2,0,15,421976,0,0,29
135,1,0,12,3,10,0,29
318,0,0,15,319504,0,0,76
363,0,0,27,5,0,0,87
408,0,0,9,121153,0,0,112
413,0,0,12,3,10,0,114
739,0,0,56,0,0,0,186
834,3,0,12,3,10,0,23
881,0,0,9,51124,0,0,225
885,0,0,3,10,0,0,226
966,0,0,9,59052,0,0,239
973,0,0,3,10,0,0,241
974,1,0,12,3,10,0,241
983,0,0,31,80,0,0,243
992,0,0,11,3,10,0,247
996,0,0,15,188389,0,0,248
1138,0,0,9,435615,0,0,282
1142,0,0,3,25,0,0,280
1144,1,0,3,8,0,0,282
1148,0,0,3,8,0,0,292
1151,0,0,3,5,0,0,293
1152,1,0,12,3,10,0,293
1170,0,0,16,236279,0,0,297
1175,0,0,12,3,10,0,299
1176,1,0,9,383316,0,0,299
1177,2,0,9,260708,0,0,299
1180,0,0,15,388539,0,0,300
1181,1,0,12,3,10,0,300
1187,0,0,12,2,10,0,302
1193,0,0,3,10,0,0,303
1196,0,0,3,5,0,0,305
1199,0,0,3,25,0,0,306
1205,0,0,3,10,0,0,308
1231,0,0,21,500,0,0,315
1237,0,0,16,184362,0,0,318
1240,0,0,9,435615,0,0,319
1242,1,0,3,5,0,0,319
1243,2,0,9,184362,0,0,319
1246,0,0,3,5,0,0,326
1247,1,0,9,184362,0,0,326
1252,0,0,3,12,0,0,328
1255,0,0,3,5,0,0,329
1256,1,0,9,436707,0,0,329
1257,2,0,0,12950,0,0,329
1258,3,0,16,85739,0,0,329
1261,0,0,3,10,0,0,330
1262,1,0,16,436707,0,0,330
1263,2,0,0,12950,0,0,330
1264,3,0,16,85739,0,0,330
1267,0,0,3,25,0,0,331
1268,4,0,12,3,0,0,330
1271,0,0,3,10,0,0,332
1272,1,0,9,184362,0,0,332
1294,0,0,3,5,0,0,338
1295,1,0,9,436707,0,0,338
1296,2,0,12,3,0,0,338
1305,0,0,3,5,0,0,341
1306,1,0,9,436707,0,0,341
1318,1,0,0,0,0,0,186
1319,2,0,14,0,0,0,186
1320,3,0,2,0,0,0,186
1326,0,0,0,0,0,0,223
1327,1,0,14,0,0,0,223
1328,2,0,2,0,0,0,223
1337,1,0,0,0,0,0,225
1338,2,0,14,0,0,0,225
1339,3,0,2,0,0,0,225
1341,1,0,0,0,0,0,226
1342,2,0,14,0,0,0,226
1343,3,0,2,0,0,0,226
1435,1,0,0,0,0,0,239
1436,2,0,14,0,0,0,239
1437,3,0,2,0,0,0,239
1446,2,0,0,0,0,0,241
1447,3,0,14,0,0,0,241
1448,4,0,2,0,0,0,241
1450,0,0,0,0,0,0,242
1451,1,0,14,0,0,0,242
1452,2,0,2,0,0,0,242
1456,1,0,0,0,0,0,243
1457,2,0,14,0,0,0,243
1458,3,0,2,0,0,0,243
1460,0,0,0,0,0,0,244
1461,1,0,14,0,0,0,244
1462,2,0,2,0,0,0,244
1465,0,0,0,0,0,0,245
1466,1,0,14,0,0,0,245
1467,2,0,2,0,0,0,245
1480,1,0,0,0,0,0,9
1481,2,0,14,0,0,0,9
1482,3,0,2,0,0,0,9
1491,2,0,0,0,0,0,21
1492,3,0,14,0,0,0,21
1493,4,0,2,0,0,0,21
1504,4,0,0,0,0,0,23
1505,5,0,14,0,0,0,23
1506,6,0,2,0,0,0,23
1518,3,0,0,0,0,0,29
1519,4,0,14,0,0,0,29
1520,5,0,2,0,0,0,29
1522,0,0,0,0,0,0,34
1523,1,0,14,0,0,0,34
1524,2,0,2,0,0,0,34
1527,1,0,0,0,0,0,76
1528,2,0,14,0,0,0,76
1529,3,0,2,0,0,0,76
1532,1,0,0,0,0,0,87
1533,2,0,14,0,0,0,87
1534,3,0,2,0,0,0,87
1537,1,0,0,0,0,0,112
1538,2,0,14,0,0,0,112
1539,3,0,2,0,0,0,112
1541,1,0,0,0,0,0,114
1542,2,0,14,0,0,0,114
1543,3,0,2,0,0,0,114
1545,0,0,0,0,0,0,202
1546,1,0,14,0,0,0,202
1547,2,0,2,0,0,0,202
1549,1,0,0,0,0,0,247
1550,2,0,14,0,0,0,247
1551,3,0,2,0,0,0,247
1553,1,0,0,0,0,0,248
1554,2,0,14,0,0,0,248
1555,3,0,2,0,0,0,248
1560,0,0,0,0,0,0,250
1561,1,0,14,0,0,0,250
1562,2,0,2,0,0,0,250
1563,0,0,0,0,0,0,252
1564,1,0,14,0,0,0,252
1565,2,0,2,0,0,0,252
1567,1,0,0,0,0,0,280
1568,2,0,14,0,0,0,280
1569,3,0,2,0,0,0,280
1571,0,0,0,0,0,0,281
1572,1,0,14,0,0,0,281
1573,2,0,2,0,0,0,281
1576,2,0,0,0,0,0,282
1577,3,0,14,0,0,0,282
1578,4,0,2,0,0,0,282
1580,0,0,0,0,0,0,283
1581,1,0,14,0,0,0,283
1582,2,0,2,0,0,0,283
1584,1,0,0,0,0,0,292
1585,2,0,14,0,0,0,292
1586,3,0,2,0,0,0,292
1589,2,0,0,0,0,0,293
1590,3,0,14,0,0,0,293
1591,4,0,2,0,0,0,293
1594,0,0,0,0,0,0,294
1595,1,0,14,0,0,0,294
1596,2,0,2,0,0,0,294
1610,1,0,0,0,0,0,297
1611,2,0,14,0,0,0,297
1612,3,0,2,0,0,0,297
1618,3,0,0,0,0,0,299
1619,4,0,14,0,0,0,299
1620,5,0,2,0,0,0,299
1623,2,0,0,0,0,0,300
1624,3,0,14,0,0,0,300
1625,4,0,2,0,0,0,300
1628,0,0,0,0,0,0,301
1629,1,0,14,0,0,0,301
1630,2,0,2,0,0,0,301
1632,1,0,0,0,0,0,302
1633,2,0,14,0,0,0,302
1634,3,0,2,0,0,0,302
1636,1,0,0,0,0,0,303
1637,2,0,14,0,0,0,303
1638,3,0,2,0,0,0,303
1639,0,0,0,0,0,0,304
1640,1,0,14,0,0,0,304
1641,2,0,2,0,0,0,304
1643,1,0,0,0,0,0,305
1644,2,0,14,0,0,0,305
1645,3,0,2,0,0,0,305
1647,1,0,0,0,0,0,306
1648,2,0,14,0,0,0,306
1649,3,0,2,0,0,0,306
1651,0,0,0,0,0,0,307
1652,1,0,14,0,0,0,307
1653,2,0,2,0,0,0,307
1655,1,0,0,0,0,0,308
1656,2,0,14,0,0,0,308
1657,3,0,2,0,0,0,308
1659,0,0,0,0,0,0,309
1660,1,0,14,0,0,0,309
1661,2,0,2,0,0,0,309
1663,0,0,0,0,0,0,310
1664,1,0,14,0,0,0,310
1665,2,0,2,0,0,0,310
1667,0,0,0,0,0,0,311
1668,1,0,14,0,0,0,311
1669,2,0,2,0,0,0,311
1672,0,0,0,0,0,0,312
1673,1,0,14,0,0,0,312
1674,2,0,2,0,0,0,312
1688,1,0,0,0,0,0,315
1689,2,0,14,0,0,0,315
1690,3,0,2,0,0,0,315
1693,0,0,0,0,0,0,317
1696,1,0,0,0,0,0,318
1697,2,0,14,0,0,0,318
1698,3,0,2,0,0,0,318
1702,3,0,0,0,0,0,319
1703,4,0,14,0,0,0,319
1704,5,0,2,0,0,0,319
1707,2,0,0,0,0,0,326
1708,3,0,14,0,0,0,326
1709,4,0,2,0,0,0,326
1710,0,0,0,0,0,0,327
1711,1,0,14,0,0,0,327
1712,2,0,2,0,0,0,327
1714,1,0,0,0,0,0,328
1715,2,0,14,0,0,0,328
1716,3,0,2,0,0,0,328
1721,4,0,0,0,0,0,329
1722,5,0,14,0,0,0,329
1723,6,0,2,0,0,0,329
1729,5,0,0,0,0,0,330
1730,6,0,14,0,0,0,330
1731,7,0,2,0,0,0,330
1733,1,0,0,0,0,0,331
1734,2,0,14,0,0,0,331
1735,3,0,2,0,0,0,331
1738,2,0,0,0,0,0,332
1739,3,0,14,0,0,0,332
1740,4,0,2,0,0,0,332
1742,0,0,0,0,0,0,333
1743,1,0,14,0,0,0,333
1744,2,0,2,0,0,0,333
1746,0,0,0,0,0,0,334
1747,1,0,14,0,0,0,334
1748,2,0,2,0,0,0,334
1751,0,0,0,0,0,0,335
1752,1,0,14,0,0,0,335
1753,2,0,2,0,0,0,335
1768,3,0,0,0,0,0,338
1769,4,0,14,0,0,0,338
1770,5,0,2,0,0,0,338
1772,0,0,0,0,0,0,339
1773,1,0,14,0,0,0,339
1774,2,0,2,0,0,0,339
1776,0,0,0,0,0,0,340
1777,1,0,14,0,0,0,340
1778,2,0,2,0,0,0,340
1781,2,0,0,0,0,0,341
1782,3,0,14,0,0,0,341
1783,4,0,2,0,0,0,341
1785,0,0,0,0,0,0,342
1786,1,0,14,0,0,0,342
1787,2,0,2,0,0,0,342
1790,0,0,0,0,0,0,344
1791,0,0,0,0,0,0,446
1792,1,0,14,0,0,0,446
1793,2,0,2,0,0,0,446
1794,0,0,0,0,0,0,447
1795,1,0,14,0,0,0,447
1796,2,0,2,0,0,0,447
1797,3,0,9,372307,0,0,447
1798,0,0,0,0,0,0,448
1799,1,0,14,0,0,0,448
1800,2,0,2,0,0,0,448
1801,3,0,16,372307,0,0,448
1802,4,0,12,5,10,0,448
1803,0,0,0,0,0,0,449
1804,1,0,14,0,0,0,449
1805,2,0,2,0,0,0,449
1806,0,0,0,0,0,0,450
1807,1,0,14,0,0,0,450
1808,2,0,2,0,0,0,450
1809,0,0,0,0,0,0,451
1810,1,0,14,0,0,0,451
1811,2,0,2,0,0,0,451
1812,3,0,12,5,10,0,451
1819,0,0,0,0,0,0,457
1820,1,0,14,0,0,0,457
1821,2,0,2,0,0,0,457
1822,3,0,15,589,0,0,457
1823,0,0,0,0,0,0,458
1824,1,0,14,0,0,0,458
1825,2,0,2,0,0,0,458
1826,3,0,12,12,0,0,458
1827,0,0,0,0,0,0,459
1828,1,0,14,0,0,0,459
1829,2,0,2,0,0,0,459
1830,0,0,0,0,0,0,460
1831,1,0,14,0,0,0,460
1832,2,0,2,0,0,0,460
1833,0,0,0,0,0,0,461
1834,1,0,14,0,0,0,461
1835,2,0,2,0,0,0,461
1836,3,0,8,20,0,0,461
1837,0,0,0,0,0,0,462
1838,1,0,14,0,0,0,462
1839,2,0,2,0,0,0,462
1841,0,0,0,0,0,0,463
1842,1,0,14,0,0,0,463
1843,2,0,2,0,0,0,463
1844,3,0,9,450404,0,0,463
1845,0,0,0,0,0,0,466
1846,1,0,14,0,0,0,466
1847,2,0,2,0,0,0,466
1848,0,0,0,0,0,0,467
1849,1,0,14,0,0,0,467
1850,2,0,2,0,0,0,467
1851,3,0,5,0,0,0,467
1852,0,0,0,0,0,0,468
1853,1,0,14,0,0,0,468
1854,2,0,2,0,0,0,468
1855,3,0,3,10,0,0,468
1856,0,0,0,0,0,0,469
1857,1,0,14,0,0,0,469
1858,2,0,2,0,0,0,469
1859,3,0,56,0,0,0,469
1860,0,0,0,0,0,0,470
1861,1,0,14,0,0,0,470
1862,2,0,2,0,0,0,470
1863,3,0,12,4,10,0,470
1864,4,0,3,10,0,0,470
1865,0,0,0,0,0,0,471
1866,1,0,14,0,0,0,471
1867,2,0,2,0,0,0,471
1869,0,0,0,0,0,0,472
1870,1,0,14,0,0,0,472
1871,2,0,2,0,0,0,472
1874,0,0,0,0,0,0,474
1875,1,0,14,0,0,0,474
1876,2,0,2,0,0,0,474
2197,0,0,0,0,0,0,552
2198,1,0,14,0,0,0,552
2199,2,0,2,0,0,0,552
2200,3,0,12,8,10,0,552
2201,0,0,0,0,0,0,553
2202,1,0,14,0,0,0,553
2203,2,0,2,0,0,0,553
2204,0,0,9,392939,0,0,554
2205,1,0,0,0,0,0,554
2206,2,0,14,0,0,0,554
2207,3,0,2,0,0,0,554
2208,0,0,0,0,0,0,555
2209,1,0,14,0,0,0,555
2210,2,0,2,0,0,0,555
2211,3,0,9,31884,0,0,555
2212,0,0,0,0,0,0,556
2213,1,0,14,0,0,0,556
2214,2,0,2,0,0,0,556
2215,3,0,9,216331,0,0,556
2216,0,0,0,0,0,0,557
2217,1,0,14,0,0,0,557
2218,2,0,2,0,0,0,557
2221,0,0,0,0,0,0,559
2222,1,0,14,0,0,0,559
2223,2,0,2,0,0,0,559
2224,3,0,8,20,0,0,559
2225,0,0,0,0,0,0,560
2226,1,0,14,0,0,0,560
2227,2,0,2,0,0,0,560
2228,3,0,3,8,0,0,560
2229,0,0,0,0,0,0,561
2230,1,0,14,0,0,0,561
2231,2,0,2,0,0,0,561
2233,3,0,9,768,0,0,561
2234,4,0,27,5,0,0,561
2235,5,0,15,1079,0,0,561
2236,0,0,0,0,0,0,562
2237,1,0,14,0,0,0,562
2238,2,0,2,0,0,0,562
