ID,EmblemID,TextureFileDataID
1,0,414836
2,1,414837
3,2,414838
4,3,414839
5,4,414840
6,5,414841
7,6,414842
8,7,414843
9,8,414844
10,9,414845
11,10,414846
12,11,414857
13,12,414868
14,13,414879
15,14,414890
16,15,414901
17,16,414912
18,17,414923
19,18,414924
20,19,414925
21,20,414926
22,21,414927
23,22,414928
24,23,414929
25,24,414930
26,25,414931
27,26,414932
28,27,414933
29,28,414934
30,29,414935
31,30,414936
32,31,414937
33,32,414938
34,33,414939
35,34,414940
36,35,414941
37,36,414942
38,37,414943
39,38,414944
40,39,414945
41,40,414946
42,41,414947
43,42,414948
44,43,414949
45,44,414950
46,45,414951
47,46,414952
48,47,414953
49,48,414954
50,49,414955
51,50,414956
52,51,414957
53,52,414958
54,53,414959
55,54,414960
56,55,414961
57,56,414962
58,57,414963
59,58,414964
60,59,414965
61,60,414966
62,61,414967
63,62,414968
64,63,414969
65,64,414970
66,65,414971
67,66,414972
68,67,414973
69,68,414974
70,69,414975
71,70,414976
72,71,414977
73,72,414978
74,73,414979
75,74,414980
76,75,414981
77,76,414982
78,77,414983
79,78,414984
80,79,414985
81,80,414986
82,81,414987
83,82,414988
84,83,414989
85,84,414990
86,85,414991
87,86,414992
88,87,414993
89,88,414994
90,89,414995
91,90,414996
92,91,414997
93,92,414998
94,93,414999
95,94,415000
96,95,415001
97,96,415002
98,97,415003
99,98,415004
100,99,415005
101,100,414847
102,101,414848
103,102,414849
104,103,414850
105,104,414851
106,105,414852
107,106,414853
108,107,414854
109,108,414855
110,109,414856
111,110,414858
112,111,414859
113,112,414860
114,113,414861
115,114,414862
116,115,414863
117,116,414864
118,117,414865
119,118,414866
120,119,414867
121,120,414869
122,121,414870
123,122,414871
124,123,414872
125,124,414873
126,125,414874
127,126,414875
128,127,414876
129,128,414877
130,129,414878
131,130,414880
132,131,414881
133,132,414882
134,133,414883
135,134,414884
136,135,414885
137,136,414886
138,137,414887
139,138,414888
140,139,414889
141,140,414891
142,141,414892
143,142,414893
144,143,414894
145,144,414895
146,145,414896
147,146,414897
148,147,414898
149,148,414899
150,149,414900
151,150,414902
152,151,414903
153,152,414904
154,153,414905
155,154,414906
156,155,414907
157,156,414908
158,157,414909
159,158,414910
160,159,414911
161,160,414913
162,161,414914
163,162,414915
164,163,414916
165,164,414917
166,165,414918
167,166,414919
168,167,414920
169,168,414921
170,169,414922
171,170,464278
172,171,464279
173,172,464280
174,173,464281
175,174,464282
176,175,464283
177,176,464284
178,177,464285
179,178,464286
180,179,464287
181,180,464288
182,181,464289
183,182,464290
184,183,464291
185,184,464292
186,185,464293
187,186,464294
188,187,464295
189,188,467261
190,189,467262
191,190,467263
192,191,467264
193,192,467265
194,193,467266
195,194,467267
196,195,467268
