ID,Name_lang,TrophyTypeID,GameObjectDisplayInfoID,PlayerConditionID
1,Master of Apexis,3,20529,28227
3,Master Draenor Crafter,3,19152,27762
4,Defender of Draenor,4,19153,28169
5,Draenor Pet Brawler,3,20514,28226
9,Mythic Draenor Raider,3,19207,28220
10,Mythic Draenor Raiding,4,19209,28220
11,Master Draenor Crafter,4,19573,27762
12,Defender of Draenor,3,20403,28169
13,Draenor Pet Brawler,4,20528,28226
14,Master of Apexis,4,20530,28227
15,Not Special Statue,0,10782,24827
16,The King in Green,4,23436,30838
17,The King in Green,3,23502,30838
18,Chapter IV: Darkness Incarnate,3,26914,34184
19,Draenor Pet Brawler,0,20514,27108
20,Chapter IV: Darkness Incarnate,4,26914,34184
