ID,ChrCustomizationChoiceID,RelatedChrCustomizationChoiceID,ChrCustomizationGeosetID,ChrCustomizationSkinnedModelID,ChrCustomizationMaterialID,ChrCustomizationBoneSetID,ChrCustomizationCondModelID,ChrCustomizationDisplayInfoID,ChrCustItemGeoModifyID,ChrCustomizationVoiceID,AnimKitID,ParticleColorID,ChrCustGeoComponentLinkID
2148,17,0,0,0,31,0,0,0,0,0,0,0,0
2958,100,0,0,0,864,0,0,0,0,0,0,0,0
3345,383,0,0,0,1251,0,0,0,0,0,0,0,0
3953,471,0,0,0,1859,0,0,0,0,0,0,0,0
4266,550,0,0,0,2172,0,0,0,0,0,0,0,0
4790,633,0,0,0,2696,0,0,0,0,0,0,0,0
5309,715,0,0,0,3215,0,0,0,0,0,0,0,0
5310,715,0,0,0,3216,0,0,0,0,0,0,0,0
5803,821,0,0,0,3709,0,0,0,0,0,0,0,0
6291,919,0,0,0,4215,0,0,0,0,0,0,0,0
6292,919,0,0,0,4216,0,0,0,0,0,0,0,0
6824,990,0,0,0,4748,0,0,0,0,0,0,0,0
6825,990,0,0,0,4749,0,0,0,0,0,0,0,0
6826,990,0,0,0,4750,0,0,0,0,0,0,0,0
7088,1073,0,0,0,5012,0,0,0,0,0,0,0,0
7089,1073,0,0,0,5013,0,0,0,0,0,0,0,0
7419,1134,0,0,0,5343,0,0,0,0,0,0,0,0
7420,1134,0,0,0,5344,0,0,0,0,0,0,0,0
7608,1184,0,0,0,5532,0,0,0,0,0,0,0,0
7609,1184,0,0,0,5533,0,0,0,0,0,0,0,0
8135,1245,0,0,0,6059,0,0,0,0,0,0,0,0
8136,1245,0,0,0,6060,0,0,0,0,0,0,0,0
8137,1245,0,0,0,6061,0,0,0,0,0,0,0,0
8271,1314,0,0,0,6195,0,0,0,0,0,0,0,0
8272,1314,0,0,0,6169,0,0,0,0,0,0,0,0
8754,1381,0,0,0,6678,0,0,0,0,0,0,0,0
8755,1381,0,0,0,6643,0,0,0,0,0,0,0,0
8756,1381,0,0,0,6644,0,0,0,0,0,0,0,0
9002,1445,0,0,0,6926,0,0,0,0,0,0,0,0
9003,1445,0,0,0,6927,0,0,0,0,0,0,0,0
9004,1445,0,0,0,6928,0,0,0,0,0,0,0,0
9154,1525,0,0,0,7078,0,0,0,0,0,0,0,0
9155,1525,0,0,0,7079,0,0,0,0,0,0,0,0
9156,1525,0,0,0,7080,0,0,0,0,0,0,0,0
9592,1624,0,0,0,7516,0,0,0,0,0,0,0,0
10014,1757,0,0,0,7938,0,0,0,0,0,0,0,0
10015,1757,0,0,0,7939,0,0,0,0,0,0,0,0
10016,1757,0,0,0,7940,0,0,0,0,0,0,0,0
10423,1889,0,0,0,8347,0,0,0,0,0,0,0,0
10424,1889,0,0,0,8348,0,0,0,0,0,0,0,0
10425,1889,0,0,0,8349,0,0,0,0,0,0,0,0
10777,1962,0,0,0,8701,0,0,0,0,0,0,0,0
10778,1962,0,0,0,8702,0,0,0,0,0,0,0,0
10779,1962,0,0,0,8703,0,0,0,0,0,0,0,0
11568,2240,0,0,0,9492,0,0,0,0,0,0,0,0
11569,2240,0,0,0,9493,0,0,0,0,0,0,0,0
11570,2240,0,0,0,9494,0,0,0,0,0,0,0,0
11708,2315,0,0,0,9632,0,0,0,0,0,0,0,0
11709,2315,0,0,0,9633,0,0,0,0,0,0,0,0
11710,2315,0,0,0,9634,0,0,0,0,0,0,0,0
11711,2315,0,0,0,9635,0,0,0,0,0,0,0,0
12032,2390,0,0,0,9956,0,0,0,0,0,0,0,0
12033,2390,0,0,0,9957,0,0,0,0,0,0,0,0
12285,2432,56338,0,0,10209,0,0,0,0,0,0,0,0
12322,2454,0,0,0,10246,0,0,0,0,0,0,0,0
12323,2454,0,0,0,10247,0,0,0,0,0,0,0,0
12324,2454,0,0,0,10248,0,0,0,0,0,0,0,0
24050,169,0,0,0,14994,0,0,0,0,0,0,0,0
24339,74,0,0,0,15393,0,0,0,0,0,0,0,0
26973,966,0,0,0,15625,0,0,0,0,0,0,0,0
27009,1036,0,0,0,15661,0,0,0,0,0,0,0,0
31848,1679,0,0,0,8216,0,0,0,0,0,0,0,0
31855,1814,0,0,0,7797,0,0,0,0,0,0,0,0
34508,688,0,0,0,19302,0,0,0,0,0,0,0,0
36731,603,0,0,0,19288,0,0,0,0,0,0,0,0
38796,2010,0,0,0,20334,0,0,0,0,0,0,0,0
38826,1935,0,0,0,20364,0,0,0,0,0,0,0,0
43525,1419,0,0,0,6288,0,0,0,0,0,0,0,0
43559,1351,0,0,0,6288,0,0,0,0,0,0,0,0
44301,1226,0,0,0,22952,0,0,0,0,0,0,0,0
44339,1288,0,0,0,22990,0,0,0,0,0,0,0,0
46368,1487,0,0,0,23507,0,0,0,0,0,0,0,0
46406,1573,0,0,0,23547,0,0,0,0,0,0,0,0
48164,426,0,0,0,1458,0,0,0,0,0,0,0,0
48202,516,0,0,0,1458,0,0,0,0,0,0,0,0
52604,821,0,0,0,3654,0,0,0,0,0,0,0,0
52605,821,0,0,0,3655,0,0,0,0,0,0,0,0
52932,3608,0,0,0,20696,0,0,0,0,0,0,0,0
52936,3606,0,0,0,20672,0,0,0,0,0,0,0,0
52940,17,0,0,0,32,0,0,0,0,0,0,0,0
52952,100,0,0,0,865,0,0,0,0,0,0,0,0
52953,100,0,0,0,866,0,0,0,0,0,0,0,0
52959,550,0,0,0,2173,0,0,0,0,0,0,0,0
52966,633,0,0,0,2697,0,0,0,0,0,0,0,0
52967,633,0,0,0,2698,0,0,0,0,0,0,0,0
52971,383,0,0,0,1252,0,0,0,0,0,0,0,0
52978,471,0,0,0,1860,0,0,0,0,0,0,0,0
52979,471,0,0,0,1861,0,0,0,0,0,0,0,0
52982,1073,0,0,0,25779,0,0,0,0,0,0,0,0
52983,1134,0,0,0,25780,0,0,0,0,0,0,0,0
52984,1134,0,0,0,25781,0,0,0,0,0,0,0,0
66852,17184,0,5136,0,0,0,0,0,0,0,0,0,0
66853,17185,0,5137,0,0,0,0,0,0,0,0,0,0
66854,17186,0,5138,0,0,0,0,0,0,0,0,0,0
66855,17187,0,5139,0,0,0,0,0,0,0,0,0,0
66856,17188,0,5140,0,0,0,0,0,0,0,0,0,0
66857,17189,0,5141,0,0,0,0,0,0,0,0,0,0
66858,17190,0,5142,0,0,0,0,0,0,0,0,0,0
66859,17191,0,5143,0,0,0,0,0,0,0,0,0,0
66860,17192,0,5144,0,0,0,0,0,0,0,0,0,0
66861,17193,0,5145,0,0,0,0,0,0,0,0,0,0
66862,17194,0,5146,0,0,0,0,0,0,0,0,0,0
66863,17195,0,5147,0,0,0,0,0,0,0,0,0,0
66864,17206,0,5148,0,0,0,0,0,0,0,0,0,0
66865,17206,0,5149,0,0,0,0,0,0,0,0,0,0
66866,17206,0,5150,0,0,0,0,0,0,0,0,0,0
66867,17207,0,5151,0,0,0,0,0,0,0,0,0,0
