ID,Name,RaceID,Sex,NameType
4,Mogra,3,1,0
5,Brunhilde,3,1,0
6,Valkrist,3,1,0
7,Aisha,3,1,0
8,Sif,3,1,0
9,Eden,3,1,0
10,Mathra,3,1,0
11,Omora,3,1,0
12,Drenn,3,1,0
13,Kathra,3,1,0
14,Jann,3,1,0
15,Maybel,3,1,0
16,Brushah,3,1,0
17,Moira,3,1,0
18,Kate,3,1,0
19,Kasha,3,1,0
20,Olga,3,1,0
21,Helga,3,1,0
22,Gertrune,3,1,0
23,Gudrune,3,1,0
24,Frigga,3,1,0
25,Angerboda,3,1,0
26,Einherjar,3,1,0
27,Freya,3,1,0
28,Leia,3,1,0
29,Padme,3,1,0
30,Thorgas,3,0,0
31,Muradin,3,0,0
32,Brann,3,0,0
33,Magni,3,0,0
34,Gar,3,0,0
35,Bandis,3,0,0
36,Buri,3,0,0
37,Huginn,3,0,0
38,Muninn,3,0,0
39,Kelvar,3,0,0
40,Thordin,3,0,0
41,Bor,3,0,0
42,Falstad,3,0,0
43,Grimbooze,3,0,0
44,Modi,3,0,0
45,Dagath,3,0,0
46,Kurdran,3,0,0
47,Bruenor,3,0,0
48,Gimli,3,0,0
49,Thorin,3,0,0
50,Sylvanas,4,1,0
51,Vereesa,4,1,0
52,Alleria,4,1,0
53,Somand,4,1,0
54,Anthis,4,1,0
55,Nara,4,1,0
56,Cyndia,4,1,0
57,Amora,4,1,0
58,Keldindra,4,1,0
59,Sarassar,4,1,0
60,Velathis,4,1,0
61,Lauranthalassa,4,1,0
62,Laurana,4,1,0
63,Galadriel,4,1,0
64,Andariel,4,1,0
65,Laranassa,4,1,0
66,Clarindrela,4,1,0
67,Tarindrella,4,1,0
68,Theredris,4,1,0
69,Azshara,4,1,0
70,Aszune,4,1,0
71,Chillwind,4,1,0
72,Anara,4,1,0
73,Feathermoon,4,1,0
74,Shandris,4,1,0
75,Moonfang,4,1,0
76,Delas,4,1,0
77,Moonray,4,1,0
78,Felore,4,1,0
79,Moonsinger,4,1,0
80,Mora,4,1,0
81,Nightshade,4,1,0
82,Adora,4,1,0
83,Nuada,4,1,0
84,Saberfang,4,1,0
85,Theta,4,1,0
86,Snowscar,4,1,0
87,Tygra,4,1,0
88,Stardragon,4,1,0
89,Kera,4,1,0
90,Starsong,4,1,0
91,Kathris,4,1,0
92,Whisperwind,4,1,0
93,Mave,4,1,0
94,Whisperwind,4,1,0
95,Tyrande,4,1,0
96,Whitemane,4,1,0
97,Mira,4,1,0
98,KaelThas,4,0,0
99,DathRemar,4,0,0
100,Legolas,4,0,0
101,Elrond,4,0,0
102,Gilthanas,4,0,0
103,Porthios,4,0,0
104,Solastaran,4,0,0
105,Lorac,4,0,0
106,Gilthaniel,4,0,0
107,Arondas,4,0,0
108,Pathorias,4,0,0
109,Glorfindel,4,0,0
110,Aethoras,4,0,0
111,Gilgaden,4,0,0
112,Alfruend,4,0,0
113,Kurt,4,0,0
114,Galadrim,4,0,0
115,Celeborn,4,0,0
116,Soferedas,4,0,0
117,Andenar,4,0,0
