ID,PerksVendorCategoryID,Field_10_0_5_47118_002,ItemID,Field_10_0_5_47118_004,CreatureDisplayInfoID,Cost,UiModelSceneID,UiGroupInfo
4,1,0,189869,0,0,100,583,2
5,1,0,189870,0,0,75,0,2
6,1,0,189871,0,0,100,625,2
7,8,0,189938,10,0,850,0,2
8,1,0,189898,0,0,750,624,2
9,1,0,189897,0,0,250,583,2
10,1,0,189896,0,0,100,584,1
11,1,0,189895,0,0,100,584,2
12,1,0,189894,0,0,123,0,2
13,1,0,189893,0,0,123,0,2
14,1,0,189892,0,0,123,0,2
15,1,0,189891,0,0,123,0,2
16,1,0,189890,0,0,123,0,2
17,1,0,189889,0,0,123,0,2
18,1,0,189888,0,0,123,0,2
19,1,0,189887,0,0,123,0,2
20,1,0,189886,10,0,500,621,2
21,1,0,189885,0,0,600,625,2
22,1,0,189884,0,0,450,590,2
23,1,0,189883,0,0,200,584,2
24,1,0,189882,0,0,175,0,4
25,1,0,189881,0,0,125,0,2
26,1,0,189880,0,0,150,0,2
27,1,0,189879,0,0,125,0,2
30,1,0,189876,0,0,50,0,2
31,1,0,189875,0,0,75,0,2
33,1,0,189873,0,0,50,0,2
34,1,0,189872,0,0,75,624,2
35,1,0,190097,0,0,50,642,1
36,8,0,190095,10,0,850,642,2
37,1,0,190094,0,0,123,0,2
38,1,0,190093,0,0,123,0,2
39,1,0,190092,9,0,225,625,2
40,1,0,190091,0,0,100,588,1
41,1,0,190090,0,0,100,584,2
42,1,0,190089,0,0,123,0,2
43,1,0,190088,0,0,123,0,2
44,1,0,190087,0,0,123,0,2
45,1,0,190086,0,0,123,0,2
46,1,0,190085,0,0,123,0,2
47,1,0,190084,0,0,123,0,2
48,1,0,190083,0,0,123,0,2
49,1,0,190082,0,0,123,0,2
50,1,0,190081,0,0,123,0,2
51,1,0,190080,0,0,250,621,2
52,1,0,190079,0,0,400,624,2
53,1,0,190078,10,0,400,624,2
54,1,0,190077,9,0,200,584,2
55,1,0,190076,0,0,175,0,1
56,1,0,190075,0,0,150,0,2
57,1,0,190074,0,105547,150,0,2
58,1,0,190073,0,0,150,0,2
59,1,0,190072,0,0,150,0,2
60,1,0,190071,0,0,200,613,2
61,1,0,190070,0,0,50,0,2
62,1,0,190069,0,0,50,0,2
63,1,0,190068,0,0,50,583,2
64,1,0,190067,0,0,50,0,2
65,1,0,190066,0,0,75,621,2
66,1,0,190065,0,0,75,584,2
67,1,0,190064,0,0,50,0,2
68,1,0,190063,0,0,50,583,2
69,7,0,184352,0,0,2344,0,2
70,3,0,4401,0,0,111,0,2
71,2,0,104246,0,0,7899,0,2
72,5,0,86589,0,0,4566,0,2
73,2,0,190168,10,0,700,0,2
74,2,0,190231,10,112054,999,550,2
75,3,0,190583,0,0,5677,0,2
76,1,0,190599,0,0,250,583,2
78,1,0,190600,9,0,225,625,2
79,8,0,190164,0,0,600,630,2
80,3,0,190603,10,0,600,555,2
81,3,0,104166,0,0,5677,0,2
82,3,0,22780,0,0,5677,0,2
83,3,0,163975,10,0,5677,0,2
87,1,0,190728,0,0,100,588,1
88,1,0,190787,0,0,50,0,2
89,1,0,190788,0,0,50,0,2
90,1,0,190155,0,0,750,583,2
91,8,0,190166,0,0,100,583,1
92,8,0,190377,0,0,100,583,1
93,1,0,190152,0,0,75,0,2
94,1,0,190130,0,0,100,583,2
95,1,0,190167,0,0,50,0,2
96,1,0,190131,0,0,100,621,2
97,1,0,190132,0,0,85,624,2
98,1,0,190133,0,0,100,625,1
99,1,0,190134,0,0,50,0,2
100,1,0,190135,0,0,50,0,2
101,1,0,190136,0,0,50,0,2
102,1,0,190137,0,0,50,0,2
103,1,0,190153,0,0,225,584,2
104,1,0,190154,0,0,225,584,2
105,1,0,190138,0,0,150,0,2
106,1,0,190139,0,0,150,0,2
107,1,0,190140,0,0,150,0,2
108,1,0,190141,0,0,150,0,2
109,1,0,190142,0,0,150,0,2
110,1,0,190143,0,0,200,624,2
111,1,0,190144,0,0,175,0,4
112,1,0,190145,0,0,450,624,2
113,1,0,190146,10,0,600,634,2
114,8,0,190799,0,0,650,642,4
115,1,0,190148,0,0,400,624,2
116,3,0,190175,0,0,600,560,2
117,2,0,189978,10,0,900,552,1
118,8,0,190796,10,0,850,642,2
119,8,0,190772,0,0,1103,0,2
120,2,0,190636,10,0,1500,563,2
121,8,0,190504,10,0,750,0,2
122,2,0,190539,10,0,900,0,2
123,2,0,190613,10,0,500,562,2
124,8,0,190797,0,0,800,0,2
125,1,0,190199,0,0,100,0,2
126,1,0,190200,0,0,100,583,2
127,1,0,190201,0,0,50,583,2
130,1,0,190204,0,0,50,613,2
131,1,0,190205,0,0,50,624,1
132,1,0,190206,0,0,53,0,2
133,1,0,190207,0,0,42,0,2
136,1,0,190210,0,0,153,0,2
137,1,0,190211,0,0,153,0,2
140,1,0,190213,0,0,150,0,2
141,1,0,190214,0,0,200,624,1
142,1,0,190215,0,0,200,0,1
143,1,0,190216,0,0,225,0,2
144,1,0,190217,0,0,400,624,1
145,1,0,190218,0,0,200,628,2
146,3,0,190173,0,0,600,587,2
147,1,0,190219,0,0,200,624,2
148,1,0,190220,9,0,650,634,2
199,3,0,190608,10,0,600,589,2
200,1,0,190886,0,0,100,0,1
203,3,0,190609,10,0,650,0,2
204,8,0,200884,10,0,750,0,2
