ID,Field_12_0_0_63967_001,Field_12_0_0_63967_002,Field_12_0_0_63967_003,Field_12_0_0_63967_004,Field_12_0_0_63967_005,Field_12_0_0_63967_006,Field_12_0_0_63967_007,Field_12_0_0_63967_008,Field_12_0_0_63967_009
1,8063,10,0,0,0,0,0,0,134270
2,7900,10,0,900,1481,0,2,0,134270
3,7901,10,0,900,1481,0,2,0,134270
4,7654,10,0,900,1481,0,2,0,134270
5,7902,10,0,900,1481,0,2,0,134270
6,7899,10,0,900,1481,0,2,0,134270
7,7840,10,0,0,0,0,0,0,134270
8,7837,10,0,0,0,0,0,0,134270
9,7833,10,0,0,0,0,0,0,134270
10,8200,10,0,0,0,0,0,0,134270
11,7835,10,0,0,0,0,0,0,134270
12,8201,10,0,0,0,0,0,0,134270
13,7839,10,0,0,0,0,0,0,134270
14,7836,10,0,0,0,0,0,0,134270
15,7834,10,0,0,0,0,0,0,134270
16,7838,10,0,0,0,0,0,0,134270
17,8263,10,0,0,0,0,0,0,134270
18,8174,10,0,0,0,0,0,0,134270
19,8064,10,0,0,0,0,0,0,134270
20,8301,10,0,0,0,0,0,0,134270
21,8272,10,0,0,0,0,0,0,134270
22,8306,10,0,0,0,0,0,0,134270
23,8525,11,0,0,0,0,0,0,152950
24,8528,11,0,0,0,0,0,0,152950
25,8526,11,0,0,0,0,0,0,152950
26,8527,11,0,0,0,0,0,0,152950
29,8463,11,0,0,0,0,0,0,152950
30,8244,10,0,0,0,0,0,0,134270
31,8422,11,0,0,0,0,0,0,152950
32,8421,11,0,0,0,0,0,0,152950
33,8419,11,0,0,0,0,0,0,152950
34,8600,11,0,0,0,0,0,0,152950
35,8423,11,0,0,0,0,0,0,152950
36,8447,11,0,0,0,0,0,0,152950
