ID,EffectDescription_lang,AuraDescription_lang,SpellEffectType,AuraEffectType,PointsSign,TargetType,SchoolMask,EffectOrderIndex,AuraOrderIndex
1,Inflicts $s@effectindex Physical damage to an enemy.,,2,0,1,3,1,50,50
2,Inflicts $s@effectindex Holy damage to an enemy.,,2,0,1,3,2,50,50
3,Inflicts $s@effectindex Fire damage to an enemy.,,2,0,1,3,4,50,50
4,Inflicts $s@effectindex Nature damage to an enemy.,,2,0,1,3,8,50,50
5,Inflicts $s@effectindex Frost damage to an enemy.,,2,0,1,3,16,50,50
6,Inflicts $s@effectindex Shadow damage to an enemy.,,2,0,1,3,32,50,50
7,Inflicts $s@effectindex Arcane damage to an enemy.,,2,0,1,3,64,50,50
8,Inflicts $s@effectindex Chaos damage to an enemy.,,2,0,1,3,127,50,50
9,Inflicts $s@effectindex Physical damage to enemies within $A@effectindex yards of the impact.,,2,0,1,5,1,50,50
10,Inflicts $s@effectindex Holy damage to enemies within $A@effectindex yards of the impact.,,2,0,1,5,2,50,50
11,Inflicts $s@effectindex Fire damage to enemies within $A@effectindex yards of the impact.,,2,0,1,5,4,50,50
12,Inflicts $s@effectindex Nature damage to enemies within $A@effectindex yards of the impact.,,2,0,1,5,8,50,50
13,Inflicts $s@effectindex Frost damage to enemies within $A@effectindex yards of the impact.,,2,0,1,5,16,50,50
14,Inflicts $s@effectindex Shadow damage to enemies within $A@effectindex yards of the impact.,,2,0,1,5,32,50,50
15,Inflicts $s@effectindex Arcane damage to enemies within $A@effectindex yards of the impact.,,2,0,1,5,64,50,50
16,Inflicts $s@effectindex Chaos damage to enemies within $A@effectindex yards of the impact.,,2,0,1,5,127,50,50
17,Inflicts $s@effectindex Physical damage to enemies within $A@effectindex yards.,,2,0,1,7,1,50,50
18,Inflicts $s@effectindex Holy damage to enemies within $A@effectindex yards.,,2,0,1,7,2,50,50
19,Inflicts $s@effectindex Fire damage to enemies within $A@effectindex yards.,,2,0,1,7,4,50,50
20,Inflicts $s@effectindex Nature damage to enemies within $A@effectindex yards.,,2,0,1,7,8,50,50
21,Inflicts $s@effectindex Frost damage to enemies within $A@effectindex yards.,,2,0,1,7,16,50,50
22,Inflicts $s@effectindex Shadow damage to enemies within $A@effectindex yards.,,2,0,1,7,32,50,50
23,Inflicts $s@effectindex Arcane damage to enemies within $A@effectindex yards.,,2,0,1,7,64,50,50
24,Inflicts $s@effectindex Chaos damage to enemies within $A@effectindex yards.,,2,0,1,7,127,50,50
25,Inflicts $s@effectindex Physical damage to an enemy every $t@effectindex sec for $d.,$s@effectindex Physical damage inflicted every $t@effectindex sec.,6,3,1,3,1,50,50
26,Inflicts $s@effectindex Holy damage to an enemy every $t@effectindex sec for $d.,$s@effectindex Holy damage inflicted every $t@effectindex sec.,6,3,1,3,2,50,50
27,Inflicts $s@effectindex Fire damage to an enemy every $t@effectindex sec for $d.,$s@effectindex Fire damage inflicted every $t@effectindex sec.,6,3,1,3,4,50,50
