ID,PassiveHighlightColorID,HighlightColorID,Priority,Flags,Range,UnitConditionID[0],UnitConditionID[1]
1,0,119,90,7,100,2534,0
2,0,121,100,7,100,2537,0
3,16,124,20,7,100,0,0
31,0,119,90,7,100,2584,0
32,0,121,95,7,100,2585,0
33,16,124,20,7,100,0,0
40,0,9,90,7,100,2584,0
41,0,121,100,7,100,2585,0
42,16,124,20,7,100,0,0
44,0,11,0,0,0,2717,0
45,0,119,100,7,100,2718,0
46,0,11,0,0,0,2719,0
47,0,11,0,0,0,2720,0
48,0,11,0,0,0,2721,0
49,0,11,0,0,55,2722,0
57,0,119,100,1,500,2761,0
62,0,135,90,7,100,2584,0
63,0,138,95,7,100,2585,0
64,16,124,20,7,100,0,0
65,0,119,100,7,100,2718,0
66,0,136,90,7,100,2584,0
67,0,137,95,7,100,2585,0
68,16,124,20,7,100,0,0
69,0,119,100,7,100,2718,0
70,0,2,95,7,100,2777,0
71,16,124,20,7,100,0,0
81,0,11,0,7,50,0,0
84,0,11,0,0,0,1896,0
87,0,144,1,0,0,2961,0
88,0,144,1,0,0,2962,0
89,0,145,1,0,0,2963,0
90,0,145,1,0,0,2964,0
92,16,124,20,7,100,0,0
96,0,11,0,0,100,3086,0
97,0,11,0,0,100,3087,0
98,0,11,0,0,100,3093,0
99,0,11,0,0,100,3094,0
101,1,1,0,1,0,0,0
102,0,119,90,7,100,3118,0
103,0,121,95,7,100,2585,0
104,16,124,20,7,100,0,0
105,0,119,100,7,100,2718,0
109,0,7,100,1,500,2761,0
192,0,130,0,1,0,0,0
194,0,4,0,1,0,0,0
206,0,130,100,1,100,906,0
207,11,11,0,0,200,0,0
208,0,2,0,1,0,0,0
209,0,11,0,0,100,3544,0
210,0,15,0,5,0,3552,0
212,0,119,100,2,300,3581,0
213,124,124,0,1,0,0,0
215,0,161,0,0,0,3643,3662
216,0,161,0,0,0,3642,3662
217,0,0,0,0,0,0,0
323,158,158,70,1,50,906,0
326,124,124,100,6,100,0,0
327,119,119,100,6,100,0,0
328,0,119,90,7,100,2584,0
329,0,121,95,7,100,2585,0
330,16,124,20,7,100,0,0
331,0,119,100,7,100,2718,0
332,11,11,0,0,100,4048,0
334,11,11,0,0,100,4048,0
337,0,11,0,0,100,4097,0
338,0,11,0,0,100,4108,0
341,0,11,0,0,100,4123,0
342,0,11,0,0,100,4124,0
343,0,11,0,0,100,4133,0
345,0,95,90,7,100,0,0
346,0,11,0,0,100,4152,0
348,124,124,100,6,100,0,0
349,119,119,100,6,100,0,0
350,0,11,0,0,100,4194,0
353,127,127,0,0,0,0,0
354,0,265,1,5,100,4241,0
355,0,264,100,5,100,4242,0
358,0,2,0,16,1000,0,0
359,0,265,1,5,100,4287,0
360,0,264,100,5,100,4288,0
361,0,265,1,5,100,4287,0
367,0,11,0,0,50,4496,0
368,0,11,0,0,50,4497,0
369,0,11,0,0,50,4500,0
370,0,11,0,0,50,4501,0
371,0,11,0,0,50,4502,0
372,0,11,0,0,50,4504,0
373,0,11,0,0,50,4505,0
374,0,275,90,7,100,4508,0
375,0,277,95,7,100,4509,0
378,11,11,0,0,100,4048,0
382,0,16,0,0,0,0,0
383,0,16,0,0,0,0,0
384,0,16,0,0,0,0,0
385,0,11,0,0,100,4619,0
386,0,95,0,0,100,4620,0
388,0,11,0,0,50,4625,0
389,0,15,0,0,0,4639,0
390,0,11,0,0,100,4658,0
391,0,11,0,0,100,0,0
392,0,130,99,1,100,4734,0
401,0,14,95,7,100,4745,0
411,0,272,0,1,100,1727,0
412,0,119,90,7,100,4949,0
413,0,121,95,7,100,4950,0
414,74,119,20,7,100,0,0
416,0,272,0,1,100,1727,0
417,0,272,0,1,100,1727,0
418,0,272,0,1,100,1727,0
419,0,272,0,1,100,1727,0
420,0,272,0,1,100,1727,0
421,0,272,0,1,100,1727,0
427,0,8,90,2,200,4985,0
428,0,9,95,5,200,4986,0
429,14,4,20,1,200,0,0
430,0,11,0,0,200,5112,0
431,0,0,100,7,300,5146,0
434,0,11,1,0,50,0,0
438,0,283,100,7,0,5391,0
439,0,282,101,7,0,5392,0
440,0,11,0,0,55,5425,0
442,0,121,95,7,200,5478,0
444,0,121,95,7,200,5479,0
445,0,121,95,7,200,5480,0
459,0,124,90,7,200,5766,5802
465,0,124,90,1,100,5792,0
480,0,135,95,5,30,6092,0
486,0,11,10,0,0,0,0
487,0,16,90,5,100,6389,0
488,16,16,0,5,200,0,0
491,0,119,1,1,100,6660,0
492,0,265,1,5,0,6598,0
494,0,275,90,7,100,6585,0
495,0,277,95,7,100,6586,0
496,0,74,100,1,12,6650,6651
499,0,119,99,7,200,6032,0
503,0,308,1,1,200,6668,0
504,0,309,1,1,200,6669,0
505,0,74,100,15,300,6711,0
506,0,119,150,7,80,6720,0
508,74,119,20,7,80,0,0
512,0,119,90,7,20,6838,0
513,0,74,0,1,15,0,0
514,0,119,90,7,100,6840,0
515,0,74,300,0,0,860,6839
516,0,74,300,0,0,6842,6841
517,0,119,95,7,100,6861,0
520,0,11,0,0,0,0,0
521,0,11,0,0,0,172,0
523,0,124,100,7,200,6950,0
524,0,264,1,5,100,4242,0
526,0,124,90,1,300,7085,0
531,0,119,150,5,50,7113,0
532,74,119,20,5,50,7113,0
533,0,11,0,0,100,4123,0
535,0,121,0,15,0,7183,0
536,0,121,0,15,0,7184,0
543,0,264,1,5,0,1727,0
545,0,119,0,6,0,7487,0
554,0,160,100,5,0,7651,0
556,0,11,1,0,0,0,0
558,0,161,95,5,100,7731,0
