Position[0],Position[1],Position[2],ID,WarbandScenePlacementID,Orientation,Scale,Field_11_1_0_58221_005,Field_11_1_0_58221_006
-2982.41,458.521,452.891,1,1,108,1,4,0
-2982.28,458.473,452.889,2,1,108,1,5,0
-2981.82,457.349,452.83,3,1,108,1,6,0
-2984.2483,457.9496,452.8802,4,4,85,1,4,0
-2984.29,458.001,452.884,5,4,85,1,5,0
-2984.32,456.6388,452.8454,6,4,85,1,6,0
-2985.88,458.707,452.957,7,6,50,1,4,0
-2986.08,458.719,452.965,8,6,50,1,5,0
-2986.64,457.637,452.944,9,6,50,1,6,0
-2986.73,460.382,453.071,10,8,32,1,4,0
-2986.82,460.392,453.075,11,8,32,1,5,0
-2987.6719,459.7361,453.07986,12,8,32,1,6,0
193.035,2500.47,91.2503,15,40,200.5,1,4,0
193.089,2500.59,91.2562,16,40,194,1,5,0
194.243,2500.98,91.2562,17,40,199,1,6,0
193.109,2498.24,91.2454,18,42,195,1,4,0
193.064,2498.19,91.2513,19,42,184.5,1,5,0
194.418,2498.36,91.2538,20,42,188.5,1,6,0
192.528,2496.41,91.2536,21,44,152.5,1,4,0
192.545,2496.2,91.2438,22,44,148.5,1,5,0
193.701,2495.81,91.2475,23,44,155.5,1,6,0
191.071,2494.57,91.2921,24,46,130.501,1,4,0
191.078,2494.48,91.2923,25,46,130.5,1,5,0
191.851,2493.73,91.2918,26,46,130.5,1,6,0
-3034.97,489.613,407.253,27,48,192,1,4,0
-3034.89,489.722,407.252,28,48,185.5,1,5,0
-3033.69,489.936,407.189,29,48,190.5,1,6,0
-3035.23,487.288,407.243,30,50,158,1,4,0
-3035.29,487.278,407.247,31,50,147.5,1,5,0
-3034.11,486.602,407.208,32,50,151.5,1,6,0
-3037.77,485.016,407.319,33,52,108,1,4,0
-3037.9,484.858,407.328,34,52,104,1,5,0
-3037.35,483.773,407.307,35,52,111,1,6,0
-3040.54,486.023,407.244,36,54,81,1,4,0
-3040.61,485.957,407.248,37,54,81,1,5,0
-3040.95,484.62,407.253,38,54,80.99,1,6,0
-2815.99,388.273,79.5573,39,56,66.5,1,4,0
-2815.94,388.149,79.5625,40,56,60,1,5,0
-2816.47,387.05,79.6128,41,56,65,1,6,0
-2817.83,389.375,79.572,42,58,47.5,1,4,0
-2817.82,389.439,79.5703,43,58,37,1,5,0
-2818.86,388.568,79.5946,44,58,41,1,6,0
-2818.62,391.231,79.5619,45,60,9,1,4,0
-2818.75,391.384,79.5689,46,60,5,1,5,0
-2819.91,391.01,79.6192,47,60,12,1,6,0
-2818.22,393.09,79.599,48,62,348.5,1,4,0
-2818.29,393.163,79.6042,49,62,348.5,1,5,0
-2819.36,393.273,79.651,50,62,348.5,1,6,0
420.783,-799.495,24.9664,570,430,320.5,1,4,0
420.762,-799.403,24.9868,571,430,320.5,1,5,0
420.34,-799.094,24.9995,572,430,320.5,1,6,0
419.498,-801.323,24.9956,573,428,336.5,1,4,0
419.467,-801.123,24.9908,574,428,332.5,1,5,0
418.785,-800.977,25.0019,575,428,339.5,1,6,0
419.115,-804.37,24.9783,576,426,18.9999,1,4,0
419.156,-804.318,24.9887,577,426,8.5,1,5,0
418.441,-804.585,24.9914,578,426,12.5002,1,6,0
420.795,-806.274,24.9956,579,424,50.4999,1,4,0
420.807,-806.406,24.9938,580,424,43.9999,1,5,0
420.444,-806.694,25.0089,581,424,49,1,6,0
