ID,SpecializationID,PvpScalingEffectTypeID,Value
4,71,1,1
5,71,2,0
6,71,3,0
7,71,4,0
8,71,5,1.01
9,71,6,1
10,71,7,1
11,71,8,1.1
12,71,9,1.1
13,71,10,0.25
14,71,11,1.25
15,71,12,1.17
16,71,13,1.17
17,71,14,1.25
18,72,1,1
19,72,2,0
20,72,3,0
21,72,4,0
22,72,5,1
23,72,6,1
24,72,7,1
25,72,8,0.98
26,72,9,1
27,72,10,0.75
28,72,11,1.5
29,72,12,1
30,72,13,1
31,72,14,0.75
32,73,1,1
33,73,2,0
34,73,3,-10
35,73,4,0
36,73,5,0.95
37,73,6,1
38,73,7,1
39,73,8,0.95
40,73,9,1
41,73,10,0.25
42,73,11,1.75
43,73,12,0.25
44,73,13,0.25
45,73,14,1.5
46,65,1,1
47,65,2,0
48,65,3,-30
49,65,4,-10000
50,65,5,1
51,65,6,1
52,65,7,1.55
53,65,8,1
54,65,9,1
55,65,10,0.5
56,65,11,1.25
57,65,12,0.75
58,65,13,0.75
59,65,14,1.5
60,66,1,1
61,66,2,0
62,66,3,-5
63,66,4,-9000
64,66,5,0.83
65,66,6,1
66,66,7,1
67,66,8,0.85
68,66,9,1
69,66,10,0.25
70,66,11,2
71,66,12,0.25
72,66,13,0.25
73,66,14,1.25
74,70,1,1
75,70,2,0
76,70,3,0
77,70,4,0
78,70,5,0.8
79,70,6,1
80,70,7,1
81,70,8,1
82,70,9,1
83,70,10,0.25
84,70,11,1.5
85,70,12,1
86,70,13,1
87,70,14,1.35
88,253,1,1
89,253,2,0
90,253,3,0
91,253,4,0
92,253,5,1
93,253,6,0.665
94,253,7,1
95,253,8,1
96,253,9,1
97,253,10,0.45
98,253,11,1.3
99,253,12,1.25
100,253,13,1.25
101,253,14,1
102,254,1,1
103,254,2,0
104,254,3,0
105,254,4,0
106,254,5,1
107,254,6,0.985
108,254,7,1
109,254,8,1
110,254,9,1.2
111,254,10,1
112,254,11,1.2
113,254,12,1
114,254,13,1
115,254,14,0.8
116,255,1,1
117,255,2,0
118,255,3,0
119,255,4,0
120,255,5,1
121,255,6,0.85
122,255,7,1
123,255,8,1.15
124,255,9,1.25
125,255,10,0.25
126,255,11,1
