ID,MinItemLevel,HeadBonus,ShoulderBonus,ChestBonus,SetID
1,0,3569,3569,3569,1
3,385,3569,3569,3569,1
4,395,5376,5376,5376,1
5,415,5377,5377,5377,1
16,58,5423,5424,5422,3
17,59,5426,5427,5425,3
18,60,5387,5388,5386,3
19,61,5390,5391,5389,3
20,61,5393,5394,5392,3
21,61,5396,5397,5395,3
30,61,5399,5400,5398,3
31,66,5402,5403,5401,3
32,58,5429,5430,5428,4
33,59,5432,5433,5431,4
34,60,5435,5436,5434,4
35,61,5438,5439,5437,4
36,61,5468,5469,5467,4
37,61,5465,5466,5464,4
38,61,5411,5412,5410,4
39,66,5414,5415,5413,4
40,72,5417,5418,5416,4
41,78,5420,5421,5419,4
42,58,5429,5430,5428,7
43,59,5432,5433,5431,7
44,60,5435,5436,5434,7
45,61,5438,5439,5437,7
46,61,5468,5469,5467,7
47,61,5465,5466,5464,7
48,1,5481,5480,5482,8
49,58,5429,5430,5428,9
50,59,5432,5433,5431,9
51,60,5435,5436,5434,9
52,61,5438,5439,5437,9
53,61,5468,5469,5467,9
54,61,5465,5466,5464,9
55,61,6255,6256,6254,9
56,66,6258,6259,6257,9
57,72,6261,6262,6260,9
58,78,6264,6265,6263,9
59,61,6255,5469,6254,7
60,66,6258,6259,6257,7
61,85,6267,6268,6266,9
62,100,6270,6271,6269,9
63,85,6267,6268,6266,10
64,100,6270,6271,6269,10
65,66,5414,5415,5413,10
66,72,6261,6262,6260,10
67,78,6264,6265,6263,10
70,58,5429,5430,5428,11
71,59,5432,5433,5431,11
72,60,5435,5436,5434,11
73,61,5438,5439,5437,11
74,61,5468,5469,5467,11
75,61,5465,5466,5464,11
76,61,6255,6256,6254,11
77,66,6258,6259,6257,11
80,85,6502,6503,6501,11
81,100,6505,6506,6504,11
82,115,6508,6509,6507,11
83,130,6511,6512,6510,11
85,85,6502,6503,6501,12
86,100,6505,6506,6504,12
87,115,6508,6509,6507,12
88,130,6511,6512,6510,12
97,78,6524,6525,6526,12
