ID,Rank,SpellItemEnchantmentID,ItemID,CraftingDataID
6,1,6500,198677,632
7,2,6509,198678,632
8,3,6510,198679,632
12,1,6545,199957,728
13,2,6546,199999,728
14,3,6547,200041,728
21,1,6551,199958,731
22,2,6552,200000,731
23,3,6553,200042,731
24,1,6557,199959,732
25,2,6558,200001,732
26,3,6559,200043,732
27,1,6563,199960,733
28,2,6564,200002,733
29,3,6565,200044,733
30,1,6548,199953,734
31,2,6549,199995,734
32,3,6550,200037,734
33,1,6554,199954,735
34,2,6555,199996,735
35,3,6556,200038,735
36,1,6560,199955,736
37,2,6561,199997,736
38,3,6562,200039,736
39,1,6566,199956,737
40,2,6567,199998,737
41,3,6568,200040,737
42,1,6569,199940,738
43,2,6570,199982,738
44,3,6571,200024,738
45,1,6575,199941,739
46,2,6576,199983,739
47,3,6577,200025,739
48,1,6581,199942,740
49,2,6582,199984,740
50,3,6583,200026,740
51,1,6572,199937,741
52,2,6573,199979,741
53,3,6574,200021,741
54,1,6578,199938,742
55,2,6579,199980,742
56,3,6580,200022,742
57,1,6584,199939,743
58,2,6585,199981,743
59,3,6586,200023,743
60,1,6587,199950,745
61,2,6588,199992,745
62,3,6589,200034,745
63,1,6593,199951,746
64,2,6594,199993,746
65,3,6595,200035,746
66,1,6599,199952,747
67,2,6600,199994,747
68,3,6601,200036,747
69,1,6590,199947,748
70,2,6591,199989,748
71,3,6592,200031,748
72,1,6596,199949,749
73,2,6597,199991,749
74,3,6598,200033,749
75,1,6602,199948,750
76,2,6603,199990,750
77,3,6604,200032,750
78,1,6623,199946,751
79,2,6624,199988,751
80,3,6625,200030,751
81,1,6614,199943,752
82,2,6615,199985,752
83,3,6616,200027,752
84,1,6617,199944,753
85,2,6618,199986,753
86,3,6619,200028,753
87,1,6620,199945,754
88,2,6621,199987,754
89,3,6622,200029,754
90,1,6605,199934,755
91,2,6606,199976,755
92,3,6607,200018,755
93,1,6608,199935,756
94,2,6609,199977,756
95,3,6610,200019,756
96,1,6611,199936,757
97,2,6612,199978,757
98,3,6613,200020,757
99,1,6656,199961,758
100,2,6657,200003,758
101,3,6658,200045,758
102,1,6659,199962,759
103,2,6660,200004,759
104,3,6661,200046,759
105,1,6662,199963,760
106,2,6663,200005,760
107,3,6664,200047,760
108,1,6665,199964,761
109,2,6666,200006,761
110,3,6667,200048,761
111,1,6668,199965,762
112,2,6669,200007,762
113,3,6670,200049,762
114,1,6626,199967,763
115,2,6627,200009,763
116,3,6628,200051,763
117,1,6632,199969,764
118,2,6633,200011,764
119,3,6634,200053,764
120,1,6638,199971,765
121,2,6639,200013,765
122,3,6640,200055,765
123,1,6644,199973,766
124,2,6645,200015,766
125,3,6646,200057,766
126,1,6650,199975,767
127,2,6651,200017,767
128,3,6652,200059,767
129,1,6629,199966,768
130,2,6630,200008,768
131,3,6631,200050,768
132,1,6635,199968,769
133,2,6636,200010,769
134,3,6637,200052,769
135,1,6641,199970,770
136,2,6642,200012,770
137,3,6643,200054,770
138,1,6647,199972,771
139,2,6648,200014,771
140,3,6649,200056,771
141,1,6653,199974,772
142,2,6654,200016,772
143,3,6655,200058,772
144,1,6671,200614,782
145,2,6673,200615,782
146,3,6674,200616,782
147,1,6679,201312,826
148,2,6680,201311,826
149,3,6681,201310,826
150,1,6682,201318,828
151,2,6683,201317,828
152,3,6684,201316,828
153,1,6685,201315,829
154,2,6686,201314,829
155,3,6687,201313,829
156,1,6688,201321,830
157,2,6689,201320,830
158,3,6690,201319,830
160,1,6819,204568,987
161,2,6820,204565,987
162,3,6821,204567,987
163,1,6822,204613,988
164,2,6823,204614,988
165,3,6824,204615,988
166,1,6825,204621,989
167,2,6826,204622,989
168,3,6827,204623,989
