Pos[0],Pos[1],Pos[2],ID,ContinentID,PhaseUseFlags,PhaseID,PhaseGroupID,Radius,Box_length,Box_width,Box_height,Box_yaw,ShapeType,ShapeID,AreaTriggerActionSetID,Flags
2924.38,-798.429,161.611,45,0,0,0,1127,8,0,0,0,0,0,0,167,0
-10645.9,1179.06,48.1781,71,0,0,0,0,27,0,0,0,0,0,0,168,0
-11207.3,1684.24,26.9075,78,0,0,0,0,0,14,9.9,9,6.256,1,0,169,0
16449.9,16393.2,69.4444,84,0,0,0,0,15,0,0,0,0,0,0,170,0
-9077.34,-552.925,60.3476,87,0,0,0,0,30,0,0,0,0,0,0,171,0
-9843.54,127.525,5.3698,88,0,0,0,0,10,0,0,0,0,0,0,172,0
-409.82812,-802.7708,-13.246962,95,30,0,0,0,9,0,0,0,0,0,0,173,0
-5660.33,755.299,389.605,97,0,0,0,0,15,0,0,0,0,0,0,174,0
-11634.8,-54.0697,13.4439,98,0,0,0,0,30,0,0,0,0,0,0,175,0
2019.3494,1904.3594,105.14445,100,0,0,0,0,7,0,0,0,0,0,0,176,0
-8761.85,848.557,87.8052,101,0,0,0,0,0,4.972,9.694,7.444,0.6632,1,0,177,0
-8667.56,623.563,85.4054,107,0,0,0,0,7,0,0,0,0,0,0,178,0
-0.90042,16.443,-14.236,109,35,0,0,0,7,0,0,0,0,0,0,179,0
-14.3628,-393.38,64.5605,119,36,0,0,0,6,0,0,0,0,0,0,180,0
-110.76,-1009.19,34.8044,121,36,0,0,0,7,0,0,0,0,0,0,181,0
-227.998,1576.7,80.883,145,0,0,0,0,0,14,13.5,10,5.9,1,0,182,0
-5584.2065,759.83215,384.29016,168,0,0,0,0,15,0,0,0,0,0,0,183,0
-5586.46,679.298,384.955,169,0,0,0,0,8,0,0,0,0,0,0,184,0
-5705.81,-3548.37,305.336,171,0,0,0,0,50,0,0,0,0,0,0,185,0
1068.7,1537.42,28.3784,173,0,0,0,0,0,94.4,50.61,15,0,1,0,186,0
-4086.36,-2610.95,46.0143,175,0,0,0,0,20,0,0,0,0,0,0,187,0
683.771,-912.144,174.5,178,0,0,0,0,5,0,0,0,0,0,0,188,0
-232,2102.8665,79.67029,194,33,0,0,0,0,7.5,5.5,8,5.882,1,0,189,0
-12153.621,894.01373,9.538913,196,0,0,0,0,80,0,0,0,0,0,0,190,0
-9796.18,157.773,25.3878,197,0,0,0,0,9,0,0,0,0,0,0,191,0
-1895.78,-1109.04,86.183,205,1,0,0,0,15,0,0,0,0,0,0,192,0
90.1003,-1943.44,79.4727,216,1,0,0,0,9,0,0,0,0,0,0,193,0
10673.8,809.422,1322.28,217,1,0,0,0,14,0,0,0,0,0,0,194,0
9814.1,587.122,1297.36,218,1,0,0,0,14,0,0,0,0,0,0,195,0
9510.35,1657.18,1291.36,219,1,0,0,0,8.85398,0,0,0,0,0,0,196,0
10701.4,1862.9,1329.87,220,1,0,0,0,10,0,0,0,0,0,0,197,0
-172.181,138.98,-66.6471,226,43,0,0,0,12,0,0,0,0,0,0,199,0
-753.596,-2212.78,21.5403,228,1,0,0,0,13,0,0,0,0,0,0,200,0
6744.98,41.1164,47.6041,230,1,0,0,0,13,0,0,0,0,0,0,201,0
5996.56,365.21,21.8661,231,1,0,0,0,40,0,0,0,0,0,0,202,0
5980.17,330.669,21.7655,232,1,0,0,0,40,0,0,0,0,0,0,203,0
4916.99,328.43,36.7678,233,1,0,0,0,50,0,0,0,0,0,0,204,0
4641.19,55.3801,66.6307,234,1,0,0,0,60,0,0,0,0,0,0,205,0
4554.65,146.354,59.5027,235,1,0,0,0,70,0,0,0,0,0,0,206,0
4643.38,145.349,57.9047,236,1,0,0,0,50,0,0,0,0,0,0,207,0
4504.31,32.3296,86.4913,237,1,0,0,0,80,0,0,0,0,0,0,208,0
6876.28,-486.029,40.1436,238,1,0,0,0,65,0,0,0,0,0,0,209,0
1936.39,1534.47,86.8769,242,47,0,0,0,8,0,0,0,0,0,0,210,0
-4455.11,-1655.01,85,244,1,0,0,0,0,13,15,10,5.596,1,0,211,0
-4932.53,-1596.05,84.8157,246,1,0,0,0,20,0,0,0,0,0,0,212,0
-236.47,2202.42,97.3452,254,33,0,0,0,5,0,0,0,0,0,0,214,0
-223.399,2101.97,97.3899,255,33,0,0,0,5,0,0,0,0,0,0,215,0
-189.006,2145.69,97.3899,256,33,0,0,0,7,0,0,0,0,0,0,216,0
4253.11,756.967,-19.5,257,1,0,0,0,0,16.97,16.97,8,5.996,1,0,217,0
-148.633,131.08,-33.4141,259,48,0,0,0,0,36.97,36.97,20,0,1,0,218,0
2019.73,2004.6,61.6874,262,47,0,0,0,15,0,0,0,0,0,0,220,0
-527.658,321.109,-50.2584,283,48,0,0,0,20,0,0,0,0,0,0,223,0
-8681.37,434.406,99.2579,284,0,0,0,0,7,0,0,0,0,0,0,224,0
-6055.5,-2955,220,286,0,0,0,0,0,14.14,24,22,0.04494,1,0,225,0
-228.193,34.1602,-39.2339,288,70,0,0,0,10,0,0,0,0,0,0,226,0
-3463.26,-4123.13,17.1043,302,1,0,0,0,8,0,0,0,0,0,0,227,0
-4058.75,-2732.54,35.3301,303,1,0,0,0,10,0,0,0,0,0,0,228,0
-312.205,-4.63256,-148.657,322,90,0,0,0,14,0,0,0,0,0,0,229,0
-5154.98,916.549,287.395,324,0,0,0,370,0,24,36,12,0.6876,1,0,230,0
-9029.174,-608.32886,56.4679,342,0,0,0,0,30,0,0,0,0,0,0,231,0
-8681.4,434.439,99.259,382,0,0,0,0,7,0,0,0,0,0,0,232,0
-93.1614,1691.15,89.0649,422,1,0,0,0,20,0,0,0,0,0,0,234,0
-4664.6,-2536.93,82.6679,442,1,0,0,0,0,14.14,14.14,22,5.743,1,0,235,0
2593.94,1124.64,56.179,444,129,0,0,0,11,0,0,0,0,0,0,236,0
-10292.3,-3990.02,-68,446,0,0,0,0,0,3,6,8,1.307,1,0,237,0
-303.879,95.7567,-87,448,109,0,0,0,0,30,16,10,6.269,1,0,238,0
2107.72,1823.77,79.9696,462,47,0,0,0,10,0,0,0,0,0,0,248,0
2165.75,1944.75,61.4635,463,47,0,0,0,15,0,0,0,0,0,0,249,0
-8932.78,-1986.4,139.905,482,0,0,0,0,12,0,0,0,0,0,0,250,0
48.093723,0.9332665,-13.7769,503,34,0,0,0,0,6,12,11.3137,0,1,0,251,0
-1679.3,-4328.96,2.58591,522,1,0,0,0,4,0,0,0,0,0,0,252,0
-4914.93,827.915,271.146,523,0,0,0,370,0,18,20,16,6.191,1,0,253,0
-717.868,1.37207,-241.293,525,90,0,0,0,12,0,0,0,0,0,0,254,0
9947.48,2630.04,1318.6,527,1,1,0,0,10,0,0,0,0,0,0,255,0
8393.8,1003.9,30.1912,542,1,1,0,0,10,0,0,0,0,0,0,256,0
-9465.58,16.8472,-65.921,562,0,0,0,0,30,0,0,0,0,0,0,257,0
1687.57,1040.09,20.9829,602,189,0,0,0,8,0,0,0,0,0,0,258,0
853.679,1308.1,19.6714,604,189,0,0,0,8,0,0,0,0,0,0,259,0
1608.65,-308.97,20.7824,606,189,0,0,0,8,0,0,0,0,0,0,260,0
253.601,-186.804,21.0385,608,189,0,0,0,0,30,32,10,0,1,0,261,0
2925.18,-820.545,161.634,610,0,1,0,0,8,0,0,0,0,0,0,262,0
2877.98,-839.267,163.049,612,0,1,0,0,6,0,0,0,0,0,0,263,0
2864.82,-823.42,160.332,614,0,0,0,1127,0,4,10.22,15,0.4299,1,0,264,0
-9219.37,-2149.94,70.606,682,0,0,0,0,30,0,0,0,0,0,0,266,0
-10517,-1158.39,39.0542,707,0,0,0,0,30,0,0,0,0,0,0,269,0
945.234,-1448.1,62.9038,708,0,0,0,0,0,12.18,11.86,11.53,4.712,1,0,270,0
-3615.49,-4467.34,24.3141,709,1,0,0,0,30,0,0,0,0,0,0,271,0
-5601.46,-530.747,395.483,710,0,0,0,0,35,0,0,0,0,0,0,272,0
-5390.18,-2953.93,322.03,712,0,0,0,0,36,0,0,0,0,0,0,273,0
9809.05,959.188,1315.35,715,1,0,0,0,32,0,0,0,0,0,0,274,0
2756.64,-423.057,119.387,717,1,0,0,0,32,0,0,0,0,0,0,275,0
2303.72,279.352,30,719,0,0,0,0,25,0,0,0,0,0,0,276,0
