ID,Tier,Component,FileDataID,Color
1831,2,3,513624,0
1832,2,4,513623,0
1833,1,3,513760,0
1834,1,4,513759,0
1835,0,3,180061,0
1836,0,4,180060,0
1837,2,3,513626,1
1838,2,4,513625,1
1839,1,3,513762,1
1840,1,4,513761,1
1841,0,3,180063,1
1842,0,4,180062,1
1843,2,3,513628,2
1844,2,4,513627,2
1845,1,3,513764,2
1846,1,4,513763,2
1847,0,3,180065,2
1848,0,4,180064,2
1849,2,3,513630,3
1850,2,4,513629,3
1851,1,3,513766,3
1852,1,4,513765,3
1853,0,3,180067,3
1854,0,4,180066,3
1855,2,3,513632,4
1856,2,4,513631,4
1857,1,3,513768,4
1858,1,4,513767,4
1859,0,3,180069,4
1860,0,4,180068,4
1861,2,3,513634,5
1862,2,4,513633,5
1863,1,3,513770,5
1864,1,4,513769,5
1865,0,3,180071,5
1866,0,4,180070,5
1867,2,3,513636,6
1868,2,4,513635,6
1869,1,3,513772,6
1870,1,4,513771,6
1871,0,3,180073,6
1872,0,4,180072,6
1873,2,3,513638,7
1874,2,4,513637,7
1875,1,3,513774,7
1876,1,4,513773,7
1877,0,3,180075,7
1878,0,4,180074,7
1879,2,3,513640,8
1880,2,4,513639,8
1881,1,3,513776,8
1882,1,4,513775,8
1883,0,3,180077,8
1884,0,4,180076,8
1885,2,3,513642,9
1886,2,4,513641,9
1887,1,3,513778,9
1888,1,4,513777,9
1889,0,3,180079,9
1890,0,4,180078,9
1891,2,3,513644,10
1892,2,4,513643,10
1893,1,3,513780,10
1894,1,4,513779,10
1895,0,3,180081,10
1896,0,4,180080,10
1897,2,3,513646,11
1898,2,4,513645,11
1899,1,3,513782,11
1900,1,4,513781,11
1901,0,3,180083,11
1902,0,4,180082,11
1903,2,3,513648,12
1904,2,4,513647,12
1905,1,3,513784,12
1906,1,4,513783,12
1907,0,3,180085,12
1908,0,4,180084,12
1909,2,3,513650,13
1910,2,4,513649,13
1911,1,3,513786,13
1912,1,4,513785,13
1913,0,3,180087,13
1914,0,4,180086,13
1915,2,3,513652,14
1916,2,4,513651,14
1917,1,3,513788,14
1918,1,4,513787,14
1919,0,3,180089,14
1920,0,4,180088,14
1921,2,3,513654,15
1922,2,4,513653,15
1923,1,3,513790,15
1924,1,4,513789,15
1925,0,3,180091,15
1926,0,4,180090,15
1927,2,3,513656,16
1928,2,4,513655,16
1929,1,3,513792,16
1930,1,4,513791,16
1931,0,3,180093,16
1932,0,4,180092,16
1933,2,3,513658,17
1934,2,4,513657,17
1935,1,3,513794,17
1936,1,4,513793,17
1937,0,3,180095,17
1938,0,4,180094,17
1939,2,3,513660,18
1940,2,4,513659,18
1941,1,3,513796,18
1942,1,4,513795,18
1943,0,3,180097,18
1944,0,4,180096,18
1945,2,3,513662,19
1946,2,4,513661,19
1947,1,3,513798,19
1948,1,4,513797,19
1949,0,3,180099,19
1950,0,4,180098,19
1951,2,3,513664,20
1952,2,4,513663,20
1953,1,3,513800,20
1954,1,4,513799,20
1955,0,3,180101,20
1956,0,4,180100,20
1957,2,3,513666,21
1958,2,4,513665,21
1959,1,3,513802,21
1960,1,4,513801,21
1961,0,3,180103,21
1962,0,4,180102,21
1963,2,3,513668,22
1964,2,4,513667,22
1965,1,3,513804,22
1966,1,4,513803,22
1967,0,3,180105,22
1968,0,4,180104,22
1969,2,3,513670,23
1970,2,4,513669,23
1971,1,3,513806,23
1972,1,4,513805,23
1973,0,3,180107,23
1974,0,4,180106,23
1975,2,3,513672,24
1976,2,4,513671,24
1977,1,3,513808,24
1978,1,4,513807,24
1979,0,3,180109,24
1980,0,4,180108,24
1981,2,3,513674,25
1982,2,4,513673,25
1983,1,3,513810,25
1984,1,4,513809,25
1985,0,3,180111,25
1986,0,4,180110,25
1987,2,3,513676,26
1988,2,4,513675,26
1989,1,3,513812,26
1990,1,4,513811,26
1991,0,3,180113,26
1992,0,4,180112,26
1993,2,3,513678,27
1994,2,4,513677,27
1995,1,3,513814,27
1996,1,4,513813,27
1997,0,3,180115,27
1998,0,4,180114,27
1999,2,3,513680,28
2000,2,4,513679,28
2001,1,3,513816,28
2002,1,4,513815,28
2003,0,3,180117,28
2004,0,4,180116,28
2005,2,3,513682,29
