ID,ItemLevel,Armor,Weapon
1,1,10,25
2,2,20,50
3,3,30,75
4,4,45,112.50001
5,5,67.5,168.75
6,6,101.25,253.125
7,7,151.875,379.6875
8,8,212.625,531.5625
9,9,297.675,744.1875
10,10,386.9775,967.4438
11,11,503.07077,1257.6769
12,12,628.83844,1572.0962
13,13,786.04803,1965.1202
14,14,943.2577,2358.1443
15,15,1131.9092,2829.7732
16,16,1301.6957,3254.239
17,17,1496.95,3742.3752
18,18,1721.4926,4303.7314
19,19,1979.7164,4949.291
20,20,2276.6738,5691.6846
21,21,2618.175,6545.4375
22,22,3010.9011,7527.253
23,23,3402.318,8505.795
24,24,3844.6196,9611.549
25,25,4344.4204,10861.05
26,26,4909.195,12272.985
27,27,5400.1147,13500.285
28,28,5940.1255,14850.313
29,29,6534.138,16335.345
30,30,7187.5522,17968.879
31,31,7906.3076,19765.766
32,32,8696.9375,21742.342
33,33,9566.632,23916.578
34,34,10523.294,26308.236
35,35,11575.623,28939.06
36,36,12733.186,31832.963
37,37,14006.504,35016.258
38,38,15127.024,37817.562
39,39,16337.188,40842.965
40,40,17644.162,44110.402
41,41,19055.693,47639.234
42,42,20580.15,51450.375
43,43,22226.562,55566.406
44,44,24004.688,60011.72
45,45,25925.062,64812.652
46,46,27999.066,69997.664
47,47,30238.992,75597.48
48,48,32658.113,81645.28
49,49,34944.18,87360.445
50,50,37390.273,93475.68
51,51,40007.59,100018.98
52,52,42408.047,106020.13
53,53,44952.53,112381.33
54,54,47649.68,119124.2
55,55,50508.664,126271.66
56,56,53539.184,133847.95
57,57,56751.535,141878.83
58,58,60156.62,150391.55
59,59,63164.457,157911.14
60,60,66322.67,165806.69
61,61,67249.57,168123.92
62,62,68176.45,170441.14
63,63,69103.34,172758.36
64,64,70030.234,175075.58
65,65,70957.12,177392.8
66,66,71884.01,179710.02
67,67,72810.9,182027.25
68,68,73737.79,184344.47
69,69,74664.67,186661.69
70,70,75591.56,188978.9
71,71,76518.45,191296.12
72,72,77445.336,193613.34
73,73,78372.23,195930.58
74,74,79299.12,198247.8
75,75,80226,200565.02
76,76,81152.89,202882.22
77,77,82079.78,205199.45
78,78,83006.67,207516.67
79,79,83933.555,209833.89
80,80,84860.445,212151.12
81,81,85787.336,214468.34
82,82,86714.22,216785.55
83,83,87641.12,219102.78
84,84,88568,221420
85,85,89494.89,223737.22
86,86,90421.78,226054.45
87,87,91348.664,228371.67
88,88,92275.555,230688.89
89,89,93202.445,233006.11
90,90,94129.33,235323.33
91,91,95056.22,237640.55
92,92,95983.1,239957.77
93,93,96910,242275
94,94,97836.88,244592.22
95,95,98763.77,246909.42
96,96,99690.664,249226.66
97,97,100617.55,251543.88
98,98,101544.44,253861.1
99,99,102471.33,256178.33
100,100,103398.22,258495.55
101,101,104325.1,260812.75
102,102,105251.99,263129.97
103,103,106178.88,265447.2
104,104,107105.77,267764.4
105,105,108032.66,270081.62
106,106,108959.55,272398.84
107,107,109886.43,274716.06
108,108,110813.32,277033.28
109,109,111740.21,279350.53
110,110,112667.09,281667.75
111,111,113593.98,283984.97
112,112,114520.88,286302.2
113,113,115447.76,288619.38
114,114,116374.65,290936.6
115,115,117301.54,293253.84
116,116,118228.42,295571.06
117,117,119155.32,297888.28
118,118,120082.21,300205.5
119,119,121009.1,302522.72
120,120,121935.98,304839.94
121,121,122862.88,307157.2
122,122,123789.77,309474.4
123,123,124716.65,311791.62
124,124,125643.54,314108.84
125,125,126570.43,316426.06
126,126,127497.31,318743.25
127,127,128424.2,321060.47
128,128,129351.09,323377.72
129,129,130277.98,325694.94
130,130,131204.86,328012.16
131,131,132131.75,330329.38
132,132,133058.64,332646.6
133,133,133985.53,334963.8
134,134,134912.42,337281.06
135,135,135839.3,339598.28
136,136,136766.19,341915.5
137,137,137693.1,344232.72
138,138,138619.97,346549.9
139,139,139546.86,348867.12
140,140,140473.75,351184.34
141,141,141400.64,353501.6
142,142,142327.52,355818.8
143,143,143254.42,358136.03
144,144,144181.3,360453.25
145,145,145108.19,362770.47
146,146,146035.08,365087.7
147,147,146961.97,367404.94
148,148,147888.84,369722.16
149,149,148815.75,372039.38
150,150,149742.62,374356.6
151,151,150669.52,376673.78
152,152,151596.4,378991
153,153,152523.3,381308.25
154,154,153450.17,383625.47
155,155,154377.08,385942.7
156,156,155303.95,388259.9
157,157,156230.84,390577.12
158,158,157157.75,392894.34
159,159,158084.62,395211.56
160,160,159011.52,397528.8
161,161,159938.4,399846.03
162,162,160865.3,402163.25
163,163,161792.17,404480.44
164,164,162719.08,406797.66
165,165,163645.95,409114.88
166,166,164572.84,411432.12
167,167,165499.73,413749.34
168,168,166426.62,416066.56
169,169,167353.5,418383.78
170,170,168280.4,420701
171,171,169207.28,423018.22
172,172,170134.17,425335.44
173,173,171061.06,427652.7
174,174,171987.95,429969.9
175,175,172914.83,432287.1
176,176,173841.73,434604.3
177,177,174768.62,436921.53
178,178,175695.5,439238.75
179,179,176622.4,441556
180,180,177549.28,443873.22
181,181,178476.17,446190.44
182,182,179403.06,448507.66
183,183,180329.95,450824.88
184,184,181256.83,453142.1
185,185,182183.73,455459.34
186,186,183110.61,457776.56
187,187,184037.5,460093.78
188,188,184964.39,462410.97
189,189,185891.28,464728.2
190,190,186818.16,467045.4
191,191,187745.06,469362.62
192,192,188671.94,471679.88
193,193,189598.83,473997.1
194,194,190525.72,476314.3
195,195,191452.61,478631.53
196,196,192379.48,480948.75
197,197,193306.39,483265.97
198,198,194233.28,485583.22
199,199,195160.16,487900.44
200,200,196087.06,490217.62
201,201,197013.94,492534.84
202,202,197940.83,494852.06
203,203,198867.72,497169.28
204,204,199794.61,499486.5
205,205,200721.48,501803.75
206,206,201648.39,504120.97
207,207,202575.27,506438.2
208,208,203502.16,508755.4
209,209,204429.05,511072.62
210,210,205355.94,513389.84
211,211,206282.81,515707.1
212,212,207209.72,518024.3
213,213,208136.6,520341.5
214,214,209063.48,522658.72
215,215,209990.38,524975.94
216,216,210917.27,527293.1
217,217,211844.16,529610.4
218,218,212771.05,531927.6
219,219,213697.94,534244.8
220,220,214624.81,536562.06
221,221,215551.72,538879.25
222,222,216478.6,541196.5
223,223,217405.48,543513.7
224,224,218332.38,545830.94
225,225,219259.27,548148.1
226,226,220186.14,550465.3
227,227,221113.05,552782.56
228,228,222039.92,555099.75
229,229,222966.81,557417
230,230,223893.7,559734.25
231,231,224820.6,562051.44
232,232,225747.47,564368.7
233,233,226674.38,566685.9
234,234,227601.25,569003.1
235,235,228528.14,571320.3
236,236,229455.03,573637.56
237,237,230381.92,575954.8
238,238,231308.81,578272
239,239,232235.7,580589.25
240,240,233162.6,582906.44
241,241,234089.47,585223.7
242,242,235016.38,587540.9
243,243,235943.25,589858.1
244,244,236870.14,592175.4
245,245,237797.03,594492.56
246,246,238723.92,596809.8
247,247,239650.8,599127
248,248,240577.7,601444.25
249,249,241504.58,603761.5
250,250,242431.47,606078.6
251,251,243358.36,608395.9
252,252,244285.25,610713.06
253,253,245212.12,613030.3
254,254,246139.03,615347.5
