ID,Name_lang,SetFlags,RequiredSkill,RequiredSkillRank,ItemID[0],ItemID[1],ItemID[2],ItemID[3],ItemID[4],ItemID[5],ItemID[6],ItemID[7],ItemID[8],ItemID[9],ItemID[10],ItemID[11],ItemID[12],ItemID[13],ItemID[14],ItemID[15],ItemID[16]
1,The Gladiator,0,0,0,11729,11726,11728,11731,11730,277117,0,0,0,0,0,0,0,0,0,0,0
41,Dal'Rend's Arms,0,0,0,12940,12939,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
65,Spider's Kiss,0,0,0,13218,13183,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
81,The Postmaster,0,0,0,13390,13388,13391,13392,13389,0,0,0,0,0,0,0,0,0,0,0,0
121,Cadaverous Garb,0,0,0,14637,14636,14640,14638,14641,0,0,0,0,0,0,0,0,0,0,0,0
122,Necropile Raiment,0,0,0,14631,14629,14632,14633,14626,0,0,0,0,0,0,0,0,0,0,0,0
123,Bloodmail Regalia,0,0,0,14614,14616,14615,14611,14612,0,0,0,0,0,0,0,0,0,0,0,0
124,Deathbone Guardian,0,0,0,14624,14622,14620,14623,14621,0,0,0,0,0,0,0,0,0,0,0,0
141,Volcanic Armor,0,0,0,15053,15054,15055,0,0,0,0,0,0,0,0,0,0,0,0,0,0
142,Stormshroud Armor,0,0,0,15056,15057,15058,21278,0,0,0,0,0,0,0,0,0,0,0,0,0
143,Devilsaur Armor,0,0,0,15062,15063,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
144,Ironfeather Armor,0,0,0,15066,15067,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
161,Defias Leather,0,0,0,10399,10403,10402,10401,10400,0,0,0,0,0,0,0,0,0,0,0,0
162,Embrace of the Viper,0,0,0,10412,10411,10413,10410,6473,0,0,0,0,0,0,0,0,0,0,0,0
163,Chain of the Scarlet Crusade,0,0,0,10329,10332,10328,10331,10330,10333,0,0,0,0,0,0,0,0,0,0,0
181,Magister's Regalia,0,0,0,16685,16683,16686,16684,16687,16689,16688,16682,0,0,0,0,0,0,0,0,0
182,Vestments of the Devout,0,0,0,16696,16691,16697,16693,16692,16695,16694,16690,0,0,0,0,0,0,0,0,0
183,Dreadmist Raiment,0,0,0,16702,16703,16699,16701,16700,16704,16698,16705,0,0,0,0,0,0,0,0,0
184,Shadowcraft Armor,0,0,0,16713,16711,16710,16721,16708,16709,16712,16707,0,0,0,0,0,0,0,0,0
185,Wildheart Raiment,0,0,0,16716,16715,16714,16720,16706,16718,16719,16717,0,0,0,0,0,0,0,0,0
186,Beaststalker Armor,0,0,0,16680,16675,16681,16677,16674,16678,16679,16676,0,0,0,0,0,0,0,0,0
187,The Elements,0,0,0,16673,16670,16671,16667,16672,16668,16669,16666,0,0,0,0,0,0,0,0,0
188,Lightforge Armor,0,0,0,16723,16725,16722,16726,16724,16728,16729,16727,0,0,0,0,0,0,0,0,0
189,Battlegear of Valor,0,0,0,16736,16734,16735,16730,16737,16731,16732,16733,0,0,0,0,0,0,0,0,0
201,Arcanist Regalia,0,0,0,16802,16799,16795,16800,16801,16796,16797,16798,0,0,0,0,0,0,0,0,0
202,Vestments of Prophecy,0,0,0,16811,16813,16817,16812,16814,16816,16815,16819,0,0,0,0,0,0,0,0,0
203,Felheart Raiment,0,0,0,16806,16804,16805,16810,16809,16807,16808,16803,0,0,0,0,0,0,0,0,0
204,Nightslayer Armor,0,0,0,16827,16824,16825,16820,16821,16826,16822,16823,0,0,0,0,0,0,0,0,0
205,Cenarion Raiment,0,0,0,16828,16829,16830,16833,16831,16834,16835,16836,0,0,0,0,0,0,0,0,0
206,Giantstalker Armor,0,0,0,16851,16849,16850,16845,16848,16852,16846,16847,0,0,0,0,0,0,0,0,0
207,The Earthfury,0,0,0,16838,16837,16840,16841,16844,16839,16842,16843,0,0,0,0,0,0,0,0,0
208,Lawbringer Armor,0,0,0,16858,16859,16857,16853,16860,16854,16855,16856,0,0,0,0,0,0,0,0,0
209,Battlegear of Might,0,0,0,16864,16861,16865,16863,16866,16867,16868,16862,0,0,0,0,0,0,0,0,0
210,Netherwind Regalia,0,0,0,16818,16918,16912,16914,16917,16913,16915,16916,0,0,0,0,0,0,0,0,0
211,Vestments of Transcendence,0,0,0,16925,16926,16919,16921,16920,16922,16924,16923,0,0,0,0,0,0,0,0,0
