ID,SkillID,ClassMask,Flags,Availability,MinLevel,SkillTierID,RaceMasks[0],RaceMasks[1]
4,95,-1,640,1,0,0,-1,-1
5,183,16383,1170,1,0,0,-1,-1
6,162,-1,128,1,0,0,-1,-1
21,293,16387,128,1,1,0,-1,-1
27,356,-1,16512,0,0,463,-1,-1
28,182,-1,4256,0,0,456,-1,-1
29,186,-1,4256,0,0,460,-1,-1
30,393,-1,4256,0,0,461,-1,-1
40,98,-1,144,1,0,0,-1321907123,1427461461
41,98,-1,176,0,0,21,1309324210,-1440044374
42,113,-1,128,1,0,0,268435464,0
43,113,-1,160,0,0,21,60829687,0
44,111,-1,128,1,0,0,2052,0
45,111,-1,160,0,0,21,60827643,0
46,313,-1,128,1,0,0,16448,0
47,313,-1,160,0,0,21,60829631,0
48,109,-1,128,1,0,0,1309324210,-1440044374
49,109,-1,160,0,0,21,-1321907123,1427461461
50,115,-1,128,1,0,0,134217760,0
51,115,-1,160,0,0,21,60829663,0
52,315,-1,128,1,0,0,1073741952,0
53,315,-1,160,0,0,21,60829567,0
68,101,16383,33938,1,0,0,2052,0
69,126,16383,33938,1,0,0,8,0
70,125,16383,32914,1,0,0,8194,0
71,124,16383,33938,1,0,0,32,0
72,220,16383,33938,1,0,0,16,0
84,139,2047,160,0,0,21,-1,-1
85,138,5631,128,0,0,0,2109439,0
86,129,4063,4224,0,0,63,-1,-1
87,148,1535,1170,0,0,181,1,0
88,141,1535,160,0,0,21,2109439,0
89,152,1535,1170,0,0,181,2099204,0
91,137,-1,160,0,0,21,799026687,0
92,150,1503,1170,0,0,181,8,0
93,140,1535,128,0,0,0,2109439,0
94,149,1503,1170,0,0,181,8194,0
124,160,21603,128,1,0,0,-1,-1
127,45,16397,128,1,0,0,-1,-1
131,118,16396,146,1,1,0,-1,-1
134,46,16397,128,1,0,0,-1,-1
136,229,17959,128,1,0,0,-1,-1
138,136,22485,128,1,0,0,-1,-1
144,228,16784,146,1,0,0,-1,-1
145,413,4164,128,1,1,0,-1,-1
146,413,16419,128,1,0,0,-1,-1
147,414,24175,128,1,0,0,-1,-1
148,415,-1,128,1,0,0,-1,-1
241,171,-1,4256,0,0,451,-1,-1
243,164,-1,4256,0,0,452,-1,-1
244,202,-1,4256,0,0,455,-1,-1
246,433,16451,128,1,0,0,-1,-1
281,333,-1,4256,0,0,454,-1,-1
282,185,-1,128,0,0,453,-1,-1
284,197,-1,4256,0,0,462,-1,-1
330,473,24141,130,1,0,0,-1,-1
441,148,1535,1170,0,0,182,2107614,0
442,152,1535,1170,0,0,182,2105563,0
443,149,1535,1170,0,0,182,2557,0
445,533,1535,1170,0,0,181,128,0
446,533,1503,1170,0,0,182,10335,0
461,553,1535,1170,0,0,181,64,0
463,554,1503,1170,0,0,181,16,0
464,554,1535,1170,0,0,182,10447,0
481,150,1535,1170,0,0,182,10455,0
501,553,1535,1170,0,0,182,2052,0
628,44,23151,128,1,0,0,-1,-1
632,173,24029,128,1,0,0,-1,-1
741,673,-1,128,1,0,0,16,0
742,673,-1,160,0,0,21,60829679,0
781,713,1535,1170,0,0,181,2107647,0
841,733,16383,33938,1,0,0,128,0
861,753,16383,33938,1,0,0,64,0
862,754,16383,33938,1,0,0,1,0
865,142,1535,0,0,0,0,12287,0
866,755,-1,4256,0,0,458,-1,-1
867,756,16383,32914,1,0,0,512,0
872,43,23471,128,1,0,0,-1,-1
875,759,-1,128,1,0,0,536871936,0
876,759,-1,128,0,0,21,60828671,0
877,760,16383,32914,1,0,0,1024,0
879,226,16397,128,1,0,0,-1,-1
882,137,-1,128,1,0,0,268435968,0
883,118,16448,402,2,0,0,-1,-1
888,54,22139,128,1,0,0,-1,-1
890,762,6111,16,1,10,223,52529151,0
892,769,-1,1040,0,0,0,-1,-1
899,165,-1,4256,0,0,459,-1,-1
900,773,-1,4256,0,0,457,-1,-1
901,55,20519,128,1,0,0,-1,-1
906,293,32,128,1,0,0,-1,-1
913,118,16416,146,1,0,0,2109439,0
925,129,32,4224,1,0,63,-1,-1
934,762,2080,16,1,8,223,0,0
938,777,-1,2,1,1,0,-1,-1
939,778,-1,2,0,0,0,-1,-1
947,778,-1,2,0,0,0,-1,-1
960,789,2047,42130,1,0,0,2097152,0
961,790,1535,42130,1,0,0,256,0
962,792,-1,128,1,0,0,256,0
963,792,-1,160,0,0,21,60829439,0
964,791,-1,128,0,0,0,2097152,0
965,791,-1,160,0,0,21,58732543,0
970,172,20583,128,1,0,0,-1,-1
978,794,-1,128,0,0,224,-1,-1
980,795,4,1048,1,0,0,-1,-1
982,796,32,1048,1,0,0,-1,-1
983,798,1024,1048,1,0,0,-935841793,0
985,800,2,1048,1,0,0,-1,-1
991,804,16,1048,1,0,0,-1,-1
998,810,-1,130,1,0,0,-1,-1
1011,821,-1,2,0,0,0,-1,-1
1012,778,-1,2,0,0,0,-1,-1
1027,778,-1,2,0,0,0,-1,-1
1029,829,512,1048,1,0,0,-1,-1
1084,840,1,1048,1,0,0,-1,-1
1099,849,256,1052,1,0,0,-1,-1
1127,899,16383,32914,1,0,0,58720256,0
1133,904,128,1048,1,0,0,-1,-1
1134,905,-1,0,1,0,0,58720256,0
1150,921,8,1048,1,0,0,-1,-1
1155,924,64,1048,1,0,0,-1,-1
1160,934,-1,0,1,0,0,-1,-1
1180,960,32,128,0,0,0,-1,-1
1188,975,-1,0,0,0,230,-1,-1
1189,976,-1,0,0,0,233,-1,-1
1190,977,-1,0,0,0,236,-1,-1
1191,978,-1,0,0,0,237,-1,-1
1192,979,-1,0,0,0,235,-1,-1
1193,980,-1,0,0,0,234,-1,-1
1194,905,-1,0,0,0,0,2109439,0
1196,981,-1,0,0,0,61,-1,-1
1197,982,-1,0,0,0,61,-1,-1
1645,1830,0,6,1,1,41,0,0
1660,1848,2048,1048,1,0,0,-1,-1
1661,118,18432,146,1,0,0,268435976,0
1718,1945,-1,128,0,0,295,-1,-1
1750,2000,-1,2,0,0,0,-1,-1
1853,2152,2048,144,1,0,0,-1,-1
1873,139,2048,160,1,0,0,-1,-1
2041,2419,16383,33938,1,0,0,67108864,0
2042,2420,16383,33938,1,0,0,134217728,0
2043,2421,16383,32914,1,0,0,536870912,0
2045,2423,16383,33938,1,0,0,268435456,0
2057,2437,-1,0,0,1,338,-1,-1
2070,2454,-1,0,0,0,333,-1,-1
2078,2464,-1,128,1,0,0,67108864,0
2079,2465,0,128,0,0,0,0,0
2080,2465,-1,160,0,0,21,-1,-1
2081,762,2015,16,1,10,223,-65112064,0
2082,2472,-1,0,0,0,333,-1,-1
2083,2473,-1,0,0,0,335,-1,-1
2084,2474,-1,0,0,0,335,-1,-1
2085,2475,-1,0,0,0,335,-1,-1
2086,2476,-1,0,0,0,335,-1,-1
2087,2477,-1,0,0,0,336,-1,-1
2088,2478,-1,0,0,0,338,-1,-1
2089,2479,-1,0,0,0,333,-1,-1
2090,2480,-1,0,0,0,333,-1,-1
2091,2481,0,0,0,0,335,0,0
2092,2482,-1,0,0,0,335,-1,-1
2093,2483,-1,0,0,0,335,-1,-1
2094,2484,0,0,0,0,335,0,0
2095,2485,-1,0,0,0,336,-1,-1
2096,2486,-1,0,0,0,338,-1,-1
2097,2487,-1,0,0,0,333,-1,-1
2098,2488,-1,0,0,0,333,-1,-1
2099,2489,-1,0,0,0,335,-1,-1
2101,2491,-1,0,0,0,335,-1,-1
2102,2492,-1,0,0,0,335,-1,-1
2103,2493,-1,0,0,0,335,-1,-1
