ID,SoundKitID,EnvelopeType,Flags,CurveID,DecayIndex,SustainIndex,ReleaseIndex
5584,180463,0,0,26253,4,5,6
7328,211948,0,0,58457,1,2,7
8394,230499,0,0,68429,1,2,6
10348,286574,1,0,84801,0,0,1
10432,291685,0,0,88000,1,2,3
10857,306215,0,0,91600,1,2,3
10869,309038,0,0,91922,1,2,3
10870,309041,0,0,91925,1,2,3
10871,309034,0,0,91924,1,2,3
10875,309090,0,0,91940,1,2,3
10876,309092,1,0,91941,0,0,1
10900,310233,1,0,92208,0,0,1
10937,311303,0,0,92444,1,2,3
10938,311304,0,0,92446,1,2,3
10939,311306,1,0,92447,0,0,1
10940,311316,0,0,92448,1,2,3
