Name,ID
MainPet-PetFamilyFrame,3517
Timer-Frame,3518
MainPet-HealthBarBG,3519
Timer-BG,3520
BackupPet-DeadFrame,3521
MainPet-HealthBarFrame,3522
Start-VersusSplash,3523
BackupPet-Frame,3524
BattleHUD-Top,3525
BattleBar-ButtonBG-EndCap,3526
BattleBar-SwapPetFrame-DeadIcon,3527
MainPet-HealthBarFill,3528
BattleBar-EndCap,3529
BattleBar-Button-Highlight,3530
BattleBar-SwapPetFrame,3531
Timer-Fill,3532
BattleBar-SwapPetIcon,3533
MainPet-Frame,3534
BattleBar-Countdown-Shadow,3535
BattleBar-ButtonBG-Divider,3536
BattleBar-SwapPetShadow,3537
BattleBar-SwapPetFrame-Highlight,3538
MainPet-PetFamilyActivate,3539
MainPet-LevelBubble,3540
BattleHUD-Versus,3541
MountJournalIcons-Alliance,3542
MountJournalIcons-Horde,3543
Garr_InfoBox-BackgroundTile,3544
Garr_WoodFrame-BackgroundTile,3545
Garr_InfoBox-CornerShadow,3546
_BattleBar-ButtonBGMid,3547
_BattleBar-Mid,3548
BackArrow-Brown,3549
PetJournal-BattleSlot-Active,3550
PetJournal-BattleSlot-Locked,3551
MapCornerShadow-Left,3552
MapCornerShadow-Right,3553
NoQuestsBackground,3554
OptionsIcon-Brown,3555
QuestCollapse-Hide-Down,3556
QuestCollapse-Hide-Up,3557
QuestCollapse-Show-Down,3558
QuestCollapse-Show-Up,3559
QuestDetails-RewardsBottomOverlay,3560
QuestDetails-RewardsOverlay,3561
QuestDetails-TopOverlay,3562
QuestDetailsBackgrounds,3563
QuestionMarkContinent-Icon,3564
QuestionMarkContinent-IconHighlight,3565
QuestLogBackground,3566
StoryHeader-BG,3567
StoryHeader-CheevoIcon,3568
StoryHeader-Shadow,3569
TaskPOI-Icon,3570
TaskPOI-IconHighlight,3571
TaskPOI-IconSelect,3572
UI-OuterBorderButtonPatch,3573
UI-SquareButtonBrown-Down,3574
UI-SquareButtonBrown-Up,3575
QuestItemBorder-Small,3576
QuestItemBorder,3577
PetJournal-PetCard-BG,3578
PetJournal-BattleSlotFrame-Corner,3579
PetJournal-ExpBar-Left,3580
