ID,CurveID,Offset
1,6243,0
2,6243,-6
3,6243,-3
4,6243,3
5,6243,6
6,6243,3
7,6243,6
8,6243,7
9,6243,0
10,6243,6
11,6243,7
12,6243,8
13,6243,9
14,6243,10
15,6243,11
16,6243,8
17,6243,9
18,6243,10
19,6243,11
20,6243,12
21,6243,13
22,6243,10
23,6243,11
24,6243,12
25,6243,13
26,6243,14
27,6243,15
28,6243,12
29,6243,13
30,6243,14
31,6243,15
32,6243,16
33,6243,17
34,16520,0
35,16520,-6
36,16520,-3
37,16520,3
38,16520,6
39,6243,1
40,6243,2
41,6243,3
42,6243,0
43,6243,5
44,6243,10
45,87537,5
46,87537,0
47,88583,0
48,92772,0
49,92772,6
50,92772,13
51,94166,0
52,94167,0
53,94633,0
54,6243,1
55,6243,0
56,97686,0
