ID,Description_lang
1,"The Darkmoon Faire is here, this time in idyllic Elwynn Forest.

Meet Silas Darkmoon and his troupe, play games that test mind and nerve, and behold exotic sights from the four corners of Azeroth... and beyond!"
2,"Azeroth celebrates!  Each racial capital holds fireworks shows every hour, all night long!"
4,"A fishing tournament, competed along the coasts of Stranglethorn Vale.  Catch as many tastyfish as you can!  

Will you be one of the first to catch forty fish and win a prize?  Tastyfish can be caught for two hours after the contest begins, but you'll have to be quick to win!"
8,"First celebrated by the dwarves, Brewfest now holds appeal among all the races of Azeroth!

Visit the Alliance camp outside Ironforge, or the Horde camp outside Orgrimmar, and join the party!"
9,Something is in the air in the major cities of Azeroth.  Many guards and townsfolk spend their days giving and receiving gifts to other amorous citizens.
10,"A time of merriment and celebration, dedicated to the hottest season of the year."
11,"After the sun sets, the end of Midsummer is celebrated, with an hourly firework extravaganza.

To watch the show, visit any capital city or Booty Bay."
12,"Show an orphan what the hero's life is like!  Visit Orphan Matron Nightingale in Stormwind, Orphan Matron Battlewail in Orgrimmar, Orphan Matron Mercy in Shattrath, or Orphan Matron Aria in Dalaran and make a child's dream come true."
13,"Greatfather Winter is visiting the cities of Ironforge and Orgrimmar, courtesy of Smokywood Pastures.  And throughout Azeroth, it is the season to be jolly!"
14,"The feast of Noblegarden has arrived.  The proving grounds of each race, the place where young heroes first test their strength, each holds cleverly hidden treasure eggs.  How many can you find?"
15,"Hallow's End celebrates the break of the Forsaken from the Scourge.

Fun and mischief reign as the Innkeepers of Azeroth give treats, and tricks, to whomever asks."
16,The Harvest Festival is a time to commemorate those  who have sacrificed their lives to help friends and allies.  Feasts are held outside Orgrimmar and Ironforge in honor of these fallen heroes.
17,"Every year the druids of Moonglade hold a celebration of their city's great triumph over an ancient evil. During the Lunar Festival, citizens of Azeroth have the opportunity to honor their elders by celebrating their sage wisdom, sharing in magnificent feasts, and of course... shooting lots of fireworks!"
18,"Started by the dwarves, Brewfest is now a worldwide celebration of brews and good times."
21,"Captain Demeza sails to the goblin town of Booty Bay and recruits land-lovers into her buccaneer ranks.

Visit her or her henchmen in the capital cities if the pirate's life is for you!"
22,The battle for Alterac Valley grows intense.  Greater honor is given to those who pledge sword to their liege and battle in Alterac.
23,The battle for Arathi Basin grows intense.  Greater honor is given to those who pledge sword to their liege and battle in Arathi.
24,The battle for the Eye of the Storm grows intense.  Greater honor is given to those who pledge sword to their liege and battle in the Eye.
25,The battle for Warsong Gulch grows intense.  Greater honor is given to those who pledge sword to their liege and battle in the Gulch.
26,"The Darkmoon Faire is here, this time at the foot of Thunder Bluff.

Meet Silas Darkmoon and his troupe, play games that test mind and nerve, and behold exotic sights from the four corners of Azeroth... and beyond!"
27,"The Darkmoon Faire is here, this time outside Shattrath City.

Meet Silas Darkmoon and his troupe, play games that test mind and nerve, and behold exotic sights from the four corners of Azeroth... and beyond!"
41,The battle for the Strand of the Ancients grows intense.  Greater honor is given to those who pledge sword to their liege and battle upon the Strand.
61,"The Wrath of the Lich King launches on November 13th.

Alliance ships depart from Stormwind and Menethil Harbor.

Horde Zeppelins leave from outside Orgrimmar and Undercity.

See you in Northrend..."
81,"During the Day of the Dead, people gather in graveyards to celebrate with and cherish the spirits of those they have lost.

One can find the festivities in the cemeteries of any major city, where celebrants cook, dance, don costumes, and more."
101,Pilgrim's Bounty is a time to reflect upon one's good fortune and share with all around you.
121,The battle for the Isle of Conquest grows intense.  Greater honor is given to those who pledge sword to their liege and battle upon the Isle.
141,Test test
161,"The Kalu'ak hold a fishing derby every few days in Northrend.  Be the first to catch a Blacktip Shark and win respect with the Kalu'ak, and an amazing prize!"
162,"The battle for Gilneas continues in the once-proud city, where invading Forsaken attempt to wrest control from its cursed defenders street by bloody street."
163,For more than twenty years the Wildhammer dwarves and Dragonmaw orcs have clashed over the fertile valleys of Azeroth's eastern highlands.
164,10v10 rated battlegrounds are available.  Join a group with 9 other players and queue for a rated battleground from the PvP menu to earn Conquest Points.
165,15v15 rated battlegrounds are available.  Join a group with 14 other players and queue for a rated battleground from the PvP menu to earn Conquest Points.
166,25v25 rated battlegrounds are available.  Join a group with 24 other players and queue for a rated battleground from the PvP menu to earn Conquest Points.
188,"It's World of Warcraft's anniversary!

Many thanks from the WoW Dev Team for enjoying the world of Azeroth and beyond with us."
201,"The Darkmoon Faire is open for business! 

Meet Silas Darkmoon and his troupe, play games that test mind and nerve, and behold exotic sights from the four corners of Azeroth... and beyond!"
204,"The profiteering Venture Co. has managed to sell the Silvershard Mines rights to both the Alliance and Horde! Even now, mercenaries hired by rival mining operations from Ironforge and Bilgewater Bay clash over the precious resources..."
205,"Golden Lotus operatives discovered ancient and powerful artifacts in the long-sealed Temple of Kotmogu. Tushui and Huojin monks battle over the mysterious devices to this day, enlisting whatever allies they can from the Alliance and Horde."
215,"Within the Valley of the Four Winds, the mines of the new Battleground Deepwind Gorge measures victory not in fallen foes but in gold."
