ID,UiMarkerPos[0],UiMarkerPos[1],GarrSiteLevelID,GarrPlotInstanceID,UiMarkerSize
265,0.64096653,0.60330045,5,19,0
267,0.49493408,0.32783598,5,23,2
268,0.29015043,0.6199582,6,24,2
269,0.57078147,0.41718417,6,25,1
270,0.45113254,0.6232776,6,18,0
271,0.5703714,0.5805632,6,19,0
272,0.6059475,0.6792182,6,20,0
273,0.21039234,0.46911654,6,22,1
274,0.473411,0.34770355,6,23,2
1018,0.8426159,0.3313988,6,59,4
1019,0.7103061,0.5734047,6,63,3
2251,0.46253657,0.35233897,258,18,0
2254,0.67542464,0.55177295,258,23,0
2258,0.60772526,0.35264137,259,18,0
2259,0.4776709,0.27367517,259,19,0
2260,0.5731949,0.44627365,259,20,0
2261,0.44570625,0.6516793,259,22,0
2262,0.72276217,0.59961736,259,23,0
2263,0.76134753,0.34702995,259,24,0
2264,0.7029714,0.22776996,259,25,0
2265,0.8527733,0.8548658,259,59,0
2266,0.22386247,0.8332557,259,63,0
2267,0.09313751,0.6938885,259,67,0
3002,0.6246275,0.16432992,6,67,0
3196,0.13192928,0.29191926,259,81,0
3252,0.5003284,0.6541826,444,18,0
3253,0.6225181,0.61213046,444,19,0
3254,0.238065,0.48898408,444,22,0
3255,0.53490585,0.3675711,444,23,0
3256,0.8456906,0.39541644,444,59,0
3257,0.8317584,0.5557447,444,63,0
3259,0.60772526,0.35264137,445,18,0
3260,0.4776709,0.27367517,445,19,0
3261,0.44570625,0.6516793,445,22,0
3262,0.72276217,0.59961736,445,23,0
3263,0.8527733,0.8548658,445,59,0
3264,0.22386247,0.8332557,445,63,0
3265,0.09313751,0.6938885,445,67,0
3313,0.15647148,0.32560703,6,81,0
3325,0.67523026,0.17096774,444,67,0
