ID,QualityItemBonusListID,Quality,ParentILSQualitySetID
408,3527,3,2
409,3528,4,2
432,4785,3,3
433,4786,4,3
536,4785,3,104
537,4786,4,104
538,4785,3,105
539,4786,4,105
540,4785,3,106
541,4786,4,106
544,4785,3,107
549,4785,3,108
550,4786,4,108
553,4785,3,109
558,4785,3,110
559,4786,4,110
564,4785,3,111
565,4786,4,111
570,4785,3,112
571,4786,4,112
574,4785,3,113
579,4785,3,114
580,4786,4,114
581,6616,3,115
582,6646,4,115
593,4785,3,117
594,4786,4,117
597,4785,3,119
598,6646,4,120
599,6616,3,120
600,6646,4,122
601,6616,3,122
602,7953,3,123
603,7954,4,123
604,8766,3,124
605,8766,3,125
606,8767,4,125
618,4785,3,128
619,8766,3,129
620,8767,4,129
621,8766,3,130
622,8767,4,130
625,10254,3,132
626,10255,4,132
627,8766,3,133
628,8767,4,133
629,11224,5,134
634,10254,3,135
635,10255,4,135
