ID,SpellVisualKitID,Event,AnimKitID,Field_11_0_0_54210_003,TimeIsh,Field_11_0_0_54935_005,Field_11_0_0_55000_006,Field_11_1_0_58221_008,Field_11_0_0_54210_005[0],Field_11_0_0_54210_005[1]
1,0,0,16383,1,3,2,1,3,-5767169,0
2,1124,1,16383,1,1,1,0,3,-5767169,0
3,0,0,16383,1,1,3,1,3,-5767169,0
4,200628,1,16383,1,1,0,0,3,-5767169,0
5,200613,1,0,1,1,0,0,3,0,0
6,200620,1,0,1,1,0,0,3,0,0
8,200608,1,0,1,1,0,0,3,0,0
9,0,0,16383,1,2,1,1,3,-5767169,0
14,0,3,0,1,1,1,2,3,-5767169,0
15,0,4,16383,5,1,3,1,3,-5767169,0
16,0,4,16383,5,2,2,1,3,-5767169,0
17,0,4,16383,1,6,1,1,3,-5767169,0
18,202707,5,16383,1,3,0,0,3,-5767169,0
19,202728,5,16383,1,2,0,0,3,-5767169,0
20,202729,5,16383,1,1,0,0,3,-5767169,0
21,202749,7,16383,1,19,0,0,3,-5767169,0
22,202753,7,16383,1,1,0,0,3,-5767169,0
23,204347,3,0,1,1,0,0,3,-5767169,0
24,204422,3,0,1,1,0,0,3,-5767169,0
25,128667,3,0,1,1,1,2,3,-5767169,0
27,0,3,11375,3,1,4,0,3,-5767169,0
28,207655,3,128,1,2,4,1,3,-5767169,0
29,0,3,4096,9,2,4,1,3,-5767169,0
30,223148,3,16,1,2,4,1,3,-5767169,0
31,207631,3,16,1,2,4,1,3,-5767169,0
32,207637,3,16,1,2,4,1,3,-5767169,0
33,207652,3,128,1,2,4,1,3,-5767169,0
34,207654,3,128,1,2,4,1,3,-5767169,0
35,207648,3,1024,1,4,4,1,3,-5767169,0
36,207647,3,1024,1,4,4,1,3,-5767169,0
37,207656,3,512,3,4,4,0,3,-5767169,0
38,207659,3,2,1,4,4,1,3,-5767681,0
39,207660,3,64,1,2,4,1,3,-5767169,0
40,207661,3,64,1,2,4,1,3,-5767169,0
41,207663,3,256,1,2,4,1,3,-5767169,0
42,207666,3,256,1,2,4,1,3,-5767169,0
43,207664,3,256,1,2,4,1,3,-5767169,0
44,218607,3,2,1,4,4,1,0,512,0
45,0,3,512,1,0,4,1,3,-5767169,0
47,207659,3,2,1,4,4,1,1,512,0
48,0,9,16383,1,1,1,2,3,-5767169,0
49,0,4,0,5,10,7,1,3,0,0
