ID,Signature_lang,BackgroundTexture,SealTexture,PoiIcon
1,|cff042c54King|nVarian Wrynn|r,5861,5859,0
2,|cff480404Warchief|nVol'jin|r,5862,5860,0
3,,6059,0,0
5,,5862,5860,0
6,|cff042c54King|nAnduin Wrynn|r,5861,5859,0
7,|cff480404Warchief|nSylvanas Windrunner|r,5862,5860,0
8,,5861,0,0
10,,5862,0,0
11,|cff480404Nathanos Blightcaller|r,5862,5860,0
12,|cff042c54Genn Greymane|r,5861,5859,0
13,,5861,5859,0
14,,0,0,0
15,,11846,0,0
16,,11942,0,0
17,,12088,0,0
18,,12093,0,0
19,,12094,0,0
20,,12089,0,0
21,,12086,0,0
22,,12087,0,0
23,|cff480404Lor'themar Theron|r,5862,5860,0
24,|cff042c54Master Mathias Shaw|r,5861,5859,0
25,|cff480404Valeera Sanguinar|r,5862,5860,0
26,,12126,0,0
27,,0,0,17024
28,,0,0,17018
29,,0,0,17020
30,,0,0,17022
31,,17678,0,0
32,,0,0,18497
33,,19093,0,0
34,,19098,0,0
35,,19096,0,0
36,,19082,0,0
37,,19083,0,0
38,,19092,0,0
39,,19094,0,0
40,,19095,0,0
41,,19097,0,0
42,,19099,0,0
43,,19100,0,0
44,,19101,0,0
45,,19102,0,0
46,,19954,0,0
47,,19953,0,0
48,,19952,0,0
49,,19951,0,0
50,,19956,0,0
51,,19955,0,0
52,,21093,0,0
53,,23309,0,0
55,,23904,0,0
56,,23903,0,0
57,,25076,0,0
58,,26631,0,0
59,,26632,0,0
60,,26643,0,0
