Name_lang,Description_lang,ID,UiTextureAtlasElementID,TraitTreeID
Yellow [DNT],[DNT] This is a UI Engineering test SubTree.,9,18688,898
Pink [DNT],[DNT] This is a UI Engineering test SubTree.,10,4076,898
Blue [DNT],[DNT] This is a UI Engineering test SubTree.,11,4073,898
Red [DNT],[DNT] This is a UI Engineering test SubTree.,12,11358,898
UI Test Subtree 1,Description,16,11409,878
UI Test Subtree 2,Other Description,17,0,880
Voidweaver,"Voidweavers have dedicated themselves to studying the origins of Void magic, and have discovered a way to tear open a tenuous connection to the Void. This power is incredibly dangerous and volatile, consuming anything in its path.",18,26682,795
Archon,"Archons are highly devout and deeply connected to the Light and Shadow. Archons can be blessed from higher beings to enter into an ascended state, becoming an ultimate version of themselves.",19,27430,795
Oracle,Oracles gain insight into the future and use it to protect and empower their allies. Their future sight grants Oracles the ability to bestow unique blessings and benefits upon their allies before they even know they are needed.,20,26934,795
Druid of the Claw,"Druids of the Claw are masters of their mighty animal forms. When they transform into cats or bears, they become ferocious combatants and protectors of the wild.",21,26675,793
Wildstalker,"Wildstalkers live amongst the remote wilds, hunting to perpetuate the cycle of life and death and destroy those who would despoil nature and using their healing powers to restore life to barren spaces.",22,26677,793
Keeper of the Grove,Keepers of the Grove take inspiration from Cenarius' mighty children to protect the balance of nature and safeguard the Dream. They channel the power of the Dream to strengthen their spells and summon empowered treants to protect their allies and crush their enemies.,23,26686,793
Elune's Chosen,Elune's Chosen dedicate themselves to the Moon Goddess and are granted her connection to the moon and stars. Their abilities are infused with astral might and they can call down potent lunar magics.,24,26685,793
Damage Dealer,Brann brings down enemies from afar wielding Ol' Faithful.,29,24179,874
Healer,Brann uses his medical supplies and collected relics to heal injured players.,30,24186,874
San'layn,San'layn excel at using blood and shadow magic to weaken their enemies and empower their own capabilities.,31,26673,750
Rider of the Apocalypse,"Riders of the Apoclypse call forth the power of the legendary Four Horsemen. They can call upon the Horsemen for aid and tap into the powers of death, famine and disease.",32,27222,750
Deathbringer,"Become the emissary of death. Aim for the soul of your enemies with attacks empowered by the Shadowlands, and remind them of the inevitable.",33,26672,750
Fel-Scarred,The Fel-Scarred embrace their inner demon and amplify the explosive power of the fel fire they wield.,34,27066,854
Aldrachi Reaver,"The Aldrachi warriors were the ultimate glaivemasters and wielded their blades with deadly grace, consuming souls and imbuing their weapons with greater power.",35,27132,854
Scalecommander,"Scalecommanders are natural born leaders, capable of inspiring those around them to become better. They are the chosen generals of the Dracthyr and use their empower spells to send battle commands and summon troops.",36,27067,872
Flameshaper,"Flameshapers are closely attuned to Alexstrasza and specialize in protecting allies, rejuvenation, and renewal. They also have the unique ability to spread, intensify, and manipulate dragonflame.",37,27223,872
Chronowarden,"Chronowardens can manipulate time, giving them glimpses of the future to speed their attacks or recalling echoes to revisit past actions. Specialization in bronze magic can cause instabilities due to the many future possibilities they constantly see.",38,26678,872
Sunfury,"By embracing arcane flames, Sunfury mages enhance their most devastating incantations, even calling on the aid of a spellfire phoenix.",39,27133,658
Spellslinger,"Mastering the inherently unstable nature of magic allows Spellslingers to splinter their magic, creating powerful and volatile new effects.",40,27429,658
Frostfire,"Frostfire mages take the reins of seemingly incompatible elemental forces. By mastering the opposing forces, they enhance their elemental attacks and can even combine them for more power.",41,27017,658
Sentinel,"Sentinels draw their power from nature's forces, dealing bonus Arcane damage with their abilities and calling upon the power of the moon to rain destruction on their enemies.",42,27529,774
Pack Leader,"Pack Leaders have formed a deep bond with their animal companions and nature itself, allowing the Hunter and their pack to hunt with a vicious coordination on the battlefield and summon aid from powerful beasts.",43,27068,774
Dark Ranger,"Embrace hatred and strike from the shadows, assaulting your enemies with necrotic, shadow-empowered abilities. Enemies who fall from your abilities further empower your dark energies.",44,26679,774
Templar,Templars stop at nothing to bring justice to the wicked. They call down hammers of Light and unleash devastating combinations of physical and holy attacks to vanquish their enemies.,48,26681,790
Lightsmith,"Lightsmiths have developed such masterful control over the Light that they are able to wield it tangibly, employing constructs to empower their weapons and defenses and to protect their allies.",49,26680,790
Herald of the Sun,"Heralds of the Sun develop a deep bond to the sun and solar energy, using it to burn enemies and cauterize their allies' wounds. They can manifest potent solar rays while fully connected to the Light.",50,26702,790
Trickster,"Dirty tricks and flashing blades are on display when a Trickster enters a fight. Tricksters distract opponents with misdirection or a sword's flourish, then slash them with a blade they never saw coming.",51,27018,852
