ID,Description_lang,Color,Field_5_5_0_61000_002
2,Now with extra description,16777215,44964
20,Season 10,-16711936,70517
226,Season 10 Elite,-16711936,70504
525,Season 9 Elite,-16711936,67447
653,Season 9,-16711936,60408
1013,Season 11,-16711936,72304
1208,Season 11 Elite,-16711936,73413
1591,Season 19,-16711936,3249
1593,This Color Hurts My Eyes,-65536,43649
1641,Raid Finder,-16711936,77984
2015,Heroic,65280,81279
2255,Season 12,65280,84344
2667,Season 12 Elite,65280,84987
2923,Celestial,65280,86624
3759,Crafting Material,-10044417,76061
3765,100 Slot bag,-1,89722
3845,Heroic Elite,65280,90503
3859,Elite,65280,90517
3933,Season 13,65280,91087
3934,Season 13 Elite,65280,91088
4918,Rank 1,-16711681,93823
4949,Rank 2,-16711681,94162
4953,Rank 3,-16711681,94166
4957,Rank 4,-16711681,94170
4961,Rank 5,-16711681,94174
4965,Rank 7,-16711681,94178
4969,Rank 8,-16711681,94182
4970,Rank 6,-16711681,94183
5213,Scenario Item,-1,93742
5616,Thunderforged,65280,96100
6360,Heroic Thunderforged,65280,96844
6798,Rank 9,-16711681,97278
6842,Rank ??,-16711681,97561
6843,Season 8,65280,51327
6894,Season 8 Elite,65280,51389
7052,Season 7,65280,40790
7225,Season 7 Elite,65280,48402
7261,Season 6,65280,40787
7434,Season 6 Elite,65280,45937
7463,Season 5,65280,40784
7636,Season 4,65280,34985
7775,Season 3,65280,33006
7906,Season 2,65280,30486
8027,Season 1,65280,24544
8869,Flexible,65280,99552
9059,Season 14,65280,99766
9459,Season 14 Elite,65280,100184
10126,Season 15,65280,102590
10520,Season 15 Elite,65280,102984
11080,Timeless,65280,103986
11179,Heroic Warforged,65280,105407
11428,Warforged,65280,105158
13145,Mythic,-16711936,0
13193,Normal,65280,81279
13291,25 Player (Normal),0,0
13292,25 Player (Heroic),0,0
13293,10 Player (Normal),65280,81279
13301,Gladiator,-16711936,0
13304,Honor,-16711936,0
13305,Sunwell,-16711936,0
13306,PVP Rare,65280,81279
14352,Twilight,65280,0
