ID,LuaName,Flags,BattlePetVisualID
1,Is_Dead,8,0
2,maxHealthBonus,24,0
3,Internal_InitialHealth,0,0
4,Stat_Kharma,64,0
17,Internal_InitialLevel,0,0
18,Stat_Power,264,0
19,Stat_Stamina,40,0
20,Stat_Speed,12,0
21,Mechanic_IsPoisoned,8,25
22,Mechanic_IsStunned,8,0
23,Mod_DamageDealtPercent,0,0
24,Mod_DamageTakenPercent,8,0
25,Mod_SpeedPercent,8,0
26,Ramping_DamageID,0,0
27,Ramping_DamageUses,0,0
28,Condition_WasDamagedThisTurn,0,0
29,untargettable,8,0
30,Mechanic_IsUnderground,8,0
31,Last_HitTaken,0,0
32,Last_HitDealt,0,0
33,Mechanic_IsFlying,8,0
34,Mechanic_IsBurning,0,28
35,turnLock,2,0
36,swapOutLock,1,0
40,Stat_CritChance,72,0
41,Stat_Accuracy,72,0
42,Passive_Critter,8,0
43,Passive_Beast,8,0
44,Passive_Humanoid,8,0
45,Passive_Flying,8,0
46,Passive_Dragon,8,0
47,Passive_Elemental,8,0
48,Passive_Mechanical,8,0
49,Passive_Magic,8,0
50,Passive_Undead,8,0
51,Passive_Aquatic,8,0
52,Mechanic_IsChilled,8,0
53,Weather_BurntEarth,8,0
54,Weather_ArcaneStorm,8,0
55,Weather_Moonlight,8,0
56,Weather_Darkness,8,0
57,Weather_Sandstorm,8,0
58,Weather_Blizzard,8,0
59,Weather_Mud,8,0
60,Weather_Rain,8,0
61,Weather_Sunlight,8,0
62,Weather_LightningStorm,8,0
63,Weather_Windy,8,0
64,Mechanic_IsWebbed,0,0
65,Mod_HealingDealtPercent,8,0
66,Mod_HealingTakenPercent,8,0
67,Mechanic_IsInvisible,8,0
68,unkillable,0,0
69,Mechanic_IsObject,0,0
70,Special_Plant,8,0
71,Add_FlatDamageTaken,8,0
72,Add_FlatDamageDealt,8,0
73,Stat_Dodge,72,0
74,Special_BlockedAttackCount,0,0
75,Special_ObjectRedirectionAuraID,8,0
77,Mechanic_IsBleeding,8,0
78,Stat_Gender,64,0
82,Mechanic_IsBlind,8,0
84,Cosmetic_Stealthed,72,0
85,Cosmetic_WaterBubbled,72,0
87,Mod_PetTypeDamageDealtPercent,0,0
88,Mod_PetTypeDamageTakenPercent,0,0
89,Mod_PetType_ID,0,0
90,Internal_CaptureBoost,0,0
91,Internal_EffectSucceeded,0,0
93,Special_IsCockroach,0,0
98,swapInLock,1024,0
99,Mod_MaxHealthPercent,0,0
100,Clone_Active,8,0
101,Clone_PBOID,8,0
102,Clone_PetAbility1,8,0
103,Clone_PetAbility2,8,0
104,Clone_PetAbility3,8,0
105,Clone_Health,8,0
106,Clone_MaxHealth,8,0
107,Clone_LastAbilityID,8,0
108,Clone_LastAbilityTurn,8,0
113,Special_IsCharging,8,0
114,Special_IsRecovering,8,0
117,Clone_CloneAbilityID,8,0
118,Clone_CloneAuraID,8,0
119,DarkSimulacrum_AbilityID,8,0
120,Special_ConsumedCorpse,8,0
121,Ramping_PBOID,0,0
122,reflecting,8,0
123,Special_BlockedFriendlyMode,0,0
124,Special_TypeOverride,8,0
126,Mechanic_IsWall,0,0
127,Condition_DidDamageThisRound,0,0
128,Cosmetic_FlyTier,72,0
129,Cosmetic_FetishMask,72,0
136,Mechanic_IsBomb,8,0
141,Special_IsCleansing,8,0
144,Cosmetic_Bigglesworth,72,0
145,Internal_HealthBeforeInstakill,0,0
149,resilient,8,0
153,Passive_Elite,8,0
158,Cosmetic_Chaos,72,0
162,Passive_Boss,8,0
176,Cosmetic_TreasureGoblin,72,0
191,Ignore_Damage_Below_Threshold,8,0
196,Cosmetic_Spectral_Blue,72,0
199,Special_Egg,8,0
200,Ignore_Damage_Above_Threshold,8,0
201,Cheating_Death,8,0
202,Add_PeriodicDamageTaken,8,0
302,Dealt_KillingBlow,8,0
303,Passive_Leprosy,8,0
304,Special_Auto_Rebuilder,0,0
305,Special_Necrotic_Touch,0,0
306,Special_Redirect_Healing,8,0
313,Special_Intercept_Damage,8,0
314,Critical_Damage_Bonus,8,0
315,Internal_Never_Cancel_Spell_Visual,8,0
316,Weather_Toxic_Gas,8,0
319,Internal_Immune_Knockback,8,0
320,Special_Stored_Up_Damage,8,0
321,Special_IsFromZM,0,0
