ID,Name_lang,Description_lang,IconFileDataID,Category
1,Wild Aggression,An unpredictable enemy whose aggression should be controlled.,136080,2
2,Massive Strike,An ability that deals massive damage.,132355,2
3,Group Damage,An ability that deals damage to multiple party members.,135826,2
4,Magic Debuff,A dangerous harmful effect that should be dispelled.,136207,2
6,Danger Zones,An ability that affects a target area and must be avoided or escaped.,451165,2
7,Minion Swarms,An enemy with many allies.  Susceptible to area-of-effect damage.,237511,2
8,Powerful Spell,A dangerous spell that should be interrupted.,136197,2
9,Deadly Minions,An enemy with powerful allies that should be neutralized.,1035504,2
10,Timed Battle,An enemy that must be dealt with quickly.,237538,2
11,Orc,Lok'tar ogar!,897144,1
12,Ogre,What you looking at.,236695,1
13,Undead,Brainnnnssss...,236458,1
14,Arakkoa,An ancient and dangerous species.,236435,1
15,Beast,Rawrrrrr.,298659,1
16,Demon,The end is nigh.,254651,1
17,Breaker,Colossal and destructive giants of Draenor.,236412,1
18,Fury,The elemental entities of Draenor.,254652,1
19,Aberration,Creatures of the Void.,298680,1
20,Primal,Ancient creatures of primeval Draenor.,254105,1
21,Mountains,A mountainous region.,236848,0
22,Desert,A harsh and dry landscape.,236846,0
23,Snow,An arctic region.,236833,0
24,Underground,The dark below.,409595,0
25,Jungle,An area with heavy plant and tree cover.,236850,0
26,Forest,Wooded lands.,236830,0
27,Town,A smaller urban area.,462338,0
28,Swamp,A lousy place you'd rather not be.,236819,0
29,Plains,The open and rolling green hills and flatlands.,236712,0
58,Hearthstone Table,Pull up a chair by the hearth!,4620678,0
60,Alchemy,This mission involves the Alchemy profession.,4620669,0
61,Blacksmithing,This mission involves the Blacksmithing profession.,4620670,0
62,Enchanting,This mission involves the Enchanting profession.,4620672,0
63,Engineering,This mission involves the Engineering profession.,136243,0
64,Jewelcrafting,This mission involves the Jewelcrafting profession.,4620677,0
65,Leatherworking,This mission involves the Leatherworking profession.,133611,0
66,Tailoring,This mission involves the Tailoring profession.,4620681,0
67,Inscription,This mission involves the Inscription profession.,4620676,0
73,Submarine,"Submarines move silently under water, sneaking up on unsuspecting ships.

|cffb2f0ffCountered by: |r
|TInterface\ICONS\Ships_ABILITY_DepthCharges.blp:24:24:0:0|t |cffffffff Destroyer|r",1141396,2
74,Carrier,"Carriers are outfitted with a squadron of ace bomber pilots.

|cffb2f0ffCountered by: |r
|TInterface\ICONS\Ships_ABILITY_Stealth.blp:24:24:0:0|t |cffffffff Submarine|r",1141394,2
75,Destroyer,"Destroyers are quick, heavily armored ships known for hunting Submarines.

|cffb2f0ffCountered by: |r
|TInterface\ICONS\Ships_ABILITY_ArmorPiercingAmmo.blp:24:24:0:0|t |cffffffff Battleship|r",1141395,2
76,Battleship,"Feared for its devastating long-range artillery cannons, Battleships are unmatched in the open sea.

|cffb2f0ffCountered by: |r
|TInterface\ICONS\Ships_ABILITY_Bombers.blp:24:24:0:0|t |cffffffff Carrier|r",1141390,2
