ID,OrderIndex,Gender,ClassMask,CreatureModelDataID,TextureVariationFileDataID[0],TextureVariationFileDataID[1],TextureVariationFileDataID[2],TextureVariationFileDataID[3],RaceMasks[0],RaceMasks[1],CreatureDisplayInfoID
2,2,1,0,8588,1273083,1307051,0,0,1309324210,-1440044374,68670
3,2,0,0,8587,1272948,1270152,0,0,1309324210,-1440044374,68670
4,2,1,0,8476,1273132,1307051,0,0,-1321907123,1427461461,68670
5,2,0,0,8477,1272948,1270153,0,0,-1321907123,1427461461,68670
6,20,1,0,0,1270191,0,0,0,1309324210,-1440044374,68670
7,20,1,0,0,1273080,0,0,0,1309324210,-1440044374,68670
8,20,1,0,0,1273081,0,0,0,1309324210,-1440044374,68670
9,20,1,0,0,1273082,0,0,0,1309324210,-1440044374,68670
10,20,1,0,0,1273083,0,0,0,1309324210,-1440044374,68670
11,20,0,0,0,0,1270148,0,0,1309324210,-1440044374,68670
12,20,0,0,0,0,1270149,0,0,1309324210,-1440044374,68670
13,20,0,0,0,0,1270150,0,0,1309324210,-1440044374,68670
14,20,0,0,0,0,1270151,0,0,1309324210,-1440044374,68670
15,20,0,0,0,0,1270152,0,0,1309324210,-1440044374,68670
16,20,1,0,0,1273127,0,0,0,-1321907123,1427461461,68670
17,20,1,0,0,1273128,0,0,0,-1321907123,1427461461,68670
18,20,1,0,0,1273129,0,0,0,-1321907123,1427461461,68670
19,20,1,0,0,1273130,0,0,0,-1321907123,1427461461,68670
20,20,1,0,0,1273131,0,0,0,-1321907123,1427461461,68670
21,20,0,0,0,0,1270153,0,0,-1321907123,1427461461,68670
22,20,0,0,0,0,1270154,0,0,-1321907123,1427461461,68670
23,20,0,0,0,0,1270155,0,0,-1321907123,1427461461,68670
24,20,0,0,0,0,1270156,0,0,-1321907123,1427461461,68670
25,20,0,0,0,0,1270157,0,0,-1321907123,1427461461,68670
26,30,1,0,0,0,1307051,0,0,0,0,68670
27,30,1,0,0,0,1273085,0,0,0,0,68670
28,30,1,0,0,0,1273086,0,0,0,0,68670
29,30,1,0,0,0,1273087,0,0,0,0,68670
30,30,1,0,0,0,1273089,0,0,0,0,68670
31,30,1,0,0,0,1273093,0,0,0,0,68670
32,30,0,0,0,1272948,0,0,0,0,0,68670
33,30,0,0,0,1272949,0,0,0,0,0,68670
34,30,0,0,0,1272950,0,0,0,0,0,68670
35,30,0,0,0,1272951,0,0,0,0,0,68670
36,30,0,0,0,1272952,0,0,0,0,0,68670
37,30,0,0,0,1272953,0,0,0,0,0,68670
41,1,1,0,8307,1273145,1273133,0,0,-1321907123,1427461461,68671
42,1,0,0,8475,1257969,1272942,0,0,-1321907123,1427461461,68671
43,1,0,0,8475,1270141,1272942,0,0,1309324210,-1440044374,68671
44,1,1,0,8913,1273140,1273133,0,0,1309324210,-1440044374,68671
45,2,1,0,0,1273144,0,0,0,-1321907123,1427461461,68671
46,2,1,0,0,1273145,0,0,0,-1321907123,1427461461,68671
47,2,1,0,0,1273146,0,0,0,-1321907123,1427461461,68671
48,2,1,0,0,1273147,0,0,0,-1321907123,1427461461,68671
49,2,1,0,0,1273148,0,0,0,-1321907123,1427461461,68671
54,2,1,0,0,0,1273133,0,0,0,0,68671
55,2,1,0,0,0,1273134,0,0,0,0,68671
56,2,1,0,0,0,1273135,0,0,0,0,68671
57,2,1,0,0,0,1273136,0,0,0,0,68671
58,2,1,0,0,0,1273137,0,0,0,0,68671
59,2,1,0,0,0,1273138,0,0,0,0,68671
60,2,0,0,0,0,1272942,0,0,0,0,68671
61,2,0,0,0,0,1272943,0,0,0,0,68671
62,2,0,0,0,0,1272944,0,0,0,0,68671
63,2,0,0,0,0,1272945,0,0,0,0,68671
64,2,0,0,0,0,1272946,0,0,0,0,68671
65,2,0,0,0,0,1272947,0,0,0,0,68671
66,2,1,0,0,1273139,0,0,0,1309324210,-1440044374,68671
67,2,1,0,0,1273140,0,0,0,1309324210,-1440044374,68671
68,4,1,0,0,1273141,0,0,0,1309324210,-1440044374,68671
69,2,1,0,0,1273142,0,0,0,1309324210,-1440044374,68671
70,2,1,0,0,1273143,0,0,0,1309324210,-1440044374,68671
77,-1,0,0,10882,0,0,0,0,0,0,51
79,-1,0,0,10883,0,0,0,0,0,0,84558
182,1,1,0,8476,1273132,1307051,0,0,0,0,68670
183,1,0,0,8477,1272948,1270153,0,0,0,0,68670
184,-1,0,0,10882,0,0,0,0,0,0,51894
185,-1,-1,0,14133,0,0,0,0,0,0,113609
189,2,1,0,8588,1273083,1307051,0,0,1309324210,-1440044374,120489
190,2,0,0,8587,1272948,1270152,0,0,1309324210,-1440044374,120489
191,2,1,0,8476,1273132,1307051,0,0,-1321907123,1427461461,120489
192,2,0,0,8477,1272948,1270153,0,0,-1321907123,1427461461,120489
193,20,1,0,0,1270191,0,0,0,1309324210,-1440044374,120489
194,20,1,0,0,1273080,0,0,0,1309324210,-1440044374,120489
195,20,1,0,0,1273081,0,0,0,1309324210,-1440044374,120489
196,20,1,0,0,1273082,0,0,0,1309324210,-1440044374,120489
197,20,1,0,0,1273083,0,0,0,1309324210,-1440044374,120489
198,20,0,0,0,0,1270148,0,0,1309324210,-1440044374,120489
199,20,0,0,0,0,1270149,0,0,1309324210,-1440044374,120489
200,20,0,0,0,0,1270150,0,0,1309324210,-1440044374,120489
201,20,0,0,0,0,1270151,0,0,1309324210,-1440044374,120489
202,20,0,0,0,0,1270152,0,0,1309324210,-1440044374,120489
203,20,1,0,0,1273127,0,0,0,-1321907123,1427461461,120489
204,20,1,0,0,1273128,0,0,0,-1321907123,1427461461,120489
205,20,1,0,0,1273129,0,0,0,-1321907123,1427461461,120489
206,20,1,0,0,1273130,0,0,0,-1321907123,1427461461,120489
