Name_lang,Description_lang,Position[0],Position[1],Position[2],LookAt[0],LookAt[1],LookAt[2],ID,MapID,Fov,TimeOfDay,Flags,SoundAmbienceID,Quality,TextureKit,DefaultScenePriority
Adventurer's Rest,A forest glade with a picturesque waterfall. What better place to set up camp?,-2982.99,468.057,455.523,-2985.54,456.018,454.399,1,2703,65,-1,8,2731,1,5671,0
Ohn'ahran Overlook,Adventurers from across Azeroth would be hard pressed to find a more scenic spot to rest.,-3046.0244,496.39932,410.31583,-3038.1926,487.43228,409.8168,4,2834,65,-1,8,2904,1,5672,0
Cultists' Quay,The rushing sound of water in this delve drowns out the occasional cultist chants.,181.91145,2500.3923,94.23643,203.66841,2493.2517,92.748405,5,2837,65,-1,0,2905,3,5673,0
Freywold Spring,The Earthen of Feywold are happy to host such renowned adventurers. Just cleanup after yourselves.,-2808.0034,395.2014,81.54124,-2822.783,388.33853,81.51475,7,2847,65,-1,0,2902,3,5674,0
Gallagio Grand Gallery,"Gallywix may be willing to squeeze Undermine for all its worth, but he sure has taste!",431.86978,-802.94617,27.449316,398.82986,-802.8143,27.221827,25,2851,65,-1,0,2903,3,5676,0
Randomize From Favorites,"Selects a favorite campsite each time you log in. If you don't have any favorite campsites, it'll choose from your whole collection.",0,0,0,0,0,0,29,2703,90,0,25,0,1,5675,1
Adventurer's Rest,Chair Test - A forest glade with a picturesque waterfall. What better place to set up camp?,-2982.99,468.057,455.523,-2985.54,456.018,454.399,99,2703,65,-1,7,2731,1,5671,1
Test Example from Scratch,Test Description,-2967.434,418.9375,85.79015,-2967.0469,408.52084,85.22732,110,2847,65,0,7,0,5,0,0
Adventurer's Rest,TESTING,-2982.99,343.37,129.736,-2950.4392,376.76215,121.02705,111,2847,65,-1,7,2731,1,5671,1
The Fate of the Devoured,"The Veiled Market of Tazavesh has many amenities, great smelling street food, the latest ethereal transmogrifications, and an explosive view.",-669,-160,536.5,-652.51,-122.109,537.3,119,2954,65,-1,0,3130,3,5743,0
