ID,BaseProcRate,Flags
1,4,1
18,0,1
31,5,1
35,0.581,1
38,1.74,1
39,2.611,1
40,0.51,1
41,0.96,1
42,1.64,1
43,2.89,1
44,3,1
45,0.7,1
46,1.21,1
47,3.5,1
49,1.1,1
50,2.57,1
51,19.27,1
54,1.61,1
55,1.35,1
56,11.1,1
57,1,1
58,1.1,1
59,5.78,1
60,0.72,1
61,0.58,1
62,0.85,1
63,9.17,1
64,3.67,1
65,2.2,1
66,5.5,1
67,2.53,1
72,2,1
73,2,1
74,2,1
75,2,1
79,0.92,1
80,2,1
81,2,1
82,1.1,1
83,1.15,1
84,0.92,1
85,1.01,1
86,1,1
95,15,1
96,10,1
97,1.1,1
98,1.55,1
99,2.5,1
100,3.75,1
101,2,1
102,3,1
103,3,1
104,1.5,1
105,1.5,1
107,3,1
108,2.5,1
109,1.25,1
110,2.5,1
111,2.3,1
112,1.25,1
113,1,1
114,0.85,1
115,2,1
116,2,1
117,5,1
118,5,1
119,1.5,1
121,1.7,1
122,3,1
123,4,1
124,6,1
125,2,1
126,10,1
127,20,1
128,5,1
129,4.5,1
130,2.5,1
132,7,1
133,1.1,1
134,5,1
136,15,1
137,20,1
138,5,1
139,5,1
140,1,1
141,3.5,1
142,20,1
143,8,1
144,4,1
145,0.5,1
146,1,1
147,2,1
148,1.5,1
149,5,1
150,1.25,1
151,6,1
152,3,1
153,4.5,1
154,6,1
155,2,1
156,0.85,1
157,6.5,1
158,3,1
159,0.85,1
160,4,1
161,2,1
162,2,1
163,2,1
164,1,1
165,12,1
166,0.75,1
167,6,1
168,20,1
169,2,1
170,12,1
171,0.7,1
179,4,1
180,0.92,1
181,2,1
182,1,1
184,1.2,1
186,4,1
187,1.5,1
188,2,1
189,1,1
190,3,1
191,1,1
192,0.92,1
193,0.85,1
194,0.5,1
195,4.5,1
198,2.25,1
199,1,1
200,1,1
201,1,1
202,1,1
203,2,1
204,12,1
205,5,1
206,3,1
207,0.7,1
208,1.5,1
209,1,1
210,2,1
211,2,1
212,3,1
213,0.7,1
214,2,1
215,3.5,1
216,1.8,1
217,1.5,1
218,10,1
219,1,1
220,6,1
221,2,1
222,1.5,1
223,2,1
224,2,1
225,1,1
226,3,1
227,4,1
228,1.2,1
229,2.74,1
230,2.5,1
231,3,1
232,1,1
234,1,1
235,3,1
236,8,1
237,22,1
238,1.2,1
239,0.65,1
240,26.667,1
241,4,1
242,3,1
243,8,1
244,4,1
246,9,1
247,1.7,1
248,10,1
249,3,1
250,3,1
251,7,1
252,3,1
253,10,1
254,1.8,1
255,5,1
256,4,1
257,10,1
258,1.4,1
259,1.4,1
260,1.8,1
261,1.2,1
262,1.4,1
263,1.4,1
264,0.25,1
265,0.5,1
266,20,1
267,2,1
268,5,1
269,5,1
270,1,1
271,2,1
272,4,1
273,1.5,1
275,1,1
276,3,1
277,3,1
279,3,1
280,2,1
281,0.5,1
282,1,1
383,1.5,1
384,1.75,1
385,10,1
386,6,1
387,1.5,1
388,10.8,1
389,4,1
390,10,1
391,3,1
392,2.5,1
393,1.2,1
394,1,1
395,9,1
396,2.25,1
397,0.35,1
398,6,0
399,6,0
400,2,1
402,3,0
403,10,1
404,10,1
405,40,1
406,1,1
407,1.5,1
408,1.5,1
409,2,1
410,3,1
411,1.5,1
412,15,1
413,3,1
414,0.95,1
415,0.5,1
416,0.95,1
417,1,1
418,1,1
419,5,1
420,0,0
422,1.7,1
423,4,3
425,3,0
426,1.66,1
428,1.3,1
429,1.66,1
430,4.2,1
431,1.58,1
432,7.5,1
433,12,1
434,14,1
435,16,1
436,50,1
437,3,3
438,10,3
440,0.6,1
441,10,3
443,30,1
444,9,1
445,1.58,1
446,3,3
447,7,1
448,8,1
449,30,1
450,7,1
451,1.4,5
452,8,1
453,1.15,1
