ID,Name_lang,Description_lang,BountySetID,SkillLineID,DeathTeleportSpellID,Field_9_0_2_36165_006,Field_9_0_2_36165_007,FactionID,CurrencyTypesID,RequiredPlayerConditionID
1,Kyrian,"The Kyrian are steadfast guardians of the afterlife who bear the souls of the dead into the Shadowlands. Eternally devoted to duty and service, only the worthy may enter their ranks.",111,2730,315066,346042,346046,2407,1829,0
2,Venthyr,"The Venthyr are aristocratic overseers of souls burdened with excessive pride and wickedness. They guide troubled souls upon the rigorous path to atonement, harvesting anima to keep their realm strong.",112,2731,344545,346037,346043,2413,1830,0
3,Night Fae,"The Night Fae tend to fallen nature spirits who slumber within the tranquil forest. Those with a deep bond to nature may join their cause, ensuring that the rejuvenated spirits can one day rejoin the eternal cycle.",114,2732,344538,346039,346044,2465,1831,0
4,Necrolord,"Among the Necrolords, strength is rewarded and weakness cast aside. The souls of the ambitious and contentious are forged into an immortal army charged with the defense of the Shadowlands.",113,2733,344544,346041,346045,2410,1832,0
12,Maruuk Centaur,The various centaur clans of the Ohn'ahran plains all identify as the Maruuk Centaur.,119,0,0,0,0,2503,2002,104408
13,Dragonscale Expedition,The Explorers' League and the Reliquary have joined forces for an expedition into the Dragon Isles.,119,0,0,0,0,2507,2021,104394
14,Iskaara Tuskarr,Hardy Tuskarr tribe of the Dragon Isles.,119,0,0,0,0,2511,2087,104409
15,The Valdrakken Accord,"Valdrakken is the shining capital of the dragon flights, and it is here that they have founded an accord to once again assist the mortal races.",119,0,0,0,0,2510,2088,104407
20,Loamm Niffen,The Niffen that reside underneath the Dragon Isles in Loamm,119,0,0,0,0,2564,2402,108239
21,Dream Wardens,A coalition of various races ready to defend the Emerald Dream against any and all threats.,119,0,0,0,0,2574,2653,115959
23,Keg Leg's Crew,Free-spirited crew of misfits causing mischief under the flag of Captain Keg Leg.,0,0,0,0,0,2593,2814,119189
24,Council of Dornogal,[DNT],120,0,0,0,0,2590,2900,117972
25,The Assembly of the Deeps,[DNT],120,0,0,0,0,2594,2898,117991
26,Hallowfall Arathi,[DNT],120,0,0,0,0,2570,2901,118011
27,The Severed Threads,[DNT],120,0,0,0,0,2600,2904,118037
28,[DNT] 11.0 Delves Season 1,[DNT],0,0,0,0,0,2644,3022,121067
29,[DNT] TBD The Undermine,[DNT] The Undermine,120,0,0,0,0,2653,3120,129040
31,[DNT] 11.0 Delves Season 2,[DNT],0,0,0,0,0,2683,3130,129178
32,Gallagio Loyalty Rewards,[DNT],0,0,0,0,0,2685,3315,132346
33,Flame's Radiance,[DNT],0,0,0,0,0,2688,3140,130290
