ID,Name_lang,SafeLocID,PlayerConditionID,Flags,Field_8_2_0_30080_005,Field_8_2_0_30080_006
6,Take the portal from Wizard's Sanctum to Jade Forest,7262,67395,4,1,10
7,"Wizard's Sanctum, Portal to Jade Forest",7263,924,0,2,0
8,Exit the Wizard's Sanctum,7264,924,4,0,30
9,Enter the Wizard's Sanctum,7266,924,0,0,0
10,Take the portal from Eastern Earthshrine to Uldum,7267,37426,0,1,0
11,Take the portal from Eastern Earthshrine to Mount Hyjal,7268,37427,0,1,0
12,Take the portal from Eastern Earthshrine to Twilight Highlands,7269,37428,0,1,0
13,Take the portal from Eastern Earthshrine to Vashj'ir,7270,57340,0,1,0
14,Take the portal from Eastern Earthshrine to Tol Barad,7271,924,0,1,0
15,Take the portal from Eastern Earthshrine to Deepholm,7272,37429,0,1,0
16,Uldum,7273,0,0,2,0
17,Mount Hyjal,7274,0,0,2,0
18,Take the portal from Nordrassil to Stormwind,7275,924,0,1,0
19,"Stormwind, The Eastern Earthshrine",7276,924,0,2,0
20,Twilight Highlands,7277,924,0,2,0
21,Vashj'ir,7278,924,0,2,0
22,"Eastern Earthshrine, Portal to Tol Barad",7279,924,0,2,0
23,Take the portal from Baradin Base Camp to Stormwind,7280,924,0,1,0
24,Deepholm,7281,924,0,2,0
25,Take the portal from Temple of Earth to Stormwind,7282,924,0,1,0
26,Take the portal from Paw'don Village to Stormwind,7283,924,0,1,0
27,Take the portal from Wizard's Sanctum to Crystalsong Forest,7284,76876,4,1,10
28,"Wizard's Sanctum, Portal to Crystalsong Forest",7285,924,0,2,0
29,Take the portal from the Silver Enclave to Stormwind,7286,924,0,1,0
30,Take the portal from Wizard's Sanctum to the Exodar,7287,924,4,1,10
31,"Wizard's Sanctum, Portal to the Exodar",7288,924,0,2,0
32,Take the portal from Azuremyst Isle to Darnassus,7289,924,1,1,0
33,"Darkshore, Portal to Darnassus",7290,924,0,2,0
36,Take the portal from the Stair of Destiny to Stormwind,7293,924,0,1,0
37,Take the portal from Wizard's Sanctum to Shattrath,7294,6289,4,1,10
38,"Shattrath, Terrace of Light",7295,0,0,2,0
39,Take the portal from Terrace of Light to Isle of Quel'Danas,7296,0,0,1,0
40,"Terrace of Light, Portal to Isle of Quel'Danas",7297,0,0,2,0
41,Take the portal from Terrace of Light to Stormwind,7298,924,0,1,0
42,Take the portal from Wizard's Sanctum to Ashran,7299,67397,4,1,10
43,"Ashran, Stormshield",7300,924,2,2,0
44,Take the portal from Stormshield to Darnassus,7301,924,1,1,0
45,Take the portal from Stormshield to Ironforge,7302,924,1,1,0
46,"Stormshield, Portal to Ironforge",7303,924,0,2,0
47,Take the portal from Stormshield to Stormwind,7304,924,0,1,0
48,Take the portal from Wizard's Sanctum to Azsuna,7305,67396,4,1,10
49,"Wizard's Sanctum, Portal to Azsuna",7306,924,0,2,0
50,Take the portal from Crumbled Palace to Stormwind,7307,924,0,1,0
