ID,FileDataID,ParentWeatherID
616,2147904,487
737,2030933,523
738,2030932,523
749,1990926,526
755,1990925,526
756,1990927,526
770,3501751,535
824,3055445,560
825,4572373,560
832,1990926,567
833,1990925,567
834,1990927,567
835,1990938,567
837,2020283,568
842,1990924,569
844,2020321,569
846,2020320,569
847,1990923,569
848,2020283,570
849,1990924,571
850,1990923,571
851,2020322,572
900,7872924,579
901,7873706,580
929,7873706,586
931,7872924,586
934,7872924,584
935,7873706,585
936,2147858,587
937,2147858,588
938,1990925,589
939,1990926,590
940,1990943,592
941,1990977,592
942,7872533,593
944,2020320,595
947,2020321,596
949,1990930,599
950,1990930,600
951,1990930,601
952,1990933,601
953,2151595,601
954,1990930,602
955,1990933,602
956,2151595,602
957,1990930,603
958,1990933,603
959,2151595,603
986,7872533,2
987,7872533,3
988,7872924,4
989,7873706,5
990,7873706,21
991,2147858,61
992,7872924,81
993,2147858,83
994,7873706,596
995,7872924,595
996,7872924,597
