Name_lang,ID
Season 12,9
Throne of Thunder,10
Season 15,14
Season 14,15
Season 13,16
Season 11,17
Season 10,18
Season 9,19
Season 8,20
Season 7,21
Season 6,22
Season 5,23
Season 4,24
Season 3,25
Season 2,26
Season 1,27
Siege of Orgrimmar,30
Heart of Fear,31
Dragon Soul,32
Firelands,33
The Bastion of Twilight,34
Icecrown Citadel,35
Trial of the Crusader,36
Ulduar,37
Naxxramas,38
Black Temple,39
Serpentshrine Cavern,40
Gruul's Lair,41
Naxxramas,42
Blackwing Lair,43
Molten Core,44
Sunwell Plateau,50
Temple of Ahn'Qiraj,51
Darkmoon Faire,52
Darkmoon Faire,53
Pandaria Challenge Dungeons,58
