ID,PerksActivityTagID,PerksActivityID
1,1,17
2,2,10
3,3,4
4,3,16
5,3,8
6,6,14
7,5,13
9,2,11
10,2,12
11,1,7
12,1,3
14,4,79
16,8,72
20,5,63
22,8,64
23,7,69
24,7,66
25,7,67
27,8,74
28,3,68
30,7,70
31,8,75
32,7,61
33,7,65
34,8,73
36,7,71
37,8,76
38,8,50
39,7,43
40,7,44
41,3,38
42,1,36
43,2,39
44,8,52
45,5,41
46,6,42
47,6,40
48,7,46
49,7,54
50,7,55
51,7,56
52,8,49
53,7,47
54,8,48
55,8,53
57,3,37
58,7,45
59,3,19
60,2,31
61,2,20
62,5,22
63,6,21
64,7,34
65,7,30
66,7,5
67,7,29
68,3,27
69,8,25
70,8,32
71,7,26
72,7,28
73,7,24
74,3,23
75,3,18
76,3,81
77,4,82
78,4,83
79,4,84
80,4,85
81,4,86
82,4,87
83,4,88
84,4,89
85,2,89
86,4,90
87,4,91
88,1,91
89,4,92
90,5,92
91,1,45
92,3,46
93,1,47
94,4,93
95,5,93
96,4,94
97,2,94
98,5,95
99,8,96
100,8,97
101,3,97
102,7,98
103,7,99
104,7,100
105,2,100
106,7,101
107,4,102
108,4,103
109,1,103
110,4,104
111,4,105
112,7,106
113,7,107
114,1,107
115,4,108
116,1,108
117,4,109
118,4,110
119,4,111
120,4,112
121,4,113
122,2,113
123,7,114
124,7,115
125,1,115
126,7,116
127,8,117
128,8,118
129,4,119
130,1,120
131,6,121
132,5,122
133,5,123
134,4,124
135,1,124
136,4,125
137,2,125
138,4,126
139,4,127
140,6,128
141,2,129
142,4,130
143,5,130
144,4,131
145,5,131
146,4,132
150,4,135
151,1,135
152,4,136
153,4,137
154,1,137
155,4,138
156,5,139
157,4,139
158,4,140
159,2,140
160,8,98
161,4,128
162,4,129
163,4,121
164,7,141
165,4,142
166,8,142
167,8,143
168,4,143
169,8,144
170,3,145
171,4,146
172,5,147
173,5,148
174,3,149
175,4,149
176,7,149
177,3,6
178,4,150
179,4,118
180,4,120
181,4,8
183,5,152
184,4,40
185,4,43
186,4,95
187,4,96
188,4,117
189,8,99
190,4,99
191,8,122
192,4,122
193,5,83
194,5,110
195,5,146
196,1,71
197,1,86
198,1,89
199,1,102
200,1,141
201,8,44
202,4,44
203,8,54
204,8,55
205,8,56
207,8,65
208,8,66
209,8,67
210,8,69
211,8,70
212,8,100
213,8,101
214,8,106
215,8,112
216,8,116
217,8,123
218,8,126
219,8,127
220,8,114
230,4,154
231,4,155
232,4,156
233,4,157
234,1,157
235,4,158
236,1,158
237,4,159
238,4,160
239,2,160
240,4,161
241,1,161
242,6,162
243,4,162
244,9,163
245,3,163
246,7,164
247,1,164
248,7,165
249,1,165
250,4,166
251,5,166
252,7,166
253,7,167
254,1,167
255,7,168
256,8,168
257,7,169
258,3,169
259,7,170
260,7,171
261,7,172
262,1,172
263,7,173
264,8,173
265,5,174
266,4,174
267,8,174
268,8,175
269,4,175
270,9,175
271,4,176
272,8,176
273,4,177
274,8,177
275,4,178
276,8,178
277,8,179
278,9,36
279,9,37
280,9,38
281,9,39
282,9,41
283,6,180
284,9,180
285,4,181
287,7,74
288,5,182
290,3,184
291,4,184
292,7,184
293,4,185
294,4,186
295,1,186
296,7,37
297,1,160
298,1,93
299,8,171
300,8,170
301,8,163
302,4,187
303,5,187
304,4,188
305,2,188
306,4,189
307,6,189
308,7,190
309,1,190
310,7,191
311,7,192
312,7,193
313,7,194
314,7,195
315,1,196
316,3,197
321,5,200
322,6,201
323,7,202
324,7,203
326,7,205
327,1,205
328,7,206
329,3,207
331,4,209
332,4,210
333,2,210
334,4,211
335,6,211
336,4,212
337,1,212
338,9,213
339,3,213
340,7,213
341,10,214
342,3,214
343,7,214
344,10,215
345,3,215
346,7,215
347,6,216
348,10,63
349,8,217
350,7,217
352,4,219
354,8,220
355,7,220
356,8,221
357,7,221
358,8,222
359,7,222
360,8,223
361,8,224
362,7,224
363,8,225
364,8,226
365,7,226
366,7,227
367,2,227
368,8,228
371,8,230
372,8,231
373,4,231
375,4,232
376,8,233
377,4,234
378,1,234
379,4,235
381,4,236
383,4,237
384,8,238
385,8,239
386,4,239
387,5,239
388,4,240
389,8,241
390,4,241
391,5,241
392,3,241
393,8,242
394,4,242
395,5,242
396,3,242
398,4,243
400,4,244
402,4,245
403,7,246
404,8,246
405,4,247
406,1,247
407,4,248
408,4,249
409,4,250
410,4,251
411,8,251
412,4,252
413,4,253
414,11,230
415,11,238
416,11,233
417,11,236
418,11,232
419,11,245
420,11,243
