Name_lang,Description_lang,ID,FiledataID
Overflowing,Healing in excess of a target's maximum health is instead converted to a heal absorption effect.,1,463570
Skittish,Enemies pay far less attention to threat generated by tanks.,2,135994
Volcanic,"While in combat, enemies periodically cause gouts of flame to erupt beneath the feet of distant players.",3,451169
Necrotic,All enemies' melee attacks apply a stacking blight that inflicts damage over time and reduces healing received.,4,1029009
Teeming,Additional non-boss enemies are present throughout the dungeon.,5,136054
Raging,"Non-boss enemies enrage at 30% health remaining, temporarily granting immunity to crowd control effects.",6,132345
Bolstering,"When any non-boss enemy dies, its death cry empowers nearby allies, temporarily increasing their damage by 20%.",7,132333
Sanguine,"When slain, non-boss enemies leave behind a lingering pool of ichor that heals their allies and damages players.",8,136124
Tyrannical,Bosses have 25% more health. Bosses and their minions inflict up to 15% increased damage.,9,236401
Fortified,Non-boss enemies have 20% more health and inflict up to 20% increased damage.,10,463829
Bursting,"When slain, non-boss enemies explode, causing all players to suffer damage over 4 sec. This effect stacks.",11,1035055
Grievous,Injured players suffer increasing damage over time until healed.,12,132090
Explosive,"While in combat, enemies periodically summon Explosive Orbs that will detonate if not destroyed.",13,2175503
Quaking,"Periodically, all players emit a shockwave, inflicting damage and interrupting nearby allies.",14,136025
Infested,Some non-boss enemies have been infested with a Spawn of G'huun.,16,2032223
Reaping,Non-boss enemies are empowered by Bwonsamdi and periodically seek vengeance from beyond the grave.,117,2446016
Beguiling,Azshara's Emissaries are present throughout the dungeon.,119,237565
Awakened,"Obelisks throughout the dungeon allow players to enter Ny'alotha and confront powerful servants of N'Zoth. If a servant is not dealt with, they must be faced during the final boss encounter.",120,442737
Prideful,"Players overflow with pride as they defeat non-boss enemies, eventually forming a Manifestation of Pride. Defeating this Manifestation greatly empowers players.",121,3528307
Inspiring,Some non-boss enemies have an inspiring presence that strengthens their allies.,122,135946
Spiteful,Fiends rise from the corpses of non-boss enemies and pursue random players.,123,135945
Storming,"While in combat, enemies periodically summon damaging whirlwinds.",124,136018
Tormented,"Servants of the Jailer can be found throughout the dungeon and grant powerful boons when defeated. If a servant is not dealt with, they empower the final boss.",128,3528304
Infernal,Infernal Beacons can be found near some bosses. Activating a Beacon or engaging a nearby boss will trigger a Legion invasion.,129,1394959
Encrypted,"Enemies throughout the dungeon possess relics of the First Ones. Destroy the relics to summon the First Ones' Automa and gain powerful bonuses, based on the order in which they were destroyed.",130,4038106
Shrouded,Nathrezim infiltrators have disguised themselves among enemies throughout the dungeon. Cartel Ta will reward you handsomely for assisting in their capture.,131,136177
Thundering,"Enemies have 5% more health. While in combat, players are periodically overcharged with primal power from Raszageth's unending storm. This power comes with great risk, and failure to discharge it quickly can have stunning consequences.",132,1385910
Focused,"Non-boss enemies with mana have 30% increased Haste, but take 10% increased Frost and Fire damage.",133,458224
Entangling,"While in combat, entangling vines periodically appear and snare players.",134,134412
Afflicted,"While in combat, afflicted souls periodically appear and seek the aid of players.",135,237555
Incorporeal,"While in combat, incorporeal beings periodically appear and attempt to weaken players.",136,298642
Shielding,"While in combat, enemies periodically summon Shielding Orbs that shield nearby enemies if not destroyed.",137,535593
Thorned,"Non-boss enemies without mana inflict Physical damage to their attackers when attacked, but take 10% increased Holy and Shadow damage.",144,1418495
Reckless,"Non-boss enemies without mana ignore 20% armor with their attacks, but their armor is reduced by 30% and they take 10% increased Arcane damage.",145,132363
Attuned,"Non-boss enemies with mana inflict 20% increased magic damage, but take 10% increased Nature damage and 30% increased damage from Bleed effects.",146,1391778
Xal'atath's Guile,"Xal'atath betrays players, revoking her bargains and increasing the health and damage of enemies by 20%",147,1723989
Xal'atath's Bargain: Ascendant,"While in combat, Xal'atath rains down orbs of cosmic energy that empower enemies or players.",148,5976939
Challenger's Peril,Dying subtracts 15 seconds from time remaining.,152,1052642
Xal'atath's Bargain: Frenzied,"Non-boss enemies become frenzied at 30% health remaining, increasing their Haste by 40%, but increasing their damage taken by 20%.",153,136224
Xal'atath's Bargain: Voidbound,"While in combat, Xal'atath summons a Void Emissary that empowers nearby enemies.",158,4913234
Xal'atath's Bargain: Oblivion,"While in combat, Xal'atath manifests crystals from the void that can be absorbed by enemies or players.",159,1386548
Xal'atath's Bargain: Devour,"While in combat, Xal'atath tears open rifts that devour the essence of players.",160,5927657
