ID,PlayerConditionID,InSetIndex,GlobalPlayerConditionSetID
1,78404,0,1
2,78405,0,2
3,78439,0,3
4,78450,0,4
5,78453,0,5
6,78462,0,6
7,78463,0,7
8,80371,0,8
9,80372,0,9
10,82271,0,10
11,82369,0,11
12,83970,0,12
13,70590,0,13
14,86737,0,14
15,86644,0,15
16,94620,0,16
17,94621,0,17
18,94622,0,18
19,83160,0,19
20,42193,0,20
21,42194,0,21
22,88673,0,22
23,88672,0,23
24,93030,0,24
26,94746,0,26
27,94649,1,26
28,94650,2,26
29,94651,3,26
30,94626,4,26
31,87756,0,27
32,87751,0,28
33,69048,0,29
34,96275,1,5
35,96277,1,4
36,96377,1,6
37,100083,1,1
38,100084,1,2
39,100085,1,3
40,100086,1,7
41,100100,1,11
42,100101,1,10
43,105391,0,30
45,106228,0,32
49,121807,2,3
50,121807,2,7
51,122433,2,1
52,122433,0,34
54,121807,2,6
55,124504,0,35
56,111327,0,36
58,134270,0,38
59,138157,0,39
