ID,ModifiedCraftingCategoryID,Order,ModifiedCraftingReagentSlotID
6,3,0,12
11,6,0,17
12,1,1,17
13,5,2,17
14,7,3,17
29,18,0,31
94,45,0,46
97,30,1,31
98,31,2,31
99,32,3,31
100,33,4,31
180,6,0,67
181,1,1,67
182,5,2,67
183,7,3,67
259,29,1,46
261,18,0,47
263,18,0,48
266,18,0,49
270,18,0,50
271,1,0,72
272,5,1,72
273,7,2,72
274,6,0,73
275,5,1,73
276,7,2,73
277,6,0,74
278,1,1,74
280,7,2,74
281,6,0,75
282,1,1,75
283,5,2,75
284,45,0,16
285,29,1,16
286,30,1,47
287,31,2,47
288,32,3,47
289,33,4,47
290,30,1,48
291,31,2,48
292,32,3,48
293,33,4,48
294,30,1,49
295,31,2,49
296,32,3,49
297,33,4,49
298,30,1,50
299,31,2,50
300,32,3,50
301,33,4,50
302,29,0,77
303,50,0,78
304,46,2,16
306,51,3,16
307,52,4,16
308,53,5,16
309,54,6,16
310,55,1,78
311,56,0,79
312,57,0,80
313,59,0,81
314,62,0,82
315,63,0,83
316,64,0,84
317,65,0,85
939,45,0,86
940,66,0,87
941,45,0,88
942,67,1,87
943,29,1,86
944,46,2,86
945,66,1,88
946,29,2,88
947,46,3,88
948,67,4,88
949,68,0,89
950,68,0,90
951,69,1,90
952,71,0,98
953,72,0,104
954,76,0,105
955,74,0,101
956,73,0,100
957,75,0,99
958,77,0,103
959,78,0,102
960,79,0,106
961,80,0,107
962,81,0,108
964,50,0,110
965,55,1,110
966,83,2,110
967,84,0,111
968,87,0,112
970,61,0,114
972,130,1,112
973,88,6,116
974,60,0,117
980,133,0,93
981,134,0,92
985,125,0,124
986,127,1,124
987,129,0,94
988,126,1,94
989,128,0,91
990,126,1,91
992,135,0,125
993,84,0,126
995,137,0,128
996,138,0,129
997,139,0,130
998,140,0,131
999,141,0,132
1000,142,0,133
1001,143,0,134
1002,144,0,135
1003,145,0,136
1004,146,0,137
1005,147,0,138
1007,149,0,140
1009,151,0,142
1010,154,0,143
1016,155,0,145
1017,156,0,146
1018,157,0,147
1019,158,0,148
1020,159,0,149
1021,173,0,150
1022,172,0,151
1024,160,0,153
1026,170,0,155
1027,171,0,156
1028,161,0,157
1029,175,0,158
1030,176,0,159
1031,380,0,177
1032,379,0,176
1033,378,0,175
1034,377,0,174
1035,376,0,173
1036,375,0,172
1037,371,0,171
1038,370,0,170
1039,369,0,169
1040,366,0,181
1041,367,1,181
1042,368,2,181
1043,364,0,182
1044,365,1,182
1045,374,0,123
1046,372,1,123
1047,130,2,123
1048,394,3,123
1049,441,4,123
1050,131,6,123
1053,372,0,178
1054,87,1,178
1055,130,2,178
1056,441,3,178
1057,477,4,178
1062,130,0,179
1063,87,1,179
1064,372,2,179
1065,393,3,179
1066,441,4,179
1067,372,0,180
1068,87,1,180
1069,130,2,180
1070,393,3,180
1071,441,4,180
1072,372,2,112
1073,441,3,112
1074,477,4,112
1075,372,0,183
1076,441,1,183
1077,130,2,183
1078,125,0,184
1079,127,1,184
1080,126,0,185
1082,395,0,186
1087,477,5,179
1088,477,5,180
1089,400,7,116
1090,400,0,189
1091,391,1,125
1092,389,2,125
1093,392,3,125
1094,390,4,125
1095,388,5,125
1096,401,0,190
1098,403,0,192
1099,404,1,192
1100,396,0,193
1101,414,0,194
1102,415,0,195
1103,416,0,196
1104,417,0,197
1105,418,0,198
1106,419,0,199
1107,420,0,200
1108,431,0,201
1109,422,0,202
1110,110,0,203
1111,112,0,204
1112,115,0,205
1113,430,0,206
1114,424,0,207
1115,425,0,208
1116,407,0,209
1117,406,0,210
1118,405,0,211
1119,409,0,212
1120,408,0,213
1121,410,0,214
1122,412,0,215
1123,411,0,216
1124,413,0,217
1125,426,0,218
1126,427,0,219
1127,114,0,220
1128,153,0,221
1129,152,1,221
1130,429,0,222
1136,432,0,223
1137,433,1,223
1138,434,2,223
1139,435,0,224
1140,436,1,224
1141,437,2,224
1142,438,3,224
1143,435,0,225
1144,436,1,225
1145,437,2,225
1146,438,3,225
1147,374,0,226
1148,372,1,226
1149,130,2,226
1150,394,3,226
1151,131,5,226
1158,478,4,183
1159,135,0,227
1160,391,1,227
1161,389,2,227
1162,392,3,227
1163,390,4,227
1164,388,5,227
1166,442,1,202
1167,443,2,202
1168,445,3,202
1169,444,4,202
1171,439,0,230
1172,440,1,230
1173,127,1,185
1174,450,1,222
1175,451,2,222
1176,452,3,222
1177,453,0,231
1178,454,1,231
1179,455,2,231
1180,429,0,232
1181,450,1,232
1182,452,2,232
1183,372,0,233
1184,441,1,233
1185,130,2,233
1186,478,4,233
1187,364,0,234
1188,365,1,234
1189,134,0,235
1190,459,0,236
1191,460,0,237
1192,461,0,238
1193,462,0,239
1194,463,0,240
1195,464,0,241
1196,465,0,242
1198,479,8,112
1199,467,7,123
1200,478,8,178
1201,479,9,179
1202,479,9,180
1203,479,5,183
1204,467,6,226
1205,479,5,233
1206,392,0,243
1207,390,1,243
1208,388,2,243
1209,468,1,244
1210,471,0,244
1211,469,1,245
1212,472,0,245
1213,470,1,246
1214,473,0,246
1215,474,0,247
1216,475,1,247
1217,476,1,111
1218,478,10,180
1219,479,9,178
1220,478,10,179
1221,478,9,112
1222,131,10,178
1223,467,11,178
1224,131,11,179
1225,467,12,179
1226,131,10,112
1227,467,11,112
1228,131,6,183
1229,467,7,183
1230,131,11,180
1231,467,12,180
1232,131,6,233
1233,467,7,233
1234,476,1,126
1235,480,0,248
1236,153,0,249
1237,152,1,249
1238,481,12,178
1239,481,13,179
1240,481,13,180
1241,481,12,112
1242,483,14,179
1243,483,14,180
1244,483,13,112
1245,483,13,178
1246,486,0,250
1247,487,0,251
1248,488,1,251
1249,489,0,252
1250,490,2,247
1251,492,0,253
1252,493,6,180
1253,493,6,179
1254,493,5,178
1255,493,5,112
1256,532,2,246
1257,529,3,246
1258,533,2,245
1259,530,3,245
1260,534,2,244
1261,531,3,244
1262,491,2,111
1263,491,2,126
1264,500,7,180
1265,500,7,179
1266,500,6,178
1267,500,6,112
1271,503,1,255
1272,502,0,255
1273,504,2,255
1274,506,1,252
1275,505,2,251
1276,507,7,112
1277,507,5,123
1278,507,7,178
1279,507,8,179
1280,507,8,180
1281,507,3,183
1282,507,4,226
1283,507,3,233
1284,517,0,256
1285,508,0,257
1286,509,0,258
1287,510,0,259
1288,511,0,260
1289,512,0,261
1290,513,0,262
1291,514,0,263
1292,515,0,264
1300,520,3,247
1301,521,3,111
1302,521,3,126
1303,527,4,244
1304,523,5,244
1309,528,0,267
1313,526,4,245
1314,522,5,245
1315,525,4,246
1316,524,5,246
1317,535,0,268
1318,536,0,269
1319,537,0,270
1320,538,0,271
1321,539,0,272
1324,542,0,275
1325,543,0,276
1326,544,0,277
1327,545,0,278
1328,546,0,279
1329,552,0,280
1330,550,1,281
1331,549,0,281
1332,551,2,281
1333,600,0,282
1334,601,1,282
1335,602,2,282
1336,603,3,282
1337,660,0,283
1338,661,1,283
1339,662,2,283
1340,663,3,283
1341,664,4,283
1342,665,5,283
1343,591,0,284
1344,553,0,288
1345,554,0,289
1346,555,0,290
1347,556,0,291
1348,557,3,251
1349,558,2,252
1351,562,0,293
1352,563,0,294
1353,564,0,295
1354,565,0,296
1355,566,0,297
1356,567,0,298
1357,568,0,299
1358,561,0,300
1359,569,0,301
1360,570,0,302
1361,571,0,303
1362,594,0,304
1363,595,0,305
1364,596,0,306
1365,597,0,307
1366,598,0,308
1367,599,0,309
1372,604,0,311
1373,605,1,311
1375,607,2,311
1379,550,1,312
1380,549,0,312
1381,551,2,312
1385,649,0,313
1386,650,0,314
1387,651,0,315
1388,652,0,316
1389,655,0,317
1391,704,1,317
1393,706,0,318
1394,658,0,319
1395,659,0,320
1396,666,0,321
1397,698,0,322
1398,668,0,323
1399,669,0,324
1407,677,0,327
1408,678,0,328
1409,679,0,329
1410,680,0,330
1411,681,0,331
1412,682,0,332
1416,688,0,333
1429,689,1,342
1443,673,0,345
1444,670,1,345
1445,672,2,345
1446,671,3,345
1447,676,0,344
1448,674,1,344
1449,675,2,344
1450,683,7,281
1451,684,8,281
1452,560,3,281
1453,693,0,348
1454,694,0,349
1455,695,0,350
1456,696,0,351
1457,673,0,352
1458,670,1,352
1459,672,2,352
1460,671,3,352
1461,676,0,353
1462,674,1,353
1463,675,2,353
1464,697,0,355
1465,699,0,356
1466,700,0,357
1467,610,4,312
1468,608,5,312
1469,609,6,312
1471,547,0,359
1475,548,0,347
1476,548,0,360
1480,711,0,363
1481,712,0,364
1482,713,0,346
1483,714,1,346
1484,715,2,346
1485,716,3,346
1487,713,0,354
1488,714,1,354
1489,715,2,354
1490,716,3,354
1492,685,1,280
1493,686,2,280
1494,686,1,360
1495,685,2,360
1496,709,0,362
1497,709,2,317
1498,709,1,347
1500,709,3,280
1501,709,3,360
1502,709,0,358
1503,709,0,286
1504,709,0,287
1505,709,1,333
1506,709,1,359
1507,660,0,365
1508,661,1,365
1509,662,2,365
1510,663,3,365
1511,664,4,365
1512,665,5,365
1513,591,0,366
1514,690,1,286
1515,690,1,287
1516,690,1,358
1517,691,2,358
1518,548,0,367
1520,685,1,367
1521,709,2,367
1524,18,0,116
1525,722,0,342
1526,721,0,368
1527,722,1,368
1528,689,2,368
1529,725,1,362
1530,724,2,362
1531,690,3,362
1532,691,4,362
1533,691,2,347
1534,690,3,347
1535,30,1,116
1536,31,2,116
1537,32,3,116
1538,33,4,116
1539,723,5,116
1540,723,5,31
1541,723,5,47
1542,723,5,48
1543,723,5,49
1544,723,5,50
1553,683,7,312
1554,684,8,312
1555,560,3,312
1556,610,4,281
1557,608,5,281
1558,609,6,281
1559,726,9,312
1560,726,9,281
1561,655,0,369
1562,704,1,369
1563,709,2,369
1564,656,3,369
1565,687,0,370
1566,688,1,370
1567,709,2,370
1568,547,0,371
1569,656,1,371
1570,709,2,371
1571,686,0,372
1572,685,1,372
1573,709,2,372
1574,707,1,318
1579,690,4,369
1580,690,3,317
1581,691,5,369
1582,690,3,371
1583,691,4,371
1584,690,2,359
1585,709,3,359
1586,691,3,372
1587,691,4,280
1588,690,5,280
1589,690,3,367
1590,548,0,374
1592,685,1,374
1593,709,2,374
1594,690,3,374
1595,690,4,360
1596,691,5,360
1597,655,2,286
1598,704,3,286
1599,704,2,287
1600,655,3,287
1601,687,0,375
1602,688,1,375
1603,709,2,375
1604,690,3,375
1605,690,3,370
1606,691,4,370
1607,656,3,358
1608,548,0,376
1609,709,1,376
1610,690,2,376
1612,656,4,347
1613,704,3,376
1614,704,5,347
1615,709,0,377
1616,690,1,377
1617,691,2,377
1618,709,0,378
1619,690,1,378
1620,655,2,378
1621,704,3,378
1622,709,0,379
1623,690,1,379
1624,655,3,379
1625,704,4,379
1626,691,2,379
1627,549,0,334
1628,550,1,334
1629,551,2,334
1631,609,3,334
1632,610,4,334
1633,726,5,334
1650,549,0,340
1651,550,1,340
1652,551,2,340
1653,559,3,340
1654,587,4,340
1655,588,5,340
1656,589,6,340
1657,590,7,340
1658,609,8,340
1659,610,9,340
1660,726,10,340
1661,549,0,341
1662,550,1,341
1663,551,2,341
1664,559,3,341
1665,587,4,341
1666,588,5,341
1667,589,6,341
1668,590,7,341
1669,609,8,341
1670,610,9,341
1671,726,10,341
