ID,HealthBase,HealthGainPerLevel,AttackBase,AttackGainPerLevel,AttackSpellID,AbilitySpellID,AbilitySpellID2,PassiveSpellID,Role
1,95,300,1,2,0,2,2,0,0
2,1200,10,25,5,15,23,0,42,0
3,325,33,50,5,11,4,48,0,1
4,500,50,20,2,11,5,0,47,5
5,250,25,50,5,15,6,49,0,2
6,300,3,20,2,11,7,0,0,1
7,75,8,60,6,11,8,0,0,1
8,600,6,20,2,11,9,0,0,4
9,4000,40,16,6,11,10,0,0,5
10,600,6,10,1,15,12,0,0,4
11,1000,10,40,4,11,14,0,0,4
12,275,28,40,4,15,16,0,0,2
13,400,40,20,2,11,17,0,0,5
14,275,28,60,6,11,18,0,0,1
15,1250,12,70,7,11,19,0,0,1
16,250,25,60,6,15,20,0,0,2
17,300,30,40,4,15,21,0,0,4
18,275,28,60,6,11,22,0,0,1
19,95,10,1,1,1,0,0,0,0
20,250,25,40,4,15,24,0,0,2
21,350,35,30,3,11,25,0,0,1
22,250,25,50,5,15,26,0,0,4
23,100,10,50,5,27,0,0,0,0
24,100,10,50,5,28,0,0,0,0
25,100,10,50,5,29,0,0,0,0
26,100,10,50,5,30,0,0,0,0
27,100,10,50,5,31,0,0,0,0
28,100,10,50,5,32,0,0,0,0
29,100,10,50,5,33,0,0,0,0
30,100,10,50,5,34,0,0,0,0
31,100,10,50,5,35,0,0,0,0
32,100,10,50,5,36,0,0,0,0
33,100,10,50,5,37,0,0,0,0
34,100,10,50,5,38,0,0,0,0
35,100,10,50,5,39,0,0,0,0
36,100,10,50,5,40,40,0,0,0
37,150,2,10,1,11,7,0,0,1
38,800,8,30,3,11,19,0,0,1
39,500,5,20,2,11,0,0,0,1
40,350,3,30,3,15,43,0,0,2
41,250,25,30,3,11,44,0,0,1
42,120,12,50,5,11,45,0,0,2
43,350,35,20,2,11,46,0,0,5
44,150,15,40,4,11,50,0,0,1
45,200,20,30,3,11,51,0,0,1
46,100,10,70,7,11,303,0,0,2
47,200,20,50,5,15,71,0,0,4
48,300,30,30,3,11,302,0,0,1
49,350,35,50,5,11,54,0,0,1
50,500,50,20,2,11,55,0,0,5
51,275,28,40,4,15,56,0,0,2
52,350,35,30,3,11,57,0,0,1
53,325,33,50,5,11,58,0,0,1
54,250,25,40,4,15,59,0,0,2
55,600,6,28,3,15,60,0,0,2
56,1400,14,14,1,11,61,0,0,5
57,1500,15,20,2,11,62,0,0,1
58,1250,30,40,4,11,63,0,0,1
59,4000,40,35,4,11,64,0,0,5
60,1000,10,20,2,11,65,0,0,1
61,4000,40,30,3,11,66,0,0,5
62,1500,15,40,4,11,67,0,0,1
63,2500,25,30,3,11,68,0,0,1
64,1000,100,20,2,11,0,0,0,1
65,300,30,40,4,15,87,88,0,2
66,400,40,40,4,11,83,0,82,1
67,200,20,50,5,11,85,84,0,4
68,350,35,30,3,11,72,0,0,1
69,250,25,40,4,15,73,0,0,3
70,500,10,40,4,11,74,0,0,5
71,350,35,40,4,11,75,0,0,1
72,350,35,40,4,11,76,0,0,1
73,200,20,40,4,15,77,0,0,4
74,400,40,30,3,11,78,0,0,1
75,300,30,40,4,15,79,0,0,4
76,450,45,30,3,11,81,0,0,5
77,250,25,50,5,15,80,0,0,3
79,175,17,60,6,15,103,104,0,4
80,200,20,40,4,15,89,0,90,3
81,350,35,40,4,11,106,0,105,1
82,150,15,50,5,11,91,0,0,1
83,300,30,30,3,15,92,0,0,3
84,600,60,20,2,11,93,0,0,5
85,350,35,40,4,11,94,0,0,1
86,200,20,70,7,15,95,0,0,3
87,350,35,30,3,15,96,0,0,4
88,400,40,30,3,11,97,0,0,1
89,200,20,40,4,15,98,0,0,3
90,250,25,50,5,11,99,0,0,1
91,550,55,20,2,11,100,0,0,5
92,350,35,30,3,11,101,0,0,1
93,250,25,40,4,11,102,0,0,1
94,350,35,40,4,11,113,0,0,1
95,600,60,20,2,11,114,0,0,5
96,300,30,50,5,11,115,0,0,1
97,250,25,40,4,15,140,0,0,2
98,200,20,50,5,15,191,0,0,4
99,300,30,30,3,15,192,0,0,3
100,400,40,20,2,11,193,0,0,1
101,250,25,40,4,15,195,0,0,3
102,300,30,30,3,11,196,0,0,1
103,300,30,50,5,15,197,0,0,4
104,600,60,30,3,11,198,0,0,5
105,300,30,30,3,11,194,0,0,4
106,300,30,60,6,15,107,108,0,3
107,600,60,40,4,11,110,0,109,5
108,300,30,60,6,11,111,112,0,1
109,2500,25,30,3,11,64,0,0,1
110,900,9,30,3,11,116,0,0,1
111,1000,10,40,4,11,117,0,0,1
112,500,10,40,4,15,118,0,0,3
113,1100,10,50,4,11,119,0,0,1
114,1200,10,40,4,15,120,0,0,4
115,1000,10,40,4,15,121,0,0,3
116,1500,10,40,4,11,122,0,0,1
117,1200,10,40,4,15,123,0,0,4
118,1000,15,50,2,11,124,0,0,1
119,1200,15,50,2,11,125,0,0,1
120,1500,15,30,2,15,126,0,0,4
121,1200,15,50,2,11,127,0,0,1
122,2200,15,20,2,15,128,0,0,2
123,3000,20,50,2,15,129,0,0,4
124,2200,15,20,2,15,130,0,0,2
125,4000,15,50,2,15,131,0,0,3
126,1500,15,40,2,11,132,0,0,1
127,1500,15,40,2,15,133,0,0,3
128,2500,15,50,2,15,134,0,0,3
129,1500,10,40,4,11,122,0,0,1
130,5000,15,75,2,11,135,0,0,1
131,2000,12,70,7,11,136,0,0,1
132,2000,15,40,2,11,137,0,0,1
133,3000,8,40,3,11,19,0,0,1
134,1000,15,60,2,11,138,0,0,1
135,1500,15,30,2,11,139,0,0,1
136,1500,15,40,2,11,141,0,0,1
137,3000,15,60,2,11,142,0,0,4
138,2000,15,35,2,11,143,0,0,1
139,1000,15,70,2,15,144,0,0,2
140,2200,20,30,2,11,145,0,0,5
141,1200,20,80,2,11,146,0,0,2
142,3000,20,30,2,11,147,0,0,4
143,1750,20,30,2,11,148,0,0,4
144,2100,20,60,2,11,149,0,0,2
145,1100,20,80,2,11,150,0,0,2
146,300,2,35,1,11,151,0,0,1
147,4000,2,100,1,11,152,0,0,1
148,1200,20,40,2,11,153,0,0,3
149,1500,20,50,2,11,154,0,0,1
150,3000,25,30,2,11,155,0,0,5
