ID,PathNodeID[0],PathNodeID[1],PathID
240118,330944,330945,37975
240119,330945,330946,37975
240120,330946,330947,37975
240121,330947,330948,37975
240122,330948,330949,37975
240123,330949,330950,37975
240124,330950,330951,37975
240125,330951,330944,37975
240126,330952,330953,37977
240127,330953,330954,37977
240128,330954,330955,37977
240129,330955,330956,37977
240130,330956,330957,37977
240131,330957,330958,37977
240132,330958,330959,37977
240133,330959,330960,37977
240134,330960,330961,37977
240135,330961,330962,37977
240146,330972,330973,37979
240147,330973,330974,37979
240148,330974,330975,37979
240149,330975,330976,37979
240150,330976,330977,37979
240151,330977,330978,37979
240152,330978,330979,37979
240153,330979,330972,37979
240154,330962,330980,37977
240155,330980,330952,37977
240163,330989,330990,37978
240164,330990,330991,37978
240165,330991,330992,37978
240166,330992,330993,37978
240167,330993,330994,37978
240168,330994,330995,37978
240169,330995,330996,37978
240170,330996,330997,37978
240171,330997,330998,37978
240172,330998,330999,37978
240173,330999,331000,37978
240174,331000,330989,37978
334837,444526,444527,53059
334838,444527,444528,53059
334839,444528,444529,53059
334840,444529,444530,53059
334841,444530,444531,53059
334842,444531,444532,53059
334843,444532,444533,53059
334844,444533,444526,53059
410371,537514,537515,66937
410372,537515,537516,66937
410373,537516,537517,66937
410374,537517,537518,66937
410375,537518,537519,66937
410376,537519,537520,66937
410377,537520,537521,66937
410378,537521,537522,66937
410379,537522,537523,66937
410380,537523,537524,66937
410381,537524,537525,66937
410382,537525,537526,66937
410383,537526,537527,66937
410384,537527,537528,66937
410385,537528,537529,66937
410386,537529,537530,66937
410387,537530,537531,66937
410388,537531,537532,66937
410389,537532,537514,66937
413346,540588,540589,67283
413347,540589,540590,67283
413348,540590,540591,67283
413349,540591,540592,67283
413350,540592,540593,67283
413351,540593,540594,67283
413352,540594,540595,67283
413353,540595,540596,67283
413354,540596,540597,67283
413355,540597,540598,67283
413356,540598,540599,67283
413357,540599,540600,67283
413358,540600,540601,67283
413359,540601,540602,67283
413360,540602,540603,67283
413361,540603,540604,67283
413362,540604,540605,67283
413363,540605,540606,67283
413364,540606,540607,67283
413365,540607,540588,67283
413379,540631,540632,67293
413380,540632,540633,67293
413381,540633,540634,67293
413394,540646,540647,67293
413398,540650,540651,67293
413399,540651,540652,67293
413400,540652,540653,67293
413401,540653,540654,67293
413402,540654,540631,67293
413404,540634,540646,67293
413405,540647,540650,67293
