Message_lang,ID,DifficultyID,LockID,ResetInterval,MaxPlayers,ItemContext,ItemContextPickerID,Flags,ContentTuningID,WorldStateExpressionID,MapID
,3,1,0,0,100,0,0,0,0,0,13
,4,1,0,0,0,0,0,0,0,0,25
You must be at least level 11 to enter.,7,1,0,0,5,0,0,0,0,0,33
You must be at least level 15 to enter.,8,1,0,0,5,0,0,0,0,0,34
,9,1,0,0,0,0,0,0,0,0,35
You must be at least level 10 to enter.,10,1,0,0,5,0,0,0,0,0,36
,12,1,0,0,0,0,0,0,0,0,42
You must be at least level 10 to enter.,13,1,0,0,5,0,0,0,0,0,43
,14,1,0,0,10,0,0,0,0,0,44
You must be at least level 25 to enter.,15,1,0,0,5,0,0,0,0,0,47
You must be at least level 15 to enter.,16,1,0,0,5,0,0,0,0,0,48
You must be at least level 30 to enter.,17,1,0,0,5,0,0,0,0,0,70
You must be at least level 19 to enter.,18,1,0,0,5,0,0,0,0,0,90
You must be at least level 45 to enter.,19,1,0,0,5,0,0,0,0,0,109
You must be at least level 35 to enter.,20,1,0,0,5,0,0,0,0,0,129
,21,9,0,0,40,0,0,0,0,0,169
You must be at least level 20 to enter.,22,1,0,0,5,0,0,0,0,0,189
You must be at least level 39 to enter.,23,1,0,0,5,0,0,0,0,0,209
You must be at least level 48 to enter.,24,1,0,0,5,0,0,0,0,0,229
You must be at least level 42 to enter.,25,1,0,0,5,0,0,0,0,0,230
You must be level 80 and in a raid group to enter.,26,3,19,2,10,0,0,32,0,0,249
You must be at least level 65 to enter.,27,1,0,0,5,0,0,0,0,0,269
You must be at least level 33 to enter.,28,1,0,0,5,0,0,0,0,0,289
You must be at least level 37 to enter.,30,1,0,0,5,0,0,0,0,0,329
You must be at least level 25 to enter.,31,1,0,0,5,0,0,0,0,0,349
,32,1,0,0,0,0,0,0,0,0,369
You must be at least level 10 to enter.,33,1,0,0,5,0,0,0,0,0,389
You must be at least level 50 to enter.,34,9,0,2,40,0,0,32,0,0,409
You must be at least level 31 to enter.,35,1,0,0,5,0,0,0,0,0,429
,38,1,0,0,0,0,0,0,0,0,451
You must be level 80 and in a raid group to enter.,46,3,3,2,10,0,0,32,0,0,533
You must be at least level 70 to enter.,47,4,0,2,25,0,0,32,0,0,534
You must be at least level 65 to enter.,48,1,0,0,5,0,0,0,0,0,540
You must be at least level 58 to enter.,49,1,0,0,5,0,0,0,0,0,542
You must be at least level 57 to enter.,50,1,0,0,5,0,0,0,0,0,543
You must be at least level 70 to enter.,51,4,0,2,25,0,0,32,0,0,544
You must be at least level 65 to enter.,52,1,0,0,5,0,0,0,0,0,545
You must be at least level 60 to enter.,53,1,0,0,5,0,0,0,0,0,546
You must be at least level 59 to enter.,54,1,0,0,5,0,0,0,0,0,547
You must be at least level 70 to enter.,55,4,0,2,25,0,0,32,0,0,548
You must be at least level 70 to enter.,56,4,0,2,25,0,0,32,0,0,550
You must be at least level 65 to enter.,57,1,0,0,5,0,0,0,0,0,552
You must be at least level 65 to enter.,58,1,0,0,5,0,0,0,0,0,553
You must be at least level 65 to enter.,59,1,0,0,5,0,0,0,0,0,554
You must be at least level 65 to enter.,60,1,0,0,5,0,0,0,0,0,555
You must be at least level 63 to enter.,61,1,0,0,5,0,0,0,0,0,556
You must be at least level 61 to enter.,62,1,0,0,5,0,0,0,0,0,557
You must be at least level 62 to enter.,63,1,0,0,5,0,0,0,0,0,558
You must be at least level 63 to enter.,65,1,0,0,5,0,0,0,0,0,560
You must be at least level 70 to enter.,68,4,0,2,25,0,0,32,0,0,565
Zul'Aman is only available as a Heroic Difficulty level 85 Cataclysm dungeon.,70,1,0,3,5,0,0,32,0,0,568
,71,0,0,0,0,0,0,0,0,0,571
,73,0,0,0,0,0,0,0,0,0,573
You must be at least level 67 to enter.,74,1,0,0,5,0,0,0,0,0,574
,75,1,0,0,5,0,0,0,0,0,575
You must be at least level 68 to enter.,76,1,0,0,5,0,0,0,0,0,576
You must be at least level 75 to enter.,77,1,0,0,5,0,0,0,0,0,578
You must be at least level 70 to enter.,78,4,0,2,25,0,0,32,0,0,580
You must be at least level 65 to enter.,81,1,0,0,5,0,0,0,0,0,585
,88,0,0,0,0,0,0,0,0,0,592
,90,0,0,0,0,0,0,0,0,0,594
You must be at least level 75 to enter.,91,1,0,0,5,0,0,0,0,0,595
,92,0,0,0,0,0,0,0,0,0,596
You must be at least level 74 to enter.,95,1,0,0,5,0,0,0,0,0,599
You must be at least level 71 to enter.,96,1,0,0,5,0,0,0,0,0,600
You must be at least level 69 to enter.,97,1,0,0,5,0,0,0,0,0,601
You must be at least level 75 to enter.,98,1,0,0,5,0,0,0,0,0,602
You must be level 80 and in a raid group to enter.,99,3,5,2,10,0,0,32,0,0,603
You must be at least level 73 to enter.,100,1,0,0,5,0,0,0,0,0,604
,101,0,0,0,0,0,0,0,0,0,605
,102,0,0,0,0,0,0,0,0,0,606
You must be at least level 72 to enter.,104,1,0,0,5,0,0,0,0,0,608
,105,0,0,0,0,0,0,0,0,0,609
,106,0,0,0,0,0,0,0,0,0,610
,107,0,0,0,0,0,0,0,0,0,612
,108,0,0,0,0,0,0,0,0,0,613
,109,0,0,0,0,0,0,0,0,0,614
You must be level 80 and in a raid group to enter.,110,3,3,2,10,0,0,32,0,0,615
You must be at least level 80 and in a raid group to enter.,111,3,3,2,10,0,0,32,0,0,616
,112,0,0,0,0,0,0,0,0,0,617
,113,0,0,0,0,0,0,0,0,0,618
You must be at least level 70 to enter.,114,1,0,0,5,0,0,0,0,0,619
,115,0,0,0,0,0,0,0,0,0,620
,116,0,0,0,0,0,0,0,0,0,621
,117,0,0,0,0,0,0,0,0,0,622
,118,0,0,0,0,0,0,0,0,0,623
"You must be at least level 80, in control of Wintergrasp and in a raid group to enter.",119,3,3,2,10,0,0,32,0,0,624
,121,0,0,0,0,0,0,0,0,0,641
,122,0,0,0,0,0,0,0,0,0,642
,123,0,0,0,0,0,0,0,0,0,647
You must be at least level 80 and in a raid group to enter.,124,3,5,2,10,0,0,32,0,0,649
You must be at least level 75 to enter.,125,1,0,0,5,0,0,0,0,0,650
You must be level 80 and in a raid group to enter.,128,4,4,2,25,0,0,0,0,0,533
You must be at least level 65 to enter on Heroic Difficulty.,129,2,0,1,5,0,0,0,0,0,540
You must be at least level 58 to enter on Heroic Difficulty.,130,2,0,1,5,0,0,0,0,0,542
You must be at least level 57 to enter on Heroic Difficulty.,131,2,0,1,5,0,0,0,0,0,543
You must be at least level 65 to enter on Heroic Difficulty.,132,2,0,1,5,0,0,0,0,0,545
You must be at least level 60 to enter on Heroic Difficulty.,133,2,0,1,5,0,0,0,0,0,546
You must be at least level 59 to enter on Heroic Difficulty.,134,2,0,1,5,0,0,0,0,0,547
You must be at least level 65 to enter on Heroic Difficulty.,135,2,0,1,5,0,0,0,0,0,552
You must be at least level 65 to enter on Heroic Difficulty.,136,2,0,1,5,0,0,0,0,0,553
You must be at least level 65 to enter on Heroic Difficulty.,137,2,0,1,5,0,0,0,0,0,554
You must be at least level 65 to enter on Heroic Difficulty.,138,2,0,1,5,0,0,0,0,0,555
You must be at least level 63 to enter on Heroic Difficulty.,139,2,0,1,5,0,0,0,0,0,556
You must be at least level 61 to enter on Heroic Difficulty.,140,2,0,1,5,0,0,0,0,0,557
You must be at least level 62 to enter on Heroic Difficulty.,141,2,0,1,5,0,0,0,0,0,558
You must be at least level 63 to enter on Heroic Difficulty.,142,2,0,1,5,0,0,0,0,0,560
Heroic Difficulty requires you to be level 80.,143,2,0,1,5,0,0,0,0,0,574
Heroic Difficulty requires you to be level 80.,144,2,0,1,5,0,0,0,0,0,575
Heroic Difficulty requires you to be level 80.,145,2,0,1,5,0,0,0,0,0,576
Heroic Difficulty requires you to be level 80.,146,2,0,1,5,0,0,0,0,0,578
You must be at least level 65 to enter on Heroic Difficulty.,147,2,0,1,5,0,0,0,0,0,585
Heroic Difficulty requires you to be level 80.,148,2,0,1,5,0,0,0,0,0,595
Heroic Difficulty requires you to be level 80.,150,2,0,1,5,0,0,0,0,0,599
Heroic Difficulty requires you to be level 80.,151,2,0,1,5,0,0,0,0,0,600
Heroic Difficulty requires you to be level 80.,152,2,0,1,5,0,0,0,0,0,601
Heroic Difficulty requires you to be level 80.,153,2,0,1,5,0,0,0,0,0,602
You must be level 80 and in a raid group to enter.,154,4,6,2,25,0,0,0,0,0,603
Heroic Difficulty requires you to be level 80.,155,2,0,1,5,0,0,0,0,0,604
Heroic Difficulty requires you to be level 80.,156,2,0,1,5,0,0,0,0,0,608
You must be level 80 and in a raid group to enter.,157,4,4,2,25,0,0,0,0,0,615
You must be at least level 80 and in a raid group to enter.,158,4,4,2,25,0,0,0,0,0,616
Heroic Difficulty requires you to be level 80.,159,2,0,1,5,0,0,0,0,0,619
"You must be at least level 80, in control of Wintergrasp and in a raid group to enter.",160,4,4,2,25,0,0,0,0,0,624
You must be at least level 80 and in a raid group to enter.,161,4,6,2,25,0,0,0,0,0,649
Heroic Difficulty requires you to be level 80.,162,2,0,1,5,0,0,0,0,0,650
You must be at least level 80 and in a raid group to enter.,221,5,9,2,10,0,0,0,0,0,649
You must be at least level 80 and in a raid group to enter.,222,6,10,2,25,0,0,0,0,0,649
You must be level 80 and in a raid group to enter.,323,4,20,2,25,0,0,0,0,0,249
"You must complete the quest ""Deliverance from the Pit"" before entering the Halls of Reflection.",341,1,0,0,5,0,0,0,0,0,668
"You must complete the quest ""Deliverance from the Pit"" and be level 80 before entering the Heroic difficulty of the Halls of Reflection.",342,2,0,1,5,0,0,0,0,0,668
You must be at least level 85 and in a raid group to enter.,343,3,22,2,10,0,0,0,0,0,669
You must be at least level 85 and in a raid group to enter.,344,4,23,2,25,0,0,0,0,0,669
You must be at least level 83 to enter.,345,1,0,0,5,0,0,0,0,0,670
Heroic Difficulty requires you to be level 85.,346,2,0,1,5,0,0,0,0,0,670
You must be at least level 85 and in a raid group to enter.,347,3,26,2,10,0,0,0,0,0,671
You must be at least level 85 and in a raid group to enter.,348,4,27,2,25,0,0,0,0,0,671
You must be at least level 75 to enter.,481,1,0,0,5,0,0,0,0,0,632
Heroic Difficulty requires you to be level 80.,482,2,0,1,5,0,0,0,0,0,632
"You must complete the quest ""Echoes of Tortured Souls"" before entering the Pit of Saron.",483,1,0,0,5,0,0,0,0,0,658
