ID,TraitDefinitionID,MaxRanks,NodeEntryType,TraitSubTreeID
9860,10579,1,1,0
9893,10612,1,1,0
9925,10644,1,1,0
9928,10647,1,1,0
9931,10650,1,1,0
9968,10687,1,2,0
9981,10700,1,1,0
9986,10705,1,1,0
10330,11049,1,2,0
10430,11149,2,2,0
24457,24833,1,8,0
24458,24834,1,8,0
24459,24835,1,8,0
24460,24836,1,8,0
24461,24837,1,8,0
24462,24838,20,7,0
24463,24839,1,8,0
24464,24840,1,8,0
24465,24841,1,8,0
24466,24842,1,8,0
24467,24843,1,8,0
24468,24844,20,7,0
24469,24845,1,8,0
24470,24846,1,8,0
24471,24847,1,8,0
24472,24848,1,8,0
24473,24849,1,8,0
24474,24850,1,8,0
24475,24851,25,7,0
24476,24852,1,8,0
24477,24853,1,8,0
24478,24854,1,8,0
24479,24855,1,8,0
24480,24856,1,8,0
24481,24857,1,8,0
24482,24858,1,8,0
24483,24859,30,7,0
24484,24860,1,8,0
24485,24861,1,8,0
24486,24862,1,8,0
24487,24863,1,8,0
24488,24864,1,8,0
24489,24865,1,8,0
24490,24866,1,8,0
24491,24867,30,7,0
24492,24868,1,8,0
24493,24869,1,8,0
24494,24870,1,8,0
24495,24871,1,8,0
24496,24872,1,8,0
24497,24873,1,8,0
24498,24874,1,8,0
24499,24875,30,7,0
24500,24876,1,9,0
24501,24877,1,9,0
24502,24878,1,9,0
24503,24879,1,9,0
24504,24880,1,9,0
24505,24881,1,9,0
24506,24882,1,8,0
24507,24883,1,8,0
24508,24884,1,8,0
24509,24885,1,8,0
24510,24886,1,8,0
24511,24887,1,8,0
24512,24888,1,8,0
24513,24889,30,7,0
24514,24890,1,8,0
24515,24891,1,8,0
24516,24892,1,8,0
24517,24893,1,8,0
24518,24894,1,8,0
24519,24895,1,8,0
24520,24896,1,8,0
24521,24897,30,7,0
24522,24898,1,8,0
24523,24899,1,8,0
24524,24900,1,8,0
24525,24901,1,8,0
24526,24902,1,8,0
24527,24903,1,8,0
24528,24904,1,8,0
24529,24905,30,7,0
24530,24906,1,8,0
24531,24907,1,8,0
24532,24908,1,8,0
24533,24909,1,8,0
24534,24910,1,8,0
24535,24911,1,8,0
24536,24912,1,8,0
24537,24913,1,8,0
24538,24914,1,8,0
24539,24915,40,7,0
24540,24916,1,8,0
24541,24917,1,8,0
24542,24918,1,8,0
24543,24919,1,8,0
24544,24920,1,8,0
24545,24921,20,7,0
24546,24922,1,8,0
24547,24923,1,8,0
24548,24924,1,8,0
24549,24925,1,8,0
24550,24926,1,8,0
24551,24927,1,8,0
24552,24928,1,8,0
24553,24929,1,8,0
24554,24930,1,8,0
24555,24931,1,8,0
24556,24932,1,8,0
24557,24933,50,7,0
24558,24934,1,9,0
24559,24935,1,9,0
24560,24936,1,9,0
24561,24937,1,9,0
24562,24938,1,9,0
24563,24939,1,9,0
28015,28440,1,8,0
28016,28441,1,8,0
28017,28442,1,8,0
28018,28443,1,8,0
28019,28444,1,8,0
28020,28445,20,7,0
28021,28446,1,8,0
28022,28447,1,8,0
28023,28448,1,8,0
28024,28449,1,8,0
28025,28450,1,8,0
28026,28451,20,7,0
28027,28452,1,8,0
28028,28453,1,8,0
28029,28454,1,8,0
28030,28455,1,8,0
28031,28456,1,8,0
28032,28457,1,8,0
28033,28458,25,7,0
28034,28459,1,8,0
28035,28460,1,8,0
28036,28461,1,8,0
28037,28462,1,8,0
28038,28463,1,8,0
28039,28464,1,8,0
28040,28465,1,8,0
28041,28466,30,7,0
28042,28467,1,8,0
28043,28468,1,8,0
28044,28469,1,8,0
28045,28470,1,8,0
28046,28471,1,8,0
28047,28472,1,8,0
28048,28473,1,8,0
28049,28474,30,7,0
28050,28475,1,8,0
28051,28476,1,8,0
28052,28477,1,8,0
28053,28478,1,8,0
28054,28479,1,8,0
28055,28480,1,8,0
28056,28481,1,8,0
28057,28482,30,7,0
28058,28483,1,9,0
28059,28484,1,9,0
28060,28485,1,9,0
28061,28486,1,9,0
28062,28487,1,9,0
28063,28488,1,9,0
29754,29891,1,8,0
29755,29892,1,8,0
29756,29893,1,8,0
29757,29894,1,8,0
29758,29895,1,8,0
29759,29896,1,8,0
29760,29897,1,8,0
29761,29898,30,7,0
29762,29899,1,8,0
29763,29900,1,8,0
29764,29901,1,8,0
29765,29902,1,8,0
29766,29903,1,8,0
29767,29904,1,8,0
29768,29905,1,8,0
29769,29906,30,7,0
29770,29907,1,8,0
29771,29908,1,8,0
29772,29909,1,8,0
29773,29910,1,8,0
29774,29911,1,8,0
29775,29912,1,8,0
29776,29913,1,8,0
29777,29914,30,7,0
29778,29915,1,8,0
29779,29916,1,8,0
29780,29917,1,8,0
29781,29918,1,8,0
29782,29919,1,8,0
29783,29920,1,8,0
29784,29921,1,8,0
29785,29922,30,7,0
29786,29923,1,8,0
29787,29924,1,8,0
29788,29925,1,8,0
29789,29926,1,8,0
29790,29927,1,8,0
29791,29928,1,8,0
29792,29929,1,8,0
29793,29930,30,7,0
29794,29931,1,8,0
29795,29932,1,8,0
29796,29933,1,8,0
29797,29934,1,8,0
29798,29935,1,8,0
29799,29936,1,8,0
29800,29937,1,8,0
29801,29938,30,7,0
29802,29939,1,8,0
29803,29940,1,8,0
29804,29941,1,8,0
29805,29942,1,8,0
29806,29943,1,8,0
29807,29944,1,8,0
29808,29945,1,8,0
29809,29946,30,7,0
29810,29947,1,9,0
29811,29948,1,9,0
29812,29949,1,9,0
29813,29950,1,9,0
29814,29951,1,9,0
29815,29952,1,9,0
29816,29953,1,9,0
29817,29954,1,8,0
29818,29955,1,8,0
29819,29956,1,8,0
29820,29957,1,8,0
29821,29958,1,8,0
29822,29959,20,7,0
29823,29960,1,8,0
29824,29961,1,8,0
29825,29962,1,8,0
29826,29963,1,8,0
29827,29964,1,8,0
29828,29965,20,7,0
29829,29966,1,8,0
29830,29967,1,8,0
29831,29968,1,8,0
29832,29969,1,8,0
29833,29970,1,8,0
29834,29971,1,8,0
29835,29972,1,8,0
29836,29973,30,7,0
29837,29974,1,8,0
29838,29975,1,8,0
29839,29976,1,8,0
29840,29977,1,8,0
29841,29978,1,8,0
29842,29979,1,8,0
29843,29980,1,8,0
29844,29981,30,7,0
29845,29982,1,8,0
29846,29983,1,8,0
29847,29984,1,8,0
29848,29985,1,8,0
29849,29986,1,8,0
29850,29987,1,8,0
29851,29988,1,8,0
29852,29989,1,8,0
29853,29990,1,8,0
29854,29991,40,7,0
29855,29992,1,9,0
29856,29993,1,9,0
29857,29994,1,9,0
29858,29995,1,9,0
29859,29996,1,9,0
29909,30046,1,8,0
29910,30047,1,8,0
29911,30048,1,8,0
29912,30049,1,8,0
29913,30050,1,8,0
29914,30051,1,8,0
29915,30052,1,8,0
29916,30053,30,7,0
29917,30054,1,8,0
29918,30055,1,8,0
29919,30056,1,8,0
29920,30057,1,8,0
29921,30058,1,8,0
29922,30059,1,8,0
29923,30060,1,8,0
29924,30061,30,7,0
29925,30062,1,8,0
29926,30063,1,8,0
29927,30064,1,8,0
29928,30065,1,8,0
29929,30066,1,8,0
29930,30067,1,8,0
29931,30068,1,8,0
29932,30069,30,7,0
29933,30070,1,8,0
29934,30071,1,8,0
29935,30072,1,8,0
29936,30073,1,8,0
29937,30074,1,8,0
29938,30075,1,8,0
29939,30076,1,8,0
29940,30077,30,7,0
29941,30078,1,8,0
29942,30079,1,8,0
29943,30080,1,8,0
29944,30081,1,8,0
29945,30082,1,8,0
29946,30083,1,8,0
29947,30084,1,8,0
29948,30085,30,7,0
29949,30086,1,8,0
29950,30087,1,8,0
29951,30088,1,8,0
29952,30089,1,8,0
29953,30090,1,8,0
29954,30091,1,8,0
29955,30092,1,8,0
29956,30093,30,7,0
29957,30094,1,8,0
29958,30095,1,8,0
29959,30096,1,8,0
29960,30097,1,8,0
29961,30098,1,8,0
29962,30099,1,8,0
29963,30100,1,8,0
29964,30101,30,7,0
29965,30102,1,8,0
29966,30103,1,8,0
29967,30104,1,8,0
29968,30105,1,8,0
29969,30106,1,8,0
29970,30107,1,8,0
29971,30108,1,8,0
29972,30109,30,7,0
29973,30110,1,8,0
29974,30111,1,8,0
29975,30112,1,8,0
29976,30113,1,8,0
29977,30114,1,8,0
29978,30115,1,8,0
29979,30116,1,8,0
29980,30117,30,7,0
29981,30118,1,8,0
29982,30119,1,8,0
29983,30120,1,8,0
29984,30121,1,8,0
29985,30122,1,8,0
29986,30123,1,8,0
29987,30124,1,8,0
29988,30125,30,7,0
29989,30126,1,8,0
29990,30127,1,8,0
29991,30128,1,8,0
29992,30129,1,8,0
29993,30130,1,8,0
29994,30131,1,8,0
29995,30132,1,8,0
29996,30133,30,7,0
29997,30134,1,8,0
29998,30135,1,8,0
29999,30136,1,8,0
30000,30137,1,8,0
30001,30138,1,8,0
30002,30139,1,8,0
30003,30140,1,8,0
30004,30141,30,7,0
30005,30142,1,8,0
30006,30143,1,8,0
30007,30144,1,8,0
30008,30145,1,8,0
30009,30146,1,8,0
30010,30147,1,8,0
30011,30148,1,8,0
30012,30149,30,7,0
30013,30150,1,9,0
30014,30151,1,9,0
30015,30152,1,9,0
30016,30153,1,9,0
30017,30154,1,9,0
30018,30155,1,9,0
30019,30156,1,9,0
30020,30157,1,9,0
30021,30158,1,9,0
30022,30159,1,9,0
30023,30160,1,9,0
30024,30161,1,9,0
30025,30162,1,9,0
36132,36269,1,8,0
36133,36270,1,8,0
36134,36271,1,8,0
36135,36272,1,8,0
36136,36273,1,8,0
36137,36274,20,7,0
36138,36275,1,8,0
36139,36276,1,8,0
36140,36277,1,8,0
36141,36278,1,8,0
36142,36279,1,8,0
36143,36280,20,7,0
36144,36281,1,8,0
36145,36282,1,8,0
36146,36283,1,8,0
36147,36284,1,8,0
36148,36285,1,8,0
36149,36286,20,7,0
36150,36287,1,8,0
36151,36288,1,8,0
36152,36289,1,8,0
36153,36290,1,8,0
36154,36291,1,8,0
36155,36292,20,7,0
36156,36293,1,8,0
36157,36294,1,8,0
36158,36295,1,8,0
36159,36296,1,8,0
36160,36297,1,8,0
36161,36298,1,8,0
36162,36299,1,8,0
36163,36300,30,7,0
36164,36301,1,8,0
36165,36302,1,8,0
36166,36303,1,8,0
36167,36304,1,8,0
36168,36305,1,8,0
36169,36306,20,7,0
36170,36307,1,8,0
36171,36308,1,8,0
36172,36309,1,8,0
36173,36310,1,8,0
36174,36311,1,8,0
36175,36312,20,7,0
36176,36313,1,8,0
36177,36314,1,8,0
36178,36315,1,8,0
36179,36316,1,8,0
36180,36317,1,8,0
36181,36318,20,7,0
36182,36319,1,8,0
36183,36320,1,8,0
36184,36321,1,8,0
36185,36322,1,8,0
36186,36323,1,8,0
36187,36324,20,7,0
36188,36325,1,8,0
36189,36326,1,8,0
36190,36327,1,8,0
36191,36328,1,8,0
36192,36329,1,8,0
36193,36330,1,8,0
36194,36331,1,8,0
36195,36332,30,7,0
36196,36333,1,8,0
36197,36334,1,8,0
36198,36335,1,8,0
